time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1686424775412221200,0.10522119140625,0.21836345557143047,-0.14321761128968444,-0.10868182472974892,0.012040491152726157,-0.9834664862317255,-0.021691684056975344,0.2904823758191248
1686424775422167300,0.115167236328125,0.2241090016768453,-0.14377865213406338,-0.11215688758138599,0.021235476682477165,-0.9828698202729784,-0.026749068412866502,0.29279728125330895
1686424775432113200,0.125113037109375,0.22974267632642925,-0.14403578589798413,-0.1158992524800017,0.034826202739893716,-0.9821751565589798,-0.033956067479045136,0.2950709210498742
1686424775442059800,0.135059814453125,0.23464310647434775,-0.14382246275404023,-0.11966866252395675,0.05371148922052833,-0.981369190325688,-0.043691938360128094,0.29709423465810514
1686424775452005600,0.145005615234375,0.2387282566923569,-0.14318775522099064,-0.12337352584777236,0.07723545127126354,-0.9803990082676115,-0.05562442753597317,0.2989191197870664
1686424775461951700,0.15495166015625,0.24212738576401982,-0.14244334213156767,-0.12693589457365603,0.10342435808880879,-0.9792150687797473,-0.06881129101212059,0.30095726330679484
1686424775471897600,0.164897705078125,0.24468000068327134,-0.14190511047118173,-0.13015097148232038,0.13035925110043348,-0.9778279629917309,-0.08231719981937968,0.3035867978946892
1686424775481843700,0.17484375,0.24641486026381867,-0.14169206086839647,-0.13296843070930173,0.15694030409542153,-0.9762695388232706,-0.09560678149978942,0.3068787175809401
1686424775491789600,0.18478955078125,0.2472653146654063,-0.14166314208563738,-0.13531813186501515,0.18264187983892835,-0.9746133386313752,-0.10839471050442112,0.31043105390856646
1686424775501735700,0.194735595703125,0.24755167490751248,-0.14137916713784818,-0.13730586847735385,0.20720967800150217,-0.9729498779327712,-0.1205299801769263,0.3133094222238011
1686424775511681800,0.204681884765625,0.24778470645979558,-0.14043186475244573,-0.13906825448278848,0.22981479145943487,-0.9714009886039645,-0.13160183138166753,0.3145983705863211
1686424775521627600,0.214627685546875,0.2485000811505048,-0.13874368458033515,-0.1407532380799695,0.24937194185220576,-0.9700644629355599,-0.1411156360729381,0.3140421418489138
1686424775531573800,0.22457373046875,0.24967451475881136,-0.13634408032483372,-0.14236150203804057,0.2662620113937736,-0.9689493171822204,-0.14926707903860056,0.3117458247477779
1686424775541519600,0.23451953125,0.2505817454970003,-0.13313041923559452,-0.1436601650432562,0.2824950929933364,-0.9679846843377414,-0.1569827942843615,0.3076719818480943
1686424775551465700,0.2444658203125,0.25053117540662334,-0.1291673063248338,-0.1444341799637139,0.29992149766919274,-0.9670504516079413,-0.16513004792455085,0.3020975801714074
1686424775561411600,0.25441162109375,0.2494594205155484,-0.12476714873822964,-0.14470610282516264,0.31905450048044137,-0.9660331412532487,-0.1739919137526814,0.2957044370048017
1686424775571357700,0.264357666015625,0.24766663005649445,-0.12028823883663715,-0.14460822261796427,0.3392258439577063,-0.9648938317459264,-0.18330096313552618,0.2891570921546937
1686424775581303600,0.274303466796875,0.24532331224945989,-0.11593967010353795,-0.14416357207822372,0.35919733758605027,-0.9637034478028459,-0.19248494012446077,0.2827125636586309
1686424775591249700,0.284249755859375,0.2427639527929125,-0.11186273616738919,-0.14346058431902364,0.37742341603828045,-0.9625873938012262,-0.20082636269850354,0.2764858477801875
