time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686334505660000000,1.874,0,0,1,15.642999649047852,0.05414494499564171,0,69.0999984741211,4.86412,52.3343486
1686334510656000000,6.87,0,0,1,15.159000396728516,0.11225919425487518,186.1456756591797,69.0999984741211,4.8641186,52.3343429
1686334515657000000,11.871,0,0,1.6294971704483032,16.231000900268555,0.7992690801620483,341.2220153808594,69.0999984741211,4.864098,52.3343805
1686334520624000000,16.838,0,0,1,15.927000045776367,0.9958064556121826,146.66748046875,69.0999984741211,4.8641205,52.3343603
1686334525701000000,21.915,0,0,1,14.704999923706055,0.4419097900390625,151.80160522460938,69.0999984741211,4.8641317,52.334346
1686334530694000000,26.908000244140624,0,0,1,14.720000267028809,0.17203262448310852,315.9441833496094,69.0999984741211,4.8641209,52.3343535
1686334535688000000,31.902,0,0,1,14.961999893188477,0.042008884251117706,0,69.0999984741211,4.8641203,52.3343549
1686334540742000000,36.956000244140625,0,0,1,14.956999778747559,0.09054930508136749,0,69.0999984741211,4.8641231,52.3343506
1686334545767000000,41.981,0,0,1,14.97700023651123,0.019216295331716537,0,69.0999984741211,4.8641242,52.3343514
1686334550782000000,46.996000244140625,0,0,1,14.998000144958496,0.03535681217908859,0,69.0999984741211,4.8641242,52.3343531
1686334555808000000,52.022,0,0,1,14.958999633789062,0.09716024994850159,0,69.0999984741211,4.8641262,52.3343483
1686334560852000000,57.066,0,0,1,14.967000007629395,0.15128155052661896,343.7830810546875,69.0999984741211,4.8641227,52.3343558
1686334565940000000,62.154,0,0,1,15.20199966430664,0.059978704899549484,0,69.0999984741211,4.8641186,52.3343539
1686334570972000000,67.186,0,0,1,15.121999740600586,0.013530031777918339,0,69.0999984741211,4.8641182,52.3343544
1686334575988000000,72.202,0,0,1,14.595000267028809,0.11169828474521637,154.242919921875,69.0999984741211,4.8641222,52.3343495
1686334581007000000,77.221,0,0,1,15.081999778747559,0.11638636142015457,83.18893432617188,69.0999984741211,4.8641311,52.3343505
1686334586024000000,82.238,0,0,1,14.616000175476074,0.03525169938802719,0,69.0999984741211,4.864132,52.3343491
1686334591041000000,87.255,0,0,1,14.626999855041504,0.15273576974868774,288.814208984375,69.0999984741211,4.8641203,52.3343516
1686334596069000000,92.283,0,0,1,14.704999923706055,0.06671199202537537,0,69.0999984741211,4.8641243,52.3343541
1686334601090000000,97.30399975585938,0,0,1,14.437999725341797,0.08663713186979294,0,69.0999984741211,4.8641185,52.3343513
1686334606093000000,102.307,0,0,1,14.437999725341797,0.04121972620487213,0,69.0999984741211,4.8641158,52.3343508
1686334611110000000,107.32400024414062,0,0,1,15.166999816894531,0.1855170726776123,129.05984497070312,69.0999984741211,4.8641276,52.3343452
1686334616129000000,112.343,0,0,1,14.661999702453613,0.12955956161022186,28.14902687072754,69.0999984741211,4.8641316,52.3343513
1686334621130000000,117.34399975585937,0,0,1,14.730999946594238,0.14991238713264465,269.6028137207031,69.0999984741211,4.8641192,52.3343508
1686334626149000000,122.363,0,0,1,14.369000434875488,0.0567353218793869,0,69.0999984741211,4.8641238,52.334349
1686334631181000000,127.395,0,0,1,15.175000190734863,0.15648235380649567,45.401832580566406,69.0999984741211,4.8641324,52.3343546
1686334636218000000,132.43199975585938,0,0,1,14.494000434875488,0.1461060792207718,234.84788513183594,69.0999984741211,4.864122,52.33435
1686334641263000000,137.477,0,0,1,14.967000007629395,0.097923144698143,0,69.0999984741211,4.8641307,52.3343503
1686334646332000000,142.546,0,0,1.0164166688919067,14.697999954223633,0.059318795800209045,0,69.0999984741211,4.8641292,52.3343474
1686334651337000000,147.551,0,0,1,14.760000228881836,0.07615114003419876,0,69.0999984741211,4.8641235,52.3343463
1686334656370000000,152.58399975585937,0,0,1,14.970999717712402,0.15559519827365875,333.93817138671875,69.0999984741211,4.8641185,52.3343532
1686334661386000000,157.5999997558594,0,0,1,15.076000213623047,0.10893645137548447,103.35627746582031,69.0999984741211,4.8641275,52.3343515
1686334666419000000,162.633,0,0,1,15.491999626159668,0.09801014512777328,0,69.0999984741211,4.8641241,52.334347
1686334671442000000,167.65599975585937,0,0,1,14.482000350952148,0.12213288247585297,296.6292724609375,69.0999984741211,4.8641155,52.3343501
1686334676473000000,172.687,0,0,1,14.87399959564209,0.13054165244102478,94.37147521972656,69.0999984741211,4.8641266,52.3343494
1686334681488000000,177.702,0,0,1,14.418999671936035,0.07002928853034973,0,69.0999984741211,4.8641202,52.3343492
1686334686508000000,182.722,0,0,1,14.673999786376953,0.032581254839897156,0,69.0999984741211,4.8641213,52.3343507
1686334691555000000,187.769,0,0,1,14.79800033569336,0.036772795021533966,0,69.0999984741211,4.8641197,52.3343491
1686334696523000000,192.737,0,0,1,14.744000434875488,0.0009573700372129679,0,69.0999984741211,4.8641198,52.3343493
1686334701600000000,197.814,0,0,1,15.357999801635742,0.06921164691448212,0,69.0999984741211,4.8641251,52.3343482
1686334706648000000,202.862,0,0,1,14.190999984741211,0.031720373779535294,0,69.0999984741211,4.8641224,52.3343476
1686334711660000000,207.874,0,0,1.0460840463638306,15.343000411987305,0.12774993479251862,46.53914260864258,69.0999984741211,4.86413,52.3343519
1686334716689000000,212.903,0,0,1,14.449000358581543,0.08656373620033264,0,69.0999984741211,4.8641238,52.334349
1686334721703000000,217.917,0,0,1,14.803999900817871,0.06701735407114029,0,69.0999984741211,4.8641206,52.3343516
1686334726733000000,222.947,0,0,1,14.711999893188477,0.08362900465726852,0,69.0999984741211,4.8641143,52.3343522
1686334731761000000,227.975,0,0,1,14.690999984741211,0.0847029909491539,0,69.0999984741211,4.8641196,52.3343491
1686334736854000000,233.06800024414062,0,0,1,15.003000259399414,0.04049030318856239,0,69.0999984741211,4.8641186,52.3343474
1686334741876000000,238.09,0,0,1,15.508000373840332,0.07184957712888718,0,69.0999984741211,4.8641233,52.3343496
1686334746880000000,243.094,0,0,1,15.079999923706055,0.10446413606405258,297.7416076660156,69.0999984741211,4.8641155,52.3343518
1686334751911000000,248.125,0,0,1,14.887999534606934,0.012566518038511276,0,69.0999984741211,4.8641169,52.3343512
