time,seconds_elapsed,z,y,x
1686445575395852300,0.137852294921875,-26.899581909179688,-6.6674041748046875,20.05670166015625
1686445575405869300,0.147869384765625,-27.184585571289062,-6.6063079833984375,20.263580322265625
1686445575415886300,0.15788623046875,-27.117847442626953,-6.629913330078125,20.313812255859375
1686445575425903400,0.1679033203125,-26.969451904296875,-6.846832275390625,20.350448608398438
1686445575435920100,0.177920166015625,-27.3651123046875,-6.7759246826171875,20.477188110351562
1686445575445936000,0.18793603515625,-27.395427703857422,-6.7978057861328125,20.480880737304688
1686445575455953400,0.197953369140625,-27.243698120117188,-6.877685546875,20.538314819335938
1686445575465970200,0.20797021484375,-27.188583374023438,-6.85125732421875,20.72686767578125
1686445575475987200,0.2179873046875,-26.78618621826172,-6.673736572265625,20.680740356445312
1686445575486004500,0.22800439453125,-27.163951873779297,-6.702484130859375,20.7425537109375
1686445575496021200,0.238021240234375,-27.064258575439453,-6.7217559814453125,20.56695556640625
1686445575506038300,0.248038330078125,-27.211872100830078,-6.574462890625,20.682083129882812
1686445575516054300,0.25805419921875,-26.996440887451172,-6.6183624267578125,20.655654907226562
1686445575526071300,0.2680712890625,-27.359127044677734,-6.55841064453125,20.68585205078125
1686445575536088300,0.27808837890625,-27.110397338867188,-6.5229949951171875,20.372940063476562
1686445575546105300,0.288105224609375,-26.932456970214844,-6.4552764892578125,20.465972900390625
1686445575556122400,0.298122314453125,-27.44922637939453,-6.33282470703125,20.49981689453125
1686445575566139100,0.30813916015625,-27.12130355834961,-6.5316009521484375,20.480194091796875
1686445575576156400,0.318156494140625,-26.94420623779297,-6.5742645263671875,20.499893188476562
1686445575586172400,0.32817236328125,-26.906169891357422,-6.8008880615234375,20.531402587890625
1686445575596189200,0.338189208984375,-26.725631713867188,-6.7027435302734375,20.20513916015625
1686445575606206200,0.348206298828125,-26.69489288330078,-6.751983642578125,20.208480834960938
1686445575616223200,0.35822314453125,-27.137203216552734,-6.625946044921875,20.111083984375
1686445575626240300,0.368240234375,-27.217437744140625,-6.8201904296875,20.4852294921875
1686445575636257500,0.378257568359375,-26.976314544677734,-6.9049835205078125,20.542312622070312
1686445575646274300,0.3882744140625,-27.145862579345703,-6.826446533203125,20.484375
1686445575656291300,0.398291259765625,-27.25395965576172,-6.5421905517578125,20.389389038085938
1686445575666307300,0.408307373046875,-26.871109008789062,-6.417022705078125,19.999557495117188
1686445575676324400,0.418324462890625,-26.811473846435547,-6.2222900390625,20.206771850585938
1686445575686341400,0.42834130859375,-26.997997283935547,-5.917449951171875,19.941986083984375
1686445575696358100,0.438358154296875,-27.267887115478516,-6.0443878173828125,20.082565307617188
1686445575706375400,0.44837548828125,-27.07068634033203,-5.8764495849609375,20.035690307617188
1686445575716392200,0.45839208984375,-27.410202026367188,-5.8838043212890625,19.661605834960938
1686445575726409200,0.4684091796875,-27.284996032714844,-5.90380859375,19.689910888671875
1686445575736425500,0.478425537109375,-27.123313903808594,-5.6543426513671875,19.528793334960938
1686445575746442200,0.488442138671875,-27.137584686279297,-5.48284912109375,19.28729248046875
1686445575756459300,0.498459228515625,-27.07196044921875,-5.533355712890625,19.255340576171875
1686445575766476800,0.508476806640625,-27.372127532958984,-5.408966064453125,19.423538208007812
1686445575776494000,0.518494140625,-27.119731903076172,-5.3029632568359375,19.365371704101562
1686445575786510800,0.5285107421875,-27.15664291381836,-5.4638824462890625,19.172348022460938
1686445575796527900,0.53852783203125,-27.51483154296875,-5.416900634765625,19.555252075195312
1686445575806544100,0.548544189453125,-27.188270568847656,-5.303497314453125,19.37933349609375
1686445575816561000,0.558560791015625,-27.542762756347656,-5.236297607421875,19.333602905273438
1686445575826578000,0.568577880859375,-27.54757308959961,-5.2607879638671875,19.415542602539062
1686445575836595000,0.578594970703125,-27.31588363647461,-5.1429443359375,19.655029296875
1686445575846612000,0.588612060546875,-27.433429718017578,-5.20159912109375,19.55938720703125
1686445575856629000,0.59862890625,-27.279193878173828,-5.1451568603515625,19.613754272460938
1686445575866646000,0.60864599609375,-27.712677001953125,-5.1013641357421875,19.8275146484375
1686445575876662000,0.618662109375,-27.294811248779297,-5.024505615234375,19.856369018554688
1686445575886679000,0.628678955078125,-26.534626007080078,-4.949920654296875,19.777084350585938
1686445575896695800,0.63869580078125,-26.535255432128906,-5.145538330078125,20.033981323242188
1686445575906713000,0.648713134765625,-26.045547485351562,-5.323760986328125,20.331588745117188
1686445575916729900,0.658729736328125,-26.211360931396484,-5.24212646484375,20.594329833984375
1686445575926747000,0.668746826171875,-25.90667724609375,-5.19964599609375,21.016708374023438
1686445575936764000,0.678763916015625,-25.996723175048828,-5.086212158203125,21.257980346679688
1686445575946781000,0.688781005859375,-25.842849731445312,-4.9519195556640625,21.532577514648438
1686445575956797000,0.698796875,-25.40359115600586,-4.9576568603515625,21.801910400390625
1686445575966814000,0.70881396484375,-25.392032623291016,-5.01983642578125,22.33367919921875
1686445575976831000,0.7188310546875,-24.801921844482422,-5.0054168701171875,22.529708862304688
1686445575986848000,0.728847900390625,-24.41851043701172,-4.9598388671875,22.848419189453125
1686445575996865000,0.738864990234375,-24.281280517578125,-4.9993133544921875,23.264739990234375
1686445576006882000,0.748882080078125,-24.175853729248047,-5.0207366943359375,23.640701293945312
1686445576016898800,0.75889892578125,-23.773483276367188,-5.1397705078125,23.6492919921875
1686445576026915000,0.7689150390625,-23.43411636352539,-5.0824127197265625,23.620254516601562
1686445576036932000,0.77893212890625,-23.35578155517578,-5.26348876953125,23.913986206054688
1686445576046948900,0.788948974609375,-22.56957244873047,-5.3216552734375,24.448745727539062
1686445576056966100,0.798966064453125,-22.464542388916016,-5.3674163818359375,24.91815185546875
1686445576066983000,0.80898291015625,-22.394775390625,-5.4714508056640625,25.2139892578125
1686445576077000000,0.819,-22.268173217773438,-5.73260498046875,25.691085815429688
1686445576087017000,0.829016845703125,-21.480716705322266,-5.5818939208984375,25.823165893554688
1686445576097034000,0.839033935546875,-21.011131286621094,-5.4945068359375,25.6705322265625
1686445576107050000,0.849050048828125,-21.126487731933594,-5.665863037109375,25.851837158203125
1686445576117066800,0.859066650390625,-20.756725311279297,-5.6114349365234375,25.96917724609375
1686445576127084000,0.869083984375,-20.856151580810547,-5.590118408203125,26.025283813476562
1686445576137101000,0.87910107421875,-20.544078826904297,-5.7636566162109375,26.004608154296875
1686445576147117800,0.889117919921875,-20.902420043945312,-5.7894287109375,26.323516845703125
1686445576157135000,0.899135009765625,-20.753829956054688,-5.8527069091796875,26.661209106445312
1686445576167151900,0.90915185546875,-20.722827911376953,-5.8844757080078125,26.5570068359375
1686445576177168000,0.91916796875,-20.67471694946289,-5.880615234375,26.629638671875
1686445576187185200,0.92918505859375,-20.716815948486328,-5.941925048828125,26.408828735351562
1686445576197202000,0.939201904296875,-20.782974243164062,-5.9355316162109375,26.608551025390625
1686445576207219000,0.949218994140625,-20.766273498535156,-5.68377685546875,26.447296142578125
1686445576217236000,0.959236083984375,-20.43051528930664,-5.86724853515625,26.641738891601562
1686445576227253000,0.9692529296875,-20.205062866210938,-5.6341094970703125,26.67987060546875
1686445576237269800,0.979269775390625,-20.305587768554688,-6.122039794921875,26.69384765625
1686445576247285800,0.98928564453125,-20.055492401123047,-6.029632568359375,26.703460693359375
1686445576257303000,0.999302978515625,-20.08444595336914,-5.6392364501953125,26.844375610351562
1686445576267319800,1.00931982421875,-19.98830795288086,-5.73370361328125,26.88104248046875
