time,seconds_elapsed,z,y,x
1686427007405467400,0.10746728515625,-40.8756103515625,-24.866474151611328,-18.349029541015625
1686427007415412700,0.117412841796875,-40.910423278808594,-24.828899383544922,-17.949356079101562
1686427007425357600,0.127357666015625,-41.03137969970703,-24.649639129638672,-17.772445678710938
1686427007435303400,0.137303466796875,-40.808074951171875,-24.865886688232422,-17.115867614746094
1686427007445248500,0.14724853515625,-40.90211486816406,-25.023639678955078,-17.273788452148438
1686427007455193600,0.157193603515625,-40.847511291503906,-25.013004302978516,-16.803359985351562
1686427007465139700,0.1671396484375,-40.81031799316406,-24.898906707763672,-16.53284454345703
1686427007475084500,0.17708447265625,-41.27063751220703,-24.839885711669922,-16.558242797851562
1686427007485029400,0.187029296875,-41.17613220214844,-24.875347137451172,-16.2960205078125
1686427007494975500,0.1969755859375,-41.037086486816406,-24.68734359741211,-16.165504455566406
1686427007504920600,0.206920654296875,-41.157310485839844,-24.703189849853516,-16.012908935546875
1686427007514865700,0.21686572265625,-41.345176696777344,-24.700420379638672,-15.75732421875
1686427007524811500,0.2268115234375,-41.33563995361328,-24.76534652709961,-15.414215087890625
1686427007534756600,0.236756591796875,-41.413551330566406,-24.97957992553711,-14.956184387207031
1686427007544701700,0.24670166015625,-41.64939880371094,-25.042415618896484,-14.70196533203125
1686427007554647600,0.2566474609375,-41.635833740234375,-24.989704132080078,-14.341438293457031
1686427007564592600,0.266592529296875,-41.44432067871094,-24.983196258544922,-14.189323425292969
1686427007574537500,0.276537353515625,-41.52587127685547,-24.898059844970703,-13.976493835449219
1686427007584483600,0.286483642578125,-41.43114471435547,-25.05294418334961,-13.961494445800781
1686427007594428400,0.296428466796875,-41.853294372558594,-24.81058120727539,-14.119895935058594
1686427007604373500,0.30637353515625,-41.913108825683594,-24.516963958740234,-14.163887023925781
1686427007614319600,0.316319580078125,-42.05633544921875,-24.596576690673828,-14.103500366210938
1686427007624264400,0.326264404296875,-41.96675109863281,-24.386676788330078,-13.6746826171875
1686427007634209500,0.33620947265625,-41.83282470703125,-24.309009552001953,-13.512367248535156
1686427007644155400,0.3461552734375,-42.32148742675781,-24.421588897705078,-13.410453796386719
1686427007654100700,0.356100830078125,-42.33929443359375,-24.157451629638672,-12.988815307617188
1686427007664045600,0.366045654296875,-42.663116455078125,-23.98459243774414,-12.973037719726562
1686427007673991400,0.375991455078125,-42.61773681640625,-23.996761322021484,-12.64715576171875
1686427007683936500,0.3859365234375,-42.797149658203125,-24.091968536376953,-12.552772521972656
1686427007693881600,0.395881591796875,-42.51777648925781,-23.668025970458984,-12.699722290039062
1686427007703827700,0.40582763671875,-42.70685577392578,-23.700847625732422,-12.471824645996094
1686427007713772500,0.4157724609375,-42.60992431640625,-23.55324935913086,-12.549209594726562
1686427007723717400,0.42571728515625,-42.898529052734375,-23.264110565185547,-12.606864929199219
1686427007733663500,0.43566357421875,-43.06919860839844,-22.863414764404297,-12.577621459960938
1686427007743609000,0.445609130859375,-42.86177062988281,-22.719417572021484,-12.780433654785156
1686427007753554200,0.45555419921875,-42.88084411621094,-22.414470672607422,-12.962661743164062
1686427007763500300,0.465500244140625,-43.312232971191406,-22.235614776611328,-12.913360595703125
1686427007773445000,0.475445068359375,-43.57940673828125,-21.901607513427734,-12.665397644042969
1686427007783390000,0.485389892578125,-43.527679443359375,-21.526126861572266,-12.763496398925781
1686427007793336000,0.495336181640625,-43.58147430419922,-21.215084075927734,-12.48651123046875
1686427007803281200,0.50528125,-43.86866760253906,-21.048694610595703,-12.388893127441406
1686427007813226200,0.515226318359375,-44.09979248046875,-20.55722427368164,-12.67303466796875
1686427007823172000,0.525172119140625,-44.306007385253906,-20.23025894165039,-12.734146118164062
1686427007833117200,0.5351171875,-44.43793487548828,-19.837940216064453,-12.400779724121094
1686427007843062300,0.545062255859375,-44.390869140625,-19.854496002197266,-12.404609680175781
1686427007853008100,0.555008056640625,-44.82054138183594,-19.363964080810547,-12.268379211425781
1686427007862953200,0.564953125,-45.120208740234375,-19.249439239501953,-12.24560546875
1686427007872898000,0.57489794921875,-45.165611267089844,-19.277362823486328,-11.891136169433594
1686427007882844200,0.58484423828125,-45.71345520019531,-18.90151596069336,-11.715606689453125
1686427007892789200,0.594789306640625,-45.695037841796875,-18.963253021240234,-11.577720642089844
1686427007902734000,0.604734130859375,-45.33240509033203,-18.70797348022461,-11.422454833984375
1686427007912680200,0.61468017578125,-45.403953552246094,-18.413806915283203,-11.079261779785156
1686427007922625000,0.624625,-45.42821502685547,-18.403308868408203,-10.788604736328125
1686427007932570000,0.634570068359375,-45.28295135498047,-18.438297271728516,-10.369949340820312
1686427007942516000,0.644515869140625,-45.65363311767578,-18.518291473388672,-10.055213928222656
1686427007952461300,0.65446142578125,-45.60210418701172,-18.278179168701172,-10.168991088867188
1686427007962406100,0.66440625,-45.701881408691406,-18.167102813720703,-10.085029602050781
1686427007972352000,0.67435205078125,-46.014251708984375,-18.207904815673828,-9.652099609375
1686427007982297000,0.684297119140625,-46.074363708496094,-18.128185272216797,-9.724212646484375
1686427007992242200,0.6942421875,-46.12062072753906,-17.986454010009766,-9.450088500976562
1686427008002188300,0.704188232421875,-45.667205810546875,-17.855342864990234,-9.417137145996094
1686427008012133000,0.714133056640625,-46.31641387939453,-17.72579574584961,-9.170814514160156
1686427008022078000,0.724077880859375,-46.391578674316406,-17.97549057006836,-9.007850646972656
1686427008032024000,0.734024169921875,-46.296669006347656,-17.746776580810547,-8.690284729003906
1686427008041969200,0.74396923828125,-46.487640380859375,-17.792659759521484,-8.7823486328125
1686427008051914200,0.753914306640625,-46.487640380859375,-17.792659759521484,-8.7823486328125
1686427008061860000,0.763860107421875,-46.35227966308594,-17.654293060302734,-8.600296020507812
1686427008071805200,0.77380517578125,-46.64197540283203,-17.519275665283203,-8.459465026855469
1686427008081750300,0.783750244140625,-46.57164764404297,-17.396732330322266,-8.312461853027344
1686427008091696000,0.793696044921875,-46.498558044433594,-17.195270538330078,-8.399375915527344
1686427008101641200,0.80364111328125,-46.829124450683594,-17.498966217041016,-7.8967742919921875
1686427008111586000,0.8135859375,-46.51451873779297,-17.458499908447266,-7.7391510009765625
1686427008121532200,0.8235322265625,-46.55279541015625,-17.298328399658203,-7.4698028564453125
1686427008131477000,0.83347705078125,-46.562416076660156,-17.13485336303711,-7.2442626953125
1686427008141422000,0.843422119140625,-46.60499572753906,-17.02169418334961,-7.078758239746094
1686427008151368200,0.8533681640625,-47.00945281982422,-17.073505401611328,-6.904167175292969
1686427008161313000,0.86331298828125,-46.8338623046875,-17.05630111694336,-6.844917297363281
1686427008171258000,0.873258056640625,-47.09098815917969,-17.149822235107422,-6.548744201660156
1686427008181204000,0.883203857421875,-46.847084045410156,-17.073665618896484,-6.335334777832031
1686427008191149300,0.8931494140625,-47.0908203125,-17.058780670166016,-5.719520568847656
1686427008201094100,0.90309423828125,-47.26006317138672,-17.407718658447266,-5.541679382324219
1686427008211040300,0.913040283203125,-46.946372985839844,-17.438861846923828,-5.2256927490234375
1686427008220985000,0.922985107421875,-46.99488067626953,-17.476924896240234,-4.800422668457031
1686427008230930200,0.93293017578125,-47.48020935058594,-17.322521209716797,-4.33306884765625
1686427008240876300,0.942876220703125,-47.551979064941406,-17.15610122680664,-3.9104080200195312
1686427008250821000,0.952821044921875,-47.652915954589844,-17.327678680419922,-3.7136611938476562
1686427008260766000,0.962765869140625,-47.712257385253906,-17.046588897705078,-3.5703582763671875
1686427008270712000,0.972712158203125,-47.695335388183594,-16.894832611083984,-3.3498611450195312
1686427008280657200,0.9826572265625,-47.625999450683594,-17.07382583618164,-2.9970855712890625
1686427008290602200,0.992602294921875,-47.20085906982422,-17.18765640258789,-2.7570266723632812
1686427008300548000,1.002548095703125,-47.145408630371094,-17.41476058959961,-2.2519302368164062
1686427008310493200,1.0124931640625,-47.257781982421875,-17.268795013427734,-1.6951904296875
1686427008320438300,1.022438232421875,-47.29156494140625,-17.08407974243164,-0.8635635375976562
1686427008330384100,1.032384033203125,-47.14362335205078,-17.187206268310547,-0.23018646240234375
1686427008340329200,1.0423291015625,-47.473114013671875,-17.08474349975586,0.4899749755859375
1686427008350274000,1.052274169921875,-47.3717041015625,-16.99832534790039,1.1679763793945312
1686427008360220200,1.06222021484375,-47.505043029785156,-16.90993881225586,1.6851730346679688
1686427008370165000,1.0721650390625,-47.41423034667969,-16.57181167602539,1.7321853637695312
1686427008380110000,1.082110107421875,-47.72813415527344,-16.499942779541016,2.0355224609375
