"event","experiment time","system time","system time text"
"START",0.000000000E0,1686301689.031,"2023-06-09 11:08:09.031 UTC+02:00"
"PAUSE",2.836138147E2,1686301972.644,"2023-06-09 11:12:52.644 UTC+02:00"
