"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.275276700E-2,2.145911932E0,8.166342378E-1,-7.419347763E-1
7.527792400E-2,2.120346308E0,9.178314209E-1,-7.738918066E-1
7.778860100E-2,2.109694004E0,9.391360879E-1,-7.664351463E-1
8.021667400E-2,2.110759258E0,9.710930586E-1,-7.738918066E-1
8.274183000E-2,2.103302717E0,1.014634490E0,-7.728265524E-1
8.529953800E-2,2.092650175E0,1.051917553E0,-7.664351463E-1
8.785719500E-2,2.083063126E0,1.092396498E0,-7.493914366E-1
9.041490300E-2,2.073476076E0,1.137136221E0,-7.216953635E-1
9.294005900E-2,2.061758518E0,1.182941318E0,-6.876079440E-1
9.547235100E-2,2.052171469E0,1.224485397E0,-6.460638046E-1
9.789172600E-2,2.037258148E0,1.269225121E0,-6.002588272E-1
1.004168820E-1,2.019149303E0,1.300116897E0,-5.512580872E-1
1.029920900E-1,2.001040220E0,1.327812910E0,-5.033226013E-1
1.055672470E-1,1.981866002E0,1.351248145E0,-4.521914124E-1
1.079522470E-1,1.954169989E0,1.358704686E0,-4.010602236E-1
1.105167260E-1,1.932865381E0,1.358704686E0,-3.520595133E-1
1.130812050E-1,1.905169249E0,1.346987128E0,-2.998631001E-1
1.155667260E-1,1.882932544E0,1.323552012E0,-2.434057444E-1
1.181312050E-1,1.862693071E0,1.285203695E0,-1.913424879E-1
1.206167260E-1,1.842453718E0,1.228746295E0,-1.444722265E-1
1.231417260E-1,1.825409889E0,1.158440948E0,-1.071890742E-1
1.256667780E-1,1.813692331E0,1.076417923E0,-8.162347972E-2
1.281917780E-1,1.810496688E0,9.806801677E-1,-6.990591437E-2
1.307167780E-1,1.807300925E0,8.912006021E-1,-7.523208112E-2
1.332417780E-1,1.805170536E0,8.113080859E-1,-8.268871158E-2
1.357667780E-1,1.807300925E0,7.378070354E-1,-9.334104508E-2
1.382917780E-1,1.806235790E0,6.717625856E-1,-1.029281393E-1
1.408167780E-1,1.801974773E0,6.163704395E-1,-1.125152409E-1
1.433812570E-1,1.796648622E0,5.641740561E-1,-1.242327988E-1
1.459062570E-1,1.788126826E0,5.130428672E-1,-1.380808353E-1
1.484313090E-1,1.779604912E0,4.693683088E-1,-1.529940963E-1
1.509564650E-1,1.768952608E0,4.267589748E-1,-1.657768935E-1
1.535152150E-1,1.760430694E0,3.810871243E-1,-1.838858575E-1
1.560739650E-1,1.752974153E0,3.310211599E-1,-2.041252851E-1
1.586139130E-1,1.740191340E0,2.777595222E-1,-2.199706137E-1
1.610563090E-1,1.729538918E0,2.202369273E-1,-2.412752807E-1
1.635814650E-1,1.721017122E0,1.573881805E-1,-2.721670270E-1
1.661860490E-1,1.717821360E0,8.921326697E-2,-3.062545061E-1
1.686313090E-1,1.716756225E0,1.890788600E-2,-3.456681073E-1
1.711563090E-1,1.719951868E0,-4.926702753E-2,-3.861469626E-1
1.736813090E-1,1.727408528E0,-1.217028722E-1,-4.372781515E-1
1.762063090E-1,1.736995578E0,-1.866820902E-1,-4.916050434E-1
1.787313090E-1,1.750843644E0,-2.419410497E-1,-5.427362323E-1
1.812563610E-1,1.767887354E0,-2.802894413E-1,-5.959978700E-1
1.838602150E-1,1.792387724E0,-2.994636297E-1,-6.375419497E-1
1.864246950E-1,1.819018483E0,-3.015941083E-1,-6.716294289E-1
1.889496950E-1,1.846714616E0,-2.877460718E-1,-6.993255019E-1
1.914746950E-1,1.874410629E0,-2.589847744E-1,-7.248910666E-1
1.940391740E-1,1.897845745E0,-2.259625494E-1,-7.451304793E-1
1.965246950E-1,1.923278213E0,-1.962691844E-1,-7.600437403E-1
1.990496950E-1,1.941387177E0,-1.685731262E-1,-7.696308494E-1
2.015746950E-1,1.947778583E0,-1.440727711E-1,-7.728265524E-1
2.040997470E-1,1.947778583E0,-1.312899739E-1,-7.632394433E-1
2.066247470E-1,1.936061025E0,-1.227681041E-1,-7.493914366E-1
2.091497470E-1,1.913691163E0,-1.238333359E-1,-7.270215154E-1
2.116747470E-1,1.879736781E0,-1.259638071E-1,-6.961297989E-1
2.141997470E-1,1.831801295E0,-1.302247345E-1,-6.599118710E-1
2.167247470E-1,1.773213506E0,-1.366161406E-1,-6.173025370E-1
2.192497470E-1,1.709299564E0,-1.387466043E-1,-5.736280084E-1
2.217747470E-1,1.641124606E0,-1.312899739E-1,-5.310186744E-1
2.242997470E-1,1.569754004E0,-1.099853069E-1,-4.937354922E-1
2.268247990E-1,1.504774809E0,-7.696308941E-2,-4.607132971E-1
2.293497990E-1,1.441926003E0,-3.009283356E-2,-4.330172241E-1
2.318747990E-1,1.390794873E0,2.210358530E-2,-4.170387387E-1
2.343997990E-1,1.350316048E0,8.601756394E-2,-4.031907022E-1
2.369247990E-1,1.321554661E0,1.531272531E-1,-3.914731443E-1
2.394497990E-1,1.302380562E0,2.223673910E-1,-3.829512596E-1
2.419747990E-1,1.288665652E0,2.894770801E-1,-3.776251078E-1
2.444997990E-1,1.278013349E0,3.491301239E-1,-3.669727743E-1
2.470247990E-1,1.282274246E0,4.075847864E-1,-3.520595133E-1
2.495497990E-1,1.287600398E0,4.565854967E-1,-3.392767310E-1
2.520747990E-1,1.297054410E0,4.959991276E-1,-3.222329915E-1
2.545998510E-1,1.310902357E0,5.300865769E-1,-3.041240275E-1
2.571248510E-1,1.327946067E0,5.588479042E-1,-2.870802879E-1
2.596498510E-1,1.344989896E0,5.812177658E-1,-2.679060996E-1
2.621748510E-1,1.362033606E0,5.918700695E-1,-2.466014475E-1
2.646998510E-1,1.378012061E0,6.014571786E-1,-2.263620198E-1
2.672248510E-1,1.389729619E0,6.014571786E-1,-2.041252851E-1
2.697498510E-1,1.402512431E0,5.918700695E-1,-1.796249151E-1
2.723143300E-1,1.409969091E0,5.780220628E-1,-1.583202630E-1
2.747999030E-1,1.407838583E0,5.567173958E-1,-1.370155960E-1
2.773249030E-1,1.403577685E0,5.364779830E-1,-1.135804728E-1
2.798498510E-1,1.392925382E0,5.119776130E-1,-9.121058136E-2
2.824143820E-1,1.376946807E0,4.864120185E-1,-7.629731297E-2
2.848999030E-1,1.353511691E0,4.576507509E-1,-5.712312087E-2
2.874249030E-1,1.326880932E0,4.246285260E-1,-4.220985994E-2
2.899499030E-1,1.295989156E0,3.958672285E-1,-2.623136342E-2
2.924749030E-1,1.262034774E0,3.629781604E-1,-1.025286783E-2
2.949999030E-1,1.223686457E0,3.235645294E-1,-6.657706108E-4
2.975249030E-1,1.184272766E0,2.756290436E-1,8.921326138E-3
3.000499030E-1,1.139533043E0,2.244978547E-1,1.637795754E-2
3.025749550E-1,1.091597557E0,1.659100503E-1,1.850842312E-2
3.050999550E-1,1.042596817E0,1.094526947E-1,1.957365684E-2
3.076249550E-1,9.925308824E-1,5.299534276E-2,1.957365684E-2
3.101499550E-1,9.445953965E-1,-2.663082560E-4,1.957365684E-2
3.126749550E-1,9.041165113E-1,-4.181039706E-2,1.957365684E-2
3.151999550E-1,8.689638376E-1,-6.844121963E-2,1.531272475E-2
3.177249550E-1,8.444634676E-1,-7.802832127E-2,1.211702544E-2
3.202499550E-1,8.242240548E-1,-6.204982474E-2,1.637795754E-2
3.227749550E-1,8.125064969E-1,-1.944050193E-2,2.063889056E-2
3.253000070E-1,8.135717511E-1,4.021254554E-2,2.170412242E-2
3.278250070E-1,8.199630976E-1,1.201050207E-1,2.916075476E-2
3.303500070E-1,8.327459097E-1,2.074541301E-1,3.555215150E-2
3.328750070E-1,8.519201279E-1,3.054555655E-1,4.620448127E-2
3.354000070E-1,8.753552437E-1,4.033238590E-1,6.005251035E-2
3.379250070E-1,8.955946565E-1,4.970643520E-1,7.709623873E-2
3.404500070E-1,9.168993235E-1,5.854787230E-1,9.946613014E-2
3.429750070E-1,9.360735416E-1,6.706973314E-1,1.239664927E-1
3.455000590E-1,9.541825056E-1,7.441984415E-1,1.516625583E-1
3.480250590E-1,9.733566642E-1,8.006557822E-1,1.793586165E-1
3.505500590E-1,9.818785191E-1,8.432651162E-1,2.102503628E-1
3.530750590E-1,9.882699251E-1,8.635045290E-1,2.432725877E-1
3.556000590E-1,9.914656281E-1,8.624392748E-1,2.816209793E-1
3.581250590E-1,9.861394763E-1,8.400694132E-1,3.189041317E-1
3.606500590E-1,9.765523672E-1,7.974600792E-1,3.593829870E-1
3.631750590E-1,9.627043605E-1,7.399374843E-1,3.997286856E-1
3.657000590E-1,9.488562942E-1,6.632407308E-1,4.380770922E-1
3.682250590E-1,9.339430332E-1,5.812177658E-1,4.721645415E-1
3.707501110E-1,9.232907295E-1,4.959991276E-1,4.977301359E-1
3.732750590E-1,9.137036204E-1,4.097152650E-1,5.190348029E-1
3.758001110E-1,9.179645777E-1,3.310211599E-1,5.328828096E-1
3.783251110E-1,9.254211783E-1,2.596505582E-1,5.371437669E-1
3.808501110E-1,9.403344393E-1,1.968017966E-1,5.318176150E-1
3.833751110E-1,9.659000635E-1,1.403444558E-1,5.190348029E-1
3.859001110E-1,9.935960770E-1,1.019960642E-1,4.955996573E-1
3.884251110E-1,1.030879259E0,6.897383928E-2,4.615122080E-1
3.909501110E-1,1.069227695E0,4.660394415E-2,4.263595045E-1
3.935146420E-1,1.113967419E0,2.956021577E-2,3.838833570E-1
3.960001630E-1,1.159772396E0,2.103835158E-2,3.306216896E-1
3.985251630E-1,1.213034153E0,2.529928461E-2,2.720338702E-1
4.010501630E-1,1.267361045E0,4.127778113E-2,2.091851383E-1
4.035751630E-1,1.320489526E0,7.643046975E-2,1.431406885E-1
4.061001630E-1,1.375881553E0,1.371487528E-1,7.603100687E-2
4.086251630E-1,1.431273699E0,2.181064636E-1,3.595161485E-3
4.111502150E-1,1.484535336E0,3.150426745E-1,-6.457975507E-2
4.136751630E-1,1.534601331E0,4.288894534E-1,-1.306242049E-1
4.162002150E-1,1.577210665E0,5.556522012E-1,-1.956034154E-1
4.187252150E-1,1.615558982E0,7.026543617E-1,-2.540580630E-1
4.212502150E-1,1.644320369E0,8.613740802E-1,-3.083849549E-1
4.237752150E-1,1.668820739E0,1.015699744E0,-3.627118468E-1
4.263002150E-1,1.678407788E0,1.172288895E0,-4.085168540E-1
4.288252150E-1,1.683733940E0,1.329943419E0,-4.479304850E-1
4.313502150E-1,1.679473042E0,1.481206536E0,-4.884093404E-1
4.338752150E-1,1.662429333E0,1.615292668E0,-5.278229713E-1
4.364002150E-1,1.636863708E0,1.731403112E0,-5.704323053E-1
4.389252670E-1,1.603841424E0,1.831534982E0,-6.098458767E-1
4.414502670E-1,1.559101701E0,1.897579432E0,-6.492595077E-1
4.439752670E-1,1.505840063E0,1.918884158E0,-6.854774356E-1
4.465002670E-1,1.445121765E0,1.906101346E0,-7.280867696E-1
4.490252670E-1,1.379077315E0,1.863492012E0,-7.685656548E-1
4.515502670E-1,1.303445816E0,1.793186665E0,-8.058487773E-1
4.540752670E-1,1.226882100E0,1.693054795E0,-8.451292515E-1
4.566002670E-1,1.146989703E0,1.581338406E0,-8.717600703E-1
4.591253200E-1,1.062836289E0,1.456706166E0,-8.877385855E-1
4.616503200E-1,9.882699251E-1,1.321421623E0,-8.941299915E-1
4.641753200E-1,9.200950265E-1,1.187202215E0,-8.888037801E-1
4.667003200E-1,8.678985834E-1,1.050852418E0,-8.717600703E-1
4.692253200E-1,8.316806555E-1,9.167661667E-1,-8.515206575E-1
4.717503200E-1,8.146369457E-1,7.804163694E-1,-8.344769478E-1
4.742753200E-1,8.146369457E-1,6.536536217E-1,-8.175663352E-1
4.768003200E-1,8.284850121E-1,5.300865769E-1,-7.941312194E-1
4.793253720E-1,8.444634676E-1,4.118457139E-1,-7.685656548E-1
4.818503720E-1,8.583115339E-1,3.011946380E-1,-7.408695817E-1
4.843753720E-1,8.583115339E-1,1.914756298E-1,-7.025212049E-1
4.869003720E-1,8.402025700E-1,8.175663650E-2,-6.599118710E-1
4.894253720E-1,8.050498366E-1,-2.902759984E-2,-6.055849791E-1
4.919503720E-1,7.475273013E-1,-1.451379955E-1,-5.448666811E-1
4.944753720E-1,6.624417901E-1,-2.632457018E-1,-4.777570069E-1
4.970003720E-1,5.569837093E-1,-3.697690070E-1,-3.957340717E-1
4.995253720E-1,4.355471432E-1,-4.592485726E-1,-3.105154335E-1
5.020899030E-1,3.013277948E-1,-5.242277980E-1,-2.115819156E-1
5.045754240E-1,1.521951705E-1,-5.615109801E-1,-1.018629074E-1
5.071004240E-1,-2.130466048E-3,-5.668371320E-1,1.637795754E-2
5.096254240E-1,-1.576544940E-1,-5.444672108E-1,1.420754492E-1
5.121504240E-1,-3.121132851E-1,-4.922707975E-1,2.752295732E-1
5.146754240E-1,-4.580501914E-1,-4.123783410E-1,4.103810191E-1
5.172004240E-1,-5.985277891E-1,-3.175725937E-1,5.456656218E-1
5.197254240E-1,-7.359428406E-1,-2.079867423E-1,6.756240726E-1
5.222899030E-1,-8.616403341E-1,-9.294158220E-2,7.938649058E-1
5.247754760E-1,-9.777507782E-1,2.636451647E-2,9.110405445E-1
5.273399550E-1,-1.092795968E0,1.446053833E-1,1.011039257E0
5.298254760E-1,-1.203446984E0,2.575200796E-1,1.098388433E0
5.323899550E-1,-1.309970260E0,3.619129062E-1,1.179346085E0
5.348754760E-1,-1.419689298E0,4.438027143E-1,1.244325280E0
5.374004760E-1,-1.532603979E0,5.023905039E-1,1.290130377E0
5.399254760E-1,-1.650844932E0,5.322170258E-1,1.324217796E0
5.424900070E-1,-1.772148252E0,5.236951709E-1,1.342326760E0
5.449755280E-1,-1.897845745E0,4.800206423E-1,1.345522404E0
5.475005280E-1,-2.024608612E0,4.129109383E-1,1.339131117E0
5.500255280E-1,-2.152436495E0,3.171731234E-1,1.329543948E0
5.525505280E-1,-2.281329632E0,2.085193694E-1,1.311434984E0
5.550755280E-1,-2.412220240E0,9.027849883E-2,1.294391274E0
5.576005280E-1,-2.540048122E0,-3.648423031E-2,1.273086667E0
5.601255280E-1,-2.662549973E0,-1.579207927E-1,1.250716686E0
5.626505800E-1,-2.780790806E0,-2.781589627E-1,1.230477333E0
5.651755280E-1,-2.895835876E0,-3.782908916E-1,1.209172606E0
5.677005800E-1,-3.013943672E0,-4.592485726E-1,1.192128897E0
5.702255800E-1,-3.125793219E0,-5.199668407E-1,1.177215695E0
5.727505800E-1,-3.239773035E0,-5.604457259E-1,1.164432883E0
5.752755800E-1,-3.351622581E0,-5.785546899E-1,1.153780460E0
5.778005800E-1,-3.458145857E0,-5.796199441E-1,1.145258665E0
5.803255800E-1,-3.558277845E0,-5.679023266E-1,1.138867259E0
5.828506320E-1,-3.651885033E0,-5.391410589E-1,1.130345345E0
5.853756320E-1,-3.737103701E0,-4.975969791E-1,1.118627787E0
5.879006320E-1,-3.818061352E0,-4.507267177E-1,1.106910229E0
5.904255800E-1,-3.897953987E0,-4.027912319E-1,1.091997027E0
5.929506320E-1,-3.966128826E0,-3.516600430E-1,1.077083707E0
5.954756320E-1,-4.035368919E0,-3.090507388E-1,1.062170506E0
5.980006320E-1,-4.102478504E0,-2.717675865E-1,1.046191931E0
6.005256320E-1,-4.164262295E0,-2.440715134E-1,1.030213475E0
6.030506840E-1,-4.229108334E0,-2.238320857E-1,1.014235020E0
6.055756840E-1,-4.288761139E0,-2.131797522E-1,1.003715873E0
6.081006840E-1,-4.353740692E0,-2.101172209E-1,1.007843614E0
6.106256840E-1,-4.412328243E0,-2.153102309E-1,1.012104511E0
6.131506840E-1,-4.465590000E0,-2.217016220E-1,1.027017832E0
6.156756840E-1,-4.502872944E0,-2.217016220E-1,1.050452948E0
6.182006840E-1,-4.520982265E0,-2.185059190E-1,1.073888063E0
6.207256840E-1,-4.522047520E0,-2.238320857E-1,1.097323179E0
6.232506840E-1,-4.509264469E0,-2.206363827E-1,1.122888803E0
6.257757360E-1,-4.477307320E0,-1.962691844E-1,1.151650071E0
6.283007360E-1,-4.415524006E0,-1.632469594E-1,1.171889424E0
6.308257360E-1,-4.321783543E0,-1.259638071E-1,1.175085187E0
6.333507360E-1,-4.210999489E0,-7.696308941E-2,1.169759035E0
6.358757360E-1,-4.073717594E0,-2.050573565E-2,1.147389174E0
6.384007360E-1,-3.918193340E0,4.766917601E-2,1.116497397E0
6.409257360E-1,-3.760538816E0,1.233007237E-1,1.078148961E0
6.434507360E-1,-3.598623514E0,1.957365721E-1,1.038735390E0
6.459757360E-1,-3.448558807E0,2.489982247E-1,9.930635095E-1
6.485007360E-1,-3.296230555E0,2.777595222E-1,9.557803273E-1
6.510257880E-1,-3.146032572E0,2.649767101E-1,9.206276536E-1
6.535507880E-1,-3.007552385E0,2.085193694E-1,8.790835738E-1
6.560757880E-1,-2.873466015E0,1.350182891E-1,8.375394940E-1
6.586007880E-1,-2.756290436E0,5.619104207E-2,7.949301600E-1
6.611652670E-1,-2.659354210E0,-2.157096937E-2,7.512555718E-1
6.636905800E-1,-2.577331305E0,-1.067896113E-1,7.054505944E-1
6.662159450E-1,-2.517678261E0,-2.069215178E-1,6.543194056E-1
6.687412570E-1,-2.485721350E0,-3.175725937E-1,6.053186655E-1
