"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.136667400E-2,-7.660023570E-1,-9.190832138E0,-2.961117983E0
4.388886100E-2,-8.306085467E-1,-8.920144081E0,-2.949153900E0
4.641386100E-2,-9.409775138E-1,-8.484051704E0,-2.973082066E0
4.893886100E-2,-9.625129104E-1,-8.158329010E0,-3.028116941E0
5.146667400E-2,-9.744769931E-1,-7.875676632E0,-3.028116941E0
5.398891300E-2,-1.027119160E0,-7.633702278E0,-3.128914595E0
5.651391300E-2,-1.110867858E0,-7.363014221E0,-3.342175007E0
5.912870500E-2,-1.190130115E0,-7.180860519E0,-3.660719633E0
6.165365300E-2,-1.290628672E0,-7.092326164E0,-3.991228104E0
6.420219500E-2,-1.395912886E0,-6.972685337E0,-4.336093903E0
6.672714200E-2,-1.537388563E0,-6.867101669E0,-4.668995380E0
6.925209000E-2,-1.613958836E0,-6.780960083E0,-4.877470016E0
7.177703800E-2,-1.642672777E0,-6.697211266E0,-5.076373100E0
7.430276700E-2,-1.731506228E0,-6.701997280E0,-5.213063240E0
7.682792400E-2,-1.920539260E0,-6.740282059E0,-5.339882851E0
7.933860100E-2,-2.042872429E0,-6.797709942E0,-5.402096272E0
8.176667400E-2,-2.186441660E0,-7.037291527E0,-5.428417206E0
8.429183000E-2,-2.363809586E0,-7.331907749E0,-5.390131950E0
8.684953800E-2,-2.581855536E0,-7.648059368E0,-5.277669430E0
8.940719500E-2,-2.809472799E0,-8.072187424E0,-5.200799942E0
9.196490300E-2,-2.962613583E0,-8.436195374E0,-5.105087280E0
9.449005900E-2,-3.166302681E0,-8.824131966E0,-4.999803066E0
9.702235100E-2,-3.276372433E0,-9.286544800E0,-4.817649364E0
9.944172600E-2,-3.300599813E0,-9.684351921E0,-4.599603176E0
1.019668820E-1,-3.374777317E0,-1.007707310E1,-4.405784607E0
1.045420900E-1,-3.398705482E0,-1.051077271E1,-4.226023674E0
1.071172470E-1,-3.329313517E0,-1.085324574E1,-4.010370731E0
1.095022470E-1,-3.233301640E0,-1.118614674E1,-3.775574923E0
1.120667260E-1,-3.168695450E0,-1.149990559E1,-3.528815269E0
1.146312050E-1,-3.209373474E0,-1.173470116E1,-3.215056419E0
1.171167260E-1,-3.118446112E0,-1.187139130E1,-2.872583628E0
1.196812050E-1,-2.921935558E0,-1.201496029E1,-2.551646233E0
1.221667260E-1,-2.608176708E0,-1.227607727E1,-2.113161564E0
1.246917260E-1,-2.114656925E0,-1.232662582E1,-1.696212173E0
1.272167780E-1,-1.566102386E0,-1.238644600E1,-1.303490162E0
