"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.221504760E-1,-3.987937927E0,-1.781934929E1,-4.975874901E0
2.246757370E-1,-4.002295017E0,-1.732104492E1,-4.743471622E0
2.272010490E-1,-4.033401489E0,-1.680359650E1,-4.448855400E0
2.297263100E-1,-4.066901207E0,-1.624068642E1,-4.242773533E0
2.322516220E-1,-4.026223183E0,-1.562991714E1,-4.106083870E0
2.347768830E-1,-3.978366852E0,-1.501675701E1,-3.974478483E0
2.373021950E-1,-3.858725548E0,-1.429083443E1,-3.869194269E0
2.398274550E-1,-3.755535126E0,-1.354337597E1,-3.773182154E0
2.423527680E-1,-3.671786308E0,-1.277438259E1,-3.727718592E0
2.448780280E-1,-3.549752474E0,-1.201017475E1,-3.768396616E0
2.474033410E-1,-3.496811152E0,-1.129412270E1,-3.856930971E0
2.499286530E-1,-3.465704441E0,-1.062802124E1,-4.012763500E0
2.524539140E-1,-3.374777317E0,-1.000768185E1,-4.137489319E0
2.549791740E-1,-3.410669565E0,-9.384949684E0,-4.245166302E0
2.575044870E-1,-3.537489176E0,-8.896215439E0,-4.376771927E0
2.600685490E-1,-3.580859184E0,-8.503194809E0,-4.527818680E0
2.625550600E-1,-3.640679598E0,-8.129614830E0,-4.640281200E0
2.650803200E-1,-3.760320902E0,-7.842176914E0,-4.674079895E0
2.676056330E-1,-3.873082638E0,-7.640881062E0,-4.613960266E0
2.701308930E-1,-3.944867134E0,-7.489833832E0,-4.544568539E0
2.726562050E-1,-4.007080555E0,-7.425227642E0,-4.362414837E0
2.751814660E-1,-4.136591911E0,-7.358228683E0,-4.151846409E0
2.777067780E-1,-4.222733974E0,-7.317550659E0,-4.000799656E0
2.802320390E-1,-4.186841488E0,-7.355835915E0,-3.948157310E0
2.827573510E-1,-4.251447678E0,-7.386942387E0,-3.948157310E0
2.852826120E-1,-4.277768612E0,-7.528418064E0,-4.074976921E0
2.878079240E-1,-4.299304008E0,-7.640881062E0,-4.211667061E0
2.903331850E-1,-4.364209175E0,-7.803892136E0,-4.410570145E0
2.928584970E-1,-4.452744007E0,-7.978568077E0,-4.566103935E0
2.953837580E-1,-4.536492825E0,-8.160721779E0,-4.661816597E0
2.979090180E-1,-4.651647091E0,-8.294719696E0,-4.829613209E0
3.004343300E-1,-4.776073933E0,-8.412266731E0,-4.985445976E0
3.029596430E-1,-4.963013172E0,-8.522336960E0,-5.047659397E0
3.054849030E-1,-5.092225552E0,-8.682954788E0,-5.093122959E0
3.080102160E-1,-5.120939732E0,-8.742775917E0,-5.155336380E0
3.105354760E-1,-5.123332500E0,-8.785846710E0,-5.210670471E0
3.130607890E-1,-5.092225552E0,-8.828917503E0,-5.234598637E0
3.155860490E-1,-5.085047245E0,-8.920144081E0,-5.145765305E0
3.181113620E-1,-4.963013172E0,-8.977571487E0,-5.143372059E0
3.206366220E-1,-4.929513931E0,-9.099904060E0,-5.227420330E0
3.231619350E-1,-4.831109047E0,-9.207581520E0,-5.246562958E0
3.256871950E-1,-4.835894585E0,-9.348757744E0,-5.244169712E0
3.282125080E-1,-4.840680122E0,-9.528518677E0,-5.215456009E0
3.307765700E-1,-4.891228676E0,-9.660423279E0,-5.179264545E0
3.332630800E-1,-4.953442097E0,-9.717850685E0,-5.097908497E0
3.357883410E-1,-4.941477776E0,-9.899705887E0,-4.966303349E0
3.383136530E-1,-5.008476734E0,-1.002921677E1,-4.805685043E0
3.408389140E-1,-5.044369221E0,-1.012732315E1,-4.642673969E0
3.433642260E-1,-5.152345181E0,-1.018505001E1,-4.420141697E0
3.458894870E-1,-5.260022163E0,-1.020419216E1,-4.192524433E0
3.484147470E-1,-5.327021599E0,-1.019701385E1,-3.981656790E0
3.509400600E-1,-5.475675583E0,-1.020179939E1,-3.756432533E0
3.534653200E-1,-5.588138103E0,-1.011535835E1,-3.579064369E0
3.560294350E-1,-5.710471153E0,-1.004835987E1,-3.390031576E0
3.585159450E-1,-5.777470112E0,-9.907182693E0,-3.231806040E0
3.610412050E-1,-5.849255085E0,-9.756135941E0,-3.025724173E0
3.635665180E-1,-5.906682491E0,-9.557232857E0,-2.829512835E0
3.660917780E-1,-5.849255085E0,-9.339186668E0,-2.695215702E0
3.686170390E-1,-5.818148136E0,-9.051749229E0,-2.522633314E0
3.711423510E-1,-5.712863922E0,-8.757132530E0,-2.359921217E0
3.736676120E-1,-5.557031631E0,-8.455337524E0,-2.239981174E0
3.761929240E-1,-5.427819252E0,-8.072187424E0,-2.182553291E0
3.787181850E-1,-5.252843857E0,-7.727022648E0,-2.105983019E0
3.812434970E-1,-5.063511848E0,-7.367800236E0,-2.101197481E0
3.837688100E-1,-4.919942379E0,-7.063612461E0,-2.163410664E0
3.862940700E-1,-4.709074974E0,-6.737889290E0,-2.184946060E0
3.888193300E-1,-4.572384834E0,-6.392724991E0,-2.218445778E0
3.913446430E-1,-4.455136776E0,-6.093322754E0,-2.268994093E0
3.938699030E-1,-4.308875561E0,-5.798706532E0,-2.410170555E0
3.963952160E-1,-4.282554150E0,-5.475376606E0,-2.501097918E0
3.989205280E-1,-4.258625984E0,-5.219045162E0,-2.621038198E0
4.014457890E-1,-4.172484398E0,-4.996213913E0,-2.747857809E0
4.039710490E-1,-4.119842529E0,-4.756632328E0,-2.886940479E0
4.064963620E-1,-4.042973042E0,-4.586741924E0,-2.956332445E0
4.090216220E-1,-3.983152390E0,-4.426123619E0,-3.114557743E0
4.115469350E-1,-3.935296059E0,-4.239184380E0,-3.203092098E0
4.140721950E-1,-3.868296862E0,-4.102793694E0,-3.270091295E0
4.165975080E-1,-3.769891977E0,-4.019044876E0,-3.368496180E0
4.191227680E-1,-3.690928936E0,-3.937389612E0,-3.457030535E0
4.216480800E-1,-3.626322746E0,-3.832105398E0,-3.547957659E0
4.241733410E-1,-3.568894863E0,-3.728914976E0,-3.641577005E0
4.266986530E-1,-3.463311672E0,-3.609273911E0,-3.720540047E0
4.292239140E-1,-3.393919706E0,-3.520739317E0,-3.780360699E0
4.317492260E-1,-3.334099293E0,-3.494418383E0,-3.852145433E0
4.342744870E-1,-3.230908871E0,-3.396013498E0,-3.883551121E0
4.367997990E-1,-3.183052301E0,-3.290729284E0,-3.972085476E0
4.393250600E-1,-3.099303484E0,-3.204288721E0,-3.996013880E0
4.418503720E-1,-3.025125980E0,-3.132503986E0,-4.029513359E0
4.443756330E-1,-2.948256493E0,-3.072683334E0,-4.019941807E0
4.469009450E-1,-2.850150824E0,-3.043969393E0,-4.027120590E0
4.494262050E-1,-2.780759096E0,-2.945863724E0,-4.034298897E0
4.519515180E-1,-2.723032236E0,-2.914458036E0,-3.929014683E0
4.544767780E-1,-2.660818815E0,-2.897708178E0,-3.885943890E0
4.570020910E-1,-2.541177750E0,-2.857030153E0,-3.893122435E0
4.595273510E-1,-2.466701031E0,-2.823530674E0,-3.881158352E0
4.620526120E-1,-2.373380899E0,-2.801995277E0,-3.883551121E0
4.645779240E-1,-2.344667196E0,-2.761317253E0,-3.924229145E0
4.671032370E-1,-2.301596165E0,-2.756531715E0,-3.964907169E0
4.696284970E-1,-2.215454578E0,-2.763710260E0,-3.955335855E0
4.721926120E-1,-2.188834429E0,-2.751745939E0,-3.933800459E0
