"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.654021600E-2,-6.390066743E-1,-1.101450920E0,-2.126471400E-1
7.905599700E-2,-6.752246022E-1,-1.430474758E0,-2.062557489E-1
8.165834100E-2,-6.858769059E-1,-1.415694714E0,-2.009295821E-1
8.417412200E-2,-7.029206157E-1,-1.447518468E0,-2.062557489E-1
8.668516400E-2,-7.114425302E-1,-1.458170891E0,-2.083862126E-1
8.916917400E-2,-7.157034278E-1,-1.428477526E0,-2.115819156E-1
9.165266400E-2,-7.103772759E-1,-1.367759228E0,-2.178401500E-1
9.431016400E-2,-6.901378632E-1,-1.274018645E0,-2.189053893E-1
9.674500800E-2,-6.624417901E-1,-1.150451660E0,-2.189053893E-1
9.927032000E-2,-6.304848194E-1,-9.874709845E-1,-2.242315561E-1
1.017955800E-1,-5.900059342E-1,-7.969274521E-1,-2.231663167E-1
1.042790700E-1,-5.346138477E-1,-5.806851387E-1,-2.157096863E-1
1.068524550E-1,-4.740287066E-1,-3.410077095E-1,-2.019948065E-1
1.094258410E-1,-4.154408872E-1,-9.294158220E-2,-1.838858575E-1
1.118967260E-1,-3.632444739E-1,1.531272531E-1,-1.540593207E-1
1.143802160E-1,-3.259612918E-1,3.757609427E-1,-1.135804728E-1
1.170155280E-1,-3.110480309E-1,5.641740561E-1,-6.990591437E-2
1.194726120E-1,-3.153089881E-1,7.154371142E-1,-2.623136342E-2
1.219978720E-1,-3.430050313E-1,8.240908980E-1,2.596505545E-2
1.245231850E-1,-3.898752928E-1,8.922657967E-1,7.390054315E-2
1.270484450E-1,-4.516588151E-1,9.135704637E-1,1.239664927E-1
1.295737050E-1,-5.251598954E-1,9.029181600E-1,1.644453406E-1
1.320990180E-1,-6.027887464E-1,8.613740802E-1,2.102503628E-1
1.346242780E-1,-6.805507541E-1,7.921339273E-1,2.528596818E-1
1.371495910E-1,-7.615084648E-1,6.941324472E-1,2.975994647E-1
1.396749030E-1,-8.424661756E-1,5.705654621E-1,3.476654291E-1
1.423165700E-1,-9.202281833E-1,4.320851564E-1,3.965329826E-1
1.448418830E-1,-1.002251148E0,2.788247466E-1,4.444684684E-1
1.473671430E-1,-1.084274054E0,1.222354919E-1,4.902735054E-1
1.498924550E-1,-1.170424819E0,-3.967992961E-2,5.360785127E-1
1.524177160E-1,-1.253512979E0,-1.941387206E-1,5.829487443E-1
1.549430280E-1,-1.342992544E0,-3.335510790E-1,6.244928837E-1
1.574682890E-1,-1.436733007E0,-4.549876451E-1,6.649717093E-1
1.599936010E-1,-1.537930131E0,-5.636414289E-1,7.033200860E-1
1.625188620E-1,-1.632735968E0,-6.445991397E-1,7.437989712E-1
1.650441740E-1,-1.722215533E0,-6.999912262E-1,7.832126021E-1
1.675694350E-1,-1.819018483E0,-7.330134511E-1,8.204957247E-1
1.700947470E-1,-1.905302405E0,-7.426005602E-1,8.545832038E-1
1.726200080E-1,-1.983064413E0,-7.287525535E-1,8.876054287E-1
1.751452680E-1,-2.057630777E0,-6.935998797E-1,9.174319506E-1
1.776705800E-1,-2.127936125E0,-6.445991397E-1,9.398018122E-1
1.801958930E-1,-2.199306726E0,-5.828156471E-1,9.568455815E-1
1.827211530E-1,-2.272807837E0,-5.114449859E-1,9.664326906E-1
1.852464660E-1,-2.355895996E0,-4.336830080E-1,9.632369876E-1
1.878105280E-1,-2.442046642E0,-3.591166735E-1,9.515193701E-1
1.902940180E-1,-2.535787106E0,-2.834851444E-1,9.312799573E-1
1.928812050E-1,-2.633788586E0,-2.227668613E-1,9.025186896E-1
1.953864140E-1,-2.728594303E0,-1.749645174E-1,8.652355075E-1
1.979836010E-1,-2.821269751E0,-1.547250897E-1,8.258218765E-1
2.004670910E-1,-2.901162148E0,-1.749645174E-1,7.832126021E-1
2.029788620E-1,-2.969203949E0,-2.280930281E-1,7.406032681E-1
2.054875080E-1,-3.027791739E0,-3.090507388E-1,7.022548914E-1
2.079740180E-1,-3.077857733E0,-4.134435654E-1,6.639064550E-1
2.104993300E-1,-3.114075661E0,-5.295539498E-1,6.340799332E-1
2.130245910E-1,-3.144967318E0,-6.584471464E-1,6.127753258E-1
2.155499030E-1,-3.171598196E0,-7.905360460E-1,5.967968106E-1
2.180751640E-1,-3.187576771E0,-9.182308912E-1,5.829487443E-1
2.206004760E-1,-3.193968058E0,-1.039667487E0,5.808182955E-1
2.231257370E-1,-3.190772295E0,-1.156843066E0,5.829487443E-1
2.256510490E-1,-3.181185246E0,-1.265496850E0,5.893401504E-1
2.281763100E-1,-3.153489113E0,-1.365628719E0,5.957315564E-1
2.307016220E-1,-3.115140915E0,-1.452844739E0,6.074491143E-1
2.332268830E-1,-3.073596716E0,-1.529541492E0,6.234276295E-1
2.357521950E-1,-3.026726484E0,-1.585998774E0,6.426018476E-1
2.382774550E-1,-2.976660490E0,-1.636064768E0,6.596455574E-1
2.408027680E-1,-2.923532009E0,-1.686130762E0,6.788197160E-1
2.433280280E-1,-2.862813711E0,-1.728740096E0,7.054505944E-1
2.458533410E-1,-2.798899889E0,-1.759631753E0,7.406032681E-1
2.483786530E-1,-2.736051083E0,-1.783066869E0,7.736254930E-1
2.509039140E-1,-2.678528547E0,-1.794784546E0,8.194305301E-1
2.534291740E-1,-2.616744995E0,-1.793719292E0,8.641703129E-1
2.559544870E-1,-2.553896189E0,-1.780936480E0,9.216928482E-1
2.585185490E-1,-2.492112637E0,-1.759631753E0,9.845415950E-1
2.610050600E-1,-2.428198576E0,-1.724479079E0,1.049387693E0
2.635303200E-1,-2.368545532E0,-1.679739356E0,1.117562652E0
2.660556330E-1,-2.313286781E0,-1.620086312E0,1.186802745E0
2.685808930E-1,-2.257894516E0,-1.565759420E0,1.249651432E0
2.711062050E-1,-2.200371981E0,-1.518889189E0,1.307174087E0
2.736314660E-1,-2.143914700E0,-1.476279855E0,1.356174827E0
2.761567780E-1,-2.083196402E0,-1.447518468E0,1.396653652E0
2.786820390E-1,-2.018217087E0,-1.432605267E0,1.425414920E0
2.812073510E-1,-1.953237891E0,-1.426347017E0,1.449915290E0
2.837326120E-1,-1.881867290E0,-1.416759968E0,1.461632848E0
2.862579240E-1,-1.806235790E0,-1.401846647E0,1.462698102E0
2.887831850E-1,-1.726476431E0,-1.382672429E0,1.450980544E0
2.913084970E-1,-1.641257763E0,-1.349650264E0,1.432871580E0
2.938337580E-1,-1.544321537E0,-1.312367082E0,1.409436464E0
2.963590180E-1,-1.445254922E0,-1.277214408E0,1.380675197E0
2.988843300E-1,-1.342992544E0,-1.237800717E0,1.345522404E0
3.014096430E-1,-1.246056318E0,-1.188800097E0,1.309304595E0
3.039349030E-1,-1.150185347E0,-1.133407950E0,1.273086667E0
3.064602160E-1,-1.064034581E0,-1.082276702E0,1.231542587E0
3.089854760E-1,-9.788159728E-1,-1.025819421E0,1.187867999E0
3.115107890E-1,-8.978582621E-1,-9.629706740E-1,1.142062902E0
3.140360490E-1,-8.190310597E-1,-8.894695640E-1,1.087736130E0
3.165613620E-1,-7.444647551E-1,-8.139711618E-1,1.035539627E0
3.190866220E-1,-6.773550510E-1,-7.298177481E-1,9.856068492E-1
3.216119350E-1,-6.102453470E-1,-6.392729878E-1,9.323452115E-1
3.241371950E-1,-5.484618545E-1,-5.444672108E-1,8.801487684E-1
3.266625080E-1,-4.910724163E-1,-4.411396384E-1,8.215609789E-1
3.292265700E-1,-4.378107786E-1,-3.388772607E-1,7.704297900E-1
3.317130800E-1,-3.856143653E-1,-2.344844192E-1,7.267552018E-1
3.342383410E-1,-3.398093283E-1,-1.334204376E-1,6.841459274E-1
3.367636530E-1,-2.897433937E-1,-4.287562892E-2,6.436670423E-1
3.392889140E-1,-2.428731322E-1,3.914731368E-2,6.085143685E-1
