"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.479046430E-1,-3.324499893E1,2.246019936E1,3.537999868E0
1.579046430E-1,-3.303759766E1,2.272859955E1,3.330600023E0
1.679046430E-1,-3.261059952E1,2.298480034E1,3.537999868E0
1.779046430E-1,-3.220800018E1,2.308239937E1,3.769799948E0
1.879046430E-1,-3.186639977E1,2.322879982E1,4.196799755E0
1.979046430E-1,-2.490019989E1,3.523360062E1,1.577460003E1
2.079046430E-1,-2.472939873E1,3.535559845E1,1.614060020E1
2.179046430E-1,-2.448539925E1,3.538000107E1,1.655539894E1
2.279046430E-1,-2.397299957E1,3.557519913E1,1.736059952E1
2.379046430E-1,-2.349720001E1,3.566059875E1,1.827560043E1
2.479046430E-1,-2.314340019E1,3.567279816E1,1.933699989E1
2.579046430E-1,-2.276519966E1,3.562400055E1,2.071559906E1
2.679046430E-1,-2.235039902E1,3.556299973E1,2.204539871E1
2.779046430E-1,-2.185019875E1,3.538000107E1,2.337520027E1
2.879046430E-1,-2.132559967E1,3.523360062E1,2.482699966E1
2.979046430E-1,-2.066679955E1,3.506279755E1,2.638859940E1
3.079046430E-1,-2.006900024E1,3.484320068E1,2.785260010E1
3.179046430E-1,-1.941020012E1,3.468460083E1,2.926779938E1
3.279046430E-1,-1.867819977E1,3.452600098E1,3.060980034E1
3.379046430E-1,-1.798279953E1,3.447719955E1,3.167119980E1
3.479046430E-1,-1.732399940E1,3.433079910E1,3.261059952E1
3.579046430E-1,-1.676280022E1,3.431859970E1,3.339139938E1
3.679046430E-1,-1.623819923E1,3.425759888E1,3.398920059E1
3.779046430E-1,-1.593319988E1,3.431859970E1,3.441619873E1
3.879046430E-1,-1.566479969E1,3.435519791E1,3.470899963E1
3.979046430E-1,-1.545739937E1,3.448939896E1,3.494079971E1
4.079046430E-1,-1.529879951E1,3.464799881E1,3.496519852E1
4.179046430E-1,-1.521339989E1,3.479439926E1,3.492860031E1
4.279046430E-1,-1.520119953E1,3.509939957E1,3.461140060E1
4.379046430E-1,-1.522559929E1,3.535559845E1,3.441619873E1
4.479046430E-1,-1.523779964E1,3.567279816E1,3.418439865E1
4.579046430E-1,-1.531099987E1,3.606319809E1,3.373299789E1
4.679046430E-1,-1.545739937E1,3.658779907E1,3.311079788E1
4.779046430E-1,-1.561599922E1,3.714899826E1,3.246419907E1
4.879046430E-1,-1.583559990E1,3.771019745E1,3.167119980E1
4.979046430E-1,-1.620159912E1,3.836899948E1,3.069519997E1
5.079046430E-1,-1.665299988E1,3.895459747E1,2.974359894E1
5.179046430E-1,-1.705559921E1,3.972319794E1,2.868219948E1
5.279046430E-1,-1.750699997E1,4.041859818E1,2.738899994E1
5.379046430E-1,-1.792179871E1,4.106520081E1,2.615679932E1
5.479046430E-1,-1.838539886E1,4.166299820E1,2.496119881E1
5.579046430E-1,-1.894659996E1,4.222419739E1,2.364360046E1
5.679046430E-1,-1.953219986E1,4.276099777E1,2.225279999E1
5.779046430E-1,-2.006900024E1,4.323679733E1,2.084980011E1
5.879046430E-1,-2.053260040E1,4.371260071E1,1.954439926E1
5.979046430E-1,-2.117919922E1,4.402980042E1,1.811700058E1
6.079046430E-1,-2.192339897E1,4.429819870E1,1.681159973E1
6.179046430E-1,-2.269199944E1,4.457880020E1,1.557940006E1
6.279046430E-1,-2.336299896E1,4.477399826E1,1.433500004E1
6.379046430E-1,-2.407059860E1,4.485939789E1,1.299300003E1
6.479046430E-1,-2.477820015E1,4.495700073E1,1.177299976E1
6.579046430E-1,-2.553459930E1,4.501799774E1,1.052859974E1
6.679046430E-1,-2.629100037E1,4.495700073E1,9.357399940E0
6.779046430E-1,-2.703520012E1,4.494479752E1,8.173999786E0
6.879046430E-1,-2.770619965E1,4.490819931E1,7.051599979E0
6.979046430E-1,-2.846259880E1,4.481060028E1,5.770599842E0
7.079046430E-1,-2.915799904E1,4.473740005E1,4.538399696E0
7.179046430E-1,-2.978019905E1,4.457880020E1,3.574599981E0
7.279046430E-1,-3.040239906E1,4.443239975E1,2.647399902E0
7.379046430E-1,-3.087819862E1,4.426160049E1,1.915399909E0
7.479046430E-1,-3.145159912E1,4.413959885E1,1.268800020E0
7.579046430E-1,-3.191519928E1,4.394440079E1,8.051999807E-1
7.679046430E-1,-3.240319824E1,4.388339996E1,5.123999715E-1
7.779046430E-1,-3.278139877E1,4.384679794E1,3.172000051E-1
7.879046430E-1,-3.324499893E1,4.390779877E1,3.294000030E-1
7.979046430E-1,-3.359880066E1,4.405419922E1,5.856000185E-1
8.079046430E-1,-3.407460022E1,4.422499847E1,9.149999619E-1
8.179046430E-1,-3.457479858E1,4.446899796E1,1.073599935E0
8.279046430E-1,-3.492860031E1,4.472520065E1,1.110199928E0
8.379046430E-1,-3.517259979E1,4.503020096E1,1.012599945E0
8.479046430E-1,-3.540439987E1,4.538399887E1,1.207800031E0
8.579046430E-1,-3.559959793E1,4.575000000E1,1.890999913E0
8.679046430E-1,-3.573379898E1,4.606719971E1,2.781599998E0
8.779046430E-1,-3.596559906E1,4.638439941E1,3.464799881E0
8.879046430E-1,-3.603879929E1,4.668939972E1,4.160200119E0
8.979046430E-1,-3.622179794E1,4.692119980E1,4.684800148E0
9.079046430E-1,-3.652679825E1,4.714080048E1,5.294799805E0
9.179046430E-1,-3.680739975E1,4.734819794E1,5.965799809E0
9.279046430E-1,-3.713679886E1,4.734819794E1,6.173199654E0
9.379046430E-1,-3.760039902E1,4.723839951E1,5.880399704E0
9.479046430E-1,-3.812500000E1,4.703099823E1,5.258199692E0
9.579046430E-1,-3.861299896E1,4.681139755E1,4.587199688E0
9.679046430E-1,-3.916199875E1,4.657959747E1,3.952800035E0
9.779046430E-1,-3.966220093E1,4.626239777E1,3.794199944E0
9.879046430E-1,-4.017459869E1,4.593299866E1,3.720999956E0
9.979046430E-1,-4.071139908E1,4.559140015E1,3.757599831E0
1.007904643E0,-4.122380066E1,4.526199722E1,3.928400040E0
1.017904643E0,-4.158979797E1,4.498139954E1,4.184599876E0
