time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1686424984823638300,0.10063818359375,2.311816236776432,-0.11955015301618356,-0.8566188303191445,0.06358088667526231,-0.36466049854154603,-0.3448691133762414,0.7450835025771883
1686424984833583000,0.1105830078125,2.3065631440157595,-0.11334817993282427,-0.8568363451705355,0.07946966267735056,-0.36430217803505077,-0.34679609725373506,0.7435170661112979
1686424984843528200,0.120528076171875,2.2998297010440147,-0.10784896444996567,-0.8566944997802031,0.09425750347877575,-0.3647735753189017,-0.3484011516176097,0.7418156573554445
1686424984853473300,0.130473388671875,2.2923464090216563,-0.10264264110938502,-0.8564227568021587,0.10841314210934082,-0.36572411968096485,-0.34964339604590927,0.7395599745518757
1686424984863419400,0.14041943359375,2.284959091838001,-0.09718442053091227,-0.8562772761168579,0.1226478315343317,-0.3667169088924876,-0.3505181988801545,0.7363120237000277
1686424984873364200,0.1503642578125,2.2779937890555826,-0.0911915789025933,-0.8563705975066963,0.13732919881237185,-0.3675878841594047,-0.3509880795914906,0.7317781097434954
1686424984883309000,0.16030908203125,2.2712730541695887,-0.08456464993841206,-0.8566621248385167,0.15275841363124404,-0.36836690871048033,-0.35111904651121395,0.7259984005677332
1686424984893254400,0.17025439453125,2.2640913458289416,-0.07717882973176314,-0.8570149664745969,0.16952910792539547,-0.36925538621594733,-0.3510258397623066,0.7190447299836088
1686424984903200300,0.1802001953125,2.256000307140503,-0.06886197530871385,-0.8573554051711577,0.18812639507526063,-0.37038971483035327,-0.35072961925744695,0.710761935303837
1686424984913145300,0.190145263671875,2.2466329687345077,-0.05944059248207817,-0.8576425969814921,0.20884370327660035,-0.37194408399640955,-0.3501049469416804,0.7006922374756062
1686424984923090200,0.200090087890625,2.234379130546129,-0.048782868558784005,-0.8575192611288207,0.2326844767588584,-0.37443690646264577,-0.34939672374372793,0.6889940865304639
1686424984933035000,0.210034912109375,2.2193198123552067,-0.037387350634741294,-0.8568253184996852,0.25870105916229275,-0.3779495333274156,-0.34872160037937966,0.6762183872593247
1686424984942981000,0.219981201171875,2.2029594257499645,-0.02590286727183736,-0.8556826208678624,0.28506186956917356,-0.38208960856902163,-0.34805727837974904,0.6629536835951669
1686424984952926200,0.22992626953125,2.1858764102066806,-0.014632645408443447,-0.8540913666207367,0.31124345872018216,-0.3865954199489359,-0.347646177676629,0.6499630944053078
1686424984962871300,0.239871337890625,2.1678783223048725,-0.0033981613631058863,-0.8519306719613179,0.33826319282052353,-0.3912353072993934,-0.3480480705459301,0.6381177188975006
1686424984972816100,0.249816162109375,2.1487888145517915,0.00811546939430376,-0.8490996323896596,0.3673975637278487,-0.3957322241158635,-0.34979971804630666,0.6280976213267093
1686424984982762000,0.259761962890625,2.1283702544113505,0.02000579055588795,-0.8455212197754273,0.3992146046829168,-0.40000546595643827,-0.3531135666577752,0.6201106050533463
1686424984992707300,0.269707275390625,2.1069854239004755,0.03250318961624013,-0.841275040971879,0.4340637581558511,-0.40382330879318384,-0.35794769831168854,0.6138438667616958
1686424985002652200,0.279652099609375,2.0850475192955646,0.04590200105856824,-0.836445519211041,0.4723364633024186,-0.4069456873411145,-0.3642076639256158,0.6088451336361388
1686424985012598300,0.289598388671875,2.062988691467755,0.06013257430537511,-0.8311245228599088,0.5135350179615276,-0.4092887290259393,-0.3716165011408556,0.6046765455827274
1686424985022543000,0.299543212890625,2.04137275180829,0.07466651839374767,-0.8254555210113876,0.5561368523087523,-0.41087481391461533,-0.3797763399688799,0.6011845998682551
1686424985032488200,0.30948828125,2.0208285096677856,0.08885096813387697,-0.8196214000073178,0.5985107785763635,-0.41166879956311336,-0.38840076256247347,0.5986512766595983
1686424985042433300,0.319433349609375,2.001635266997789,0.10225378699910495,-0.8137335891555084,0.6398891441307174,-0.411571522949484,-0.3974804267146615,0.5976687229830918
1686424985052379100,0.329379150390625,1.9832382250504386,0.11491403453292615,-0.8076853803599501,0.680997408881848,-0.4105407130905436,-0.40730262606628065,0.5987265274134461
1686424985062324200,0.33932421875,1.9649041289662132,0.1270187341252117,-0.801310748578941,0.7229064473297386,-0.40855207848739605,-0.4181537541739338,0.6020760093780434
