time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1686426032165748200,0.102748291015625,0.8317673810685273,-0.30812885964282477,-0.3740075386343919,-0.05218870119959597,-0.8679100344446307,-0.10911949435780878,0.6642633528822125
1686426032175692000,0.112692138671875,0.8286469493950479,-0.30817407415505255,-0.3737873501510516,-0.043007882664075,-0.8674482769261386,-0.11333723036872884,0.6679504284379311
1686426032185637000,0.12263720703125,0.8255137433108777,-0.30761143999237034,-0.3739776725950737,-0.03134497307374992,-0.8668685965116153,-0.1185529906201569,0.6712812359153262
1686426032195582200,0.132582275390625,0.8229094152456324,-0.30650279352704823,-0.37462925216585613,-0.018530963200320875,-0.8661882195220304,-0.12420551221264561,0.6739026787106658
1686426032205526000,0.142526123046875,0.8210609181754531,-0.30500389164819214,-0.3756685727271678,-0.0056695107439618,-0.8654406182431438,-0.12983975280340362,0.6757452209717901
1686426032215471000,0.15247119140625,0.8201221453152779,-0.30325008049606067,-0.3770350525012848,0.0064545295539167385,-0.8646504008691536,-0.13514336355797454,0.6768212956380938
1686426032225416200,0.162416259765625,0.8198485085492424,-0.30122333992130834,-0.3786161369414422,0.017793380076622452,-0.8638878819617909,-0.140043613128996,0.6770441983788086
1686426032235361000,0.172361083984375,0.8204349798685702,-0.2988241232916523,-0.38055458392647606,0.02876927651633913,-0.8630927680312318,-0.14475249853618685,0.6764110786694774
1686426032245305000,0.18230517578125,0.8213013553919399,-0.29625554854739505,-0.3825324577027231,0.03905772574300919,-0.8623656254993566,-0.14908739587297543,0.6751606622186805
1686426032255250200,0.192250244140625,0.8221003540559453,-0.293864590695042,-0.3842255187974704,0.04758244154049874,-0.8618194768804356,-0.15258263803215316,0.6735552545931967
1686426032265195000,0.202195068359375,0.8219761333381677,-0.2917218242265455,-0.38525147347499894,0.054196275189671406,-0.8616509021587027,-0.15503986360622904,0.6715286089243734
1686426032275140000,0.21214013671875,0.8206560318030838,-0.28959017838691103,-0.38562154981961855,0.059659812238031976,-0.8619037646790871,-0.15670158613832924,0.6688099326476264
1686426032285084000,0.222083984375,0.8177625990224785,-0.28709133065173487,-0.38532736369849885,0.06485168943671973,-0.8626713761761491,-0.15779567184505355,0.6648447126587811
1686426032295029200,0.232029296875,0.814095885035852,-0.2835887039212878,-0.3848875452274523,0.07073731234491733,-0.8638595457038732,-0.15870009982971428,0.6587450915927371
1686426032304974000,0.24197412109375,0.8101879872352025,-0.2785504848324322,-0.38466709561801854,0.07817763583099915,-0.8654037572976222,-0.15974125147041537,0.649780535272439
1686426032314919200,0.251919189453125,0.8063218659278392,-0.27167177433383877,-0.3849733025559769,0.08882995643507449,-0.867087156787331,-0.16170933058460726,0.6380544103708677
1686426032324863200,0.26186328125,0.8013088283732045,-0.2632893813632791,-0.3853260390921712,0.10375085635207698,-0.8688739629782961,-0.16510800970150802,0.6245982326109807
1686426032334808000,0.27180810546875,0.7945058622752058,-0.2539330916989063,-0.3854091213228365,0.12364364158053334,-0.8705907808539947,-0.17043948171844436,0.6107981491742324
1686426032344753200,0.281753173828125,0.7853497051921919,-0.24464737016085877,-0.38463923768092806,0.14667678450991875,-0.8722553375089349,-0.17711870182184686,0.5980639846088036
1686426032354697200,0.291697265625,0.7743928911582004,-0.23666396417645624,-0.38277507167918134,0.1691564170175621,-0.873888109348159,-0.1838290357455978,0.5876009951058755
1686426032364642000,0.30164208984375,0.7621275730972129,-0.23033168302928395,-0.3798350529412706,0.1889304773020735,-0.87561447944282,-0.18966232748745887,0.5793072118035776
1686426032374587100,0.311587158203125,0.7499708653435114,-0.22473706123859075,-0.37656770283869007,0.20649194116405187,-0.8773667093094633,-0.19472435043644562,0.5716345237704015
1686426032384532200,0.3215322265625,0.738169407658893,-0.21912569561056153,-0.37321594563321303,0.2227903437683292,-0.879199351930213,-0.19925412347661148,0.5633718279336648
1686426032394476300,0.331476318359375,0.7258452922135981,-0.21329920014425086,-0.369433394338801,0.2381997617785315,-0.8813125045527395,-0.2032502416639639,0.554056703712078
1686426032404421000,0.341421142578125,0.7120387677844718,-0.2070917165506399,-0.364855101859109,0.2534152099890743,-0.883850214337416,-0.20688780471840643,0.5433941987767963
1686426032414366000,0.351365966796875,0.6957860692534552,-0.20031993728766506,-0.35921177261216164,0.27024861789804994,-0.8867664652993607,-0.21091280153588712,0.5314672242300158
1686426032424311000,0.36131103515625,0.6761616722520742,-0.19285024860388014,-0.3523536139105292,0.29176814412415447,-0.8897649640449281,-0.2167348278876643,0.5188909628546498
1686426032434255000,0.371255126953125,0.6541234990673734,-0.18471084687759948,-0.3447868560287165,0.31944313087362664,-0.8923362845164559,-0.22525483829863044,0.5063382358705979
1686426032444200000,0.381199951171875,0.6315546226879233,-0.17614098737090866,-0.33716392726810285,0.35188586007875355,-0.8941769616250477,-0.2360982126079743,0.49406653788524435
1686426032454145300,0.391145263671875,0.610772241473721,-0.16737661596500145,-0.33036889160125904,0.3875558196685708,-0.8949448556797434,-0.2488274439423625,0.4825001795689876
1686426032464089000,0.401089111328125,0.592170947075717,-0.15884555680511214,-0.3246041883643752,0.42616099020578996,-0.8944370065088538,-0.26340582114855454,0.47255184703251424
1686426032474034200,0.4110341796875,0.5752258787928257,-0.15126150799425273,-0.3197050507159621,0.4671082022665066,-0.8926018466991261,-0.2795899675846803,0.4654279286962993
1686426032483979300,0.420979248046875,0.5596025052889448,-0.14556689347265964,-0.3155921747229215,0.5086903080783366,-0.889500038150212,-0.29665044659064854,0.4625198731664529
1686426032493924000,0.430924072265625,0.5444699989768659,-0.14275026252063608,-0.3121124546205759,0.5498597103539896,-0.8851785532079182,-0.3141131965795662,0.4654178250384512
1686426032503868200,0.4408681640625,0.5284485699180895,-0.14268926784269267,-0.30899694479531403,0.5927166637608129,-0.8794793051924685,-0.33268114461495096,0.47414668150197664
1686426032513813000,0.45081298828125,0.5095029179559581,-0.14438429077986306,-0.3056641663858029,0.641385892849942,-0.8721256709879026,-0.3537221930818479,0.48712007948670505
1686426032523758000,0.460758056640625,0.4877495019989352,-0.14685415174022642,-0.3022319601876567,0.6972651133510988,-0.8628849268175022,-0.3775173693343869,0.5025160918262211
1686426032533703200,0.470703125,0.46516714885570715,-0.14924502869427955,-0.29927961762479366,0.7582359545982322,-0.8519144792139431,-0.4029882052224486,0.5184107320621901
1686426032543647000,0.48064697265625,0.444445825495695,-0.15028946392868855,-0.29749450351175505,0.8223420980055781,-0.8394232453286,-0.42927705655524084,0.5325456071420017
1686426032553592300,0.49059228515625,0.42645762657039804,-0.14893051046011704,-0.29667197610858864,0.8884588410400299,-0.825822145054736,-0.45587626959153515,0.5427253722019127
1686426032563537200,0.500537109375,0.4099669119322111,-0.1446438374768888,-0.29564477578326914,0.9558800532252395,-0.8117645433042623,-0.4824010479105107,0.5469354523868101
1686426032573481000,0.51048095703125,0.3925943188713099,-0.13777646785018902,-0.2928693662269269,1.023610737418441,-0.797998504663329,-0.5083735482489203,0.5441194513153838
1686426032583426300,0.52042626953125,0.3727712414267623,-0.12949135800307335,-0.2873685426596481,1.0890931535347237,-0.7853182341781311,-0.5328476246420054,0.5347560246566075
