"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.403670540E-1,-4.638304710E-1,-8.756742477E-1,-2.253846169E0
4.454171580E-1,-5.261290073E-1,-8.200645447E-3,-1.412088156E0
4.504672620E-1,-4.859962463E-1,6.158180237E-1,-8.426566124E-1
4.555174190E-1,-4.853224754E-1,9.873061180E-1,-4.407162666E-1
4.605675230E-1,-4.053978920E-1,1.017817497E0,-1.624732018E-1
4.656176270E-1,-2.539713383E-1,7.767643929E-1,-1.237788200E-1
4.706677310E-1,4.159665108E-2,4.506731033E-1,-2.657957077E-1
4.757178350E-1,2.407348156E-1,1.623687744E-1,-4.952216148E-1
4.807679920E-1,3.436381817E-1,-9.093570709E-2,-6.293401718E-1
4.858180960E-1,4.311361313E-1,-3.609666824E-1,-6.917486191E-1
4.908682000E-1,4.775731564E-1,-4.869279861E-1,-7.269802094E-1
4.959183560E-1,5.373177528E-1,-5.209341049E-1,-9.243330956E-1
5.009684600E-1,6.573350430E-1,-4.848051071E-1,-1.214428186E0
5.060185650E-1,8.642973900E-1,-3.398561478E-1,-1.470752239E0
5.110686690E-1,9.471716881E-1,-3.281774521E-1,-1.680633783E0
5.161187730E-1,1.098937035E0,-2.664136887E-1,-1.811575651E0
5.211689290E-1,1.125091553E0,-1.789751053E-1,-1.851761818E0
5.262190330E-1,9.119138718E-1,-1.087746620E-1,-1.812816381E0
5.312691370E-1,7.312164307E-1,-4.919481277E-2,-1.726567745E0
5.363192420E-1,4.884281158E-1,5.350065231E-2,-1.465584755E0
5.413693460E-1,4.075374603E-1,1.419548988E-1,-1.187489271E0
5.464195020E-1,4.139852524E-1,1.642823219E-1,-9.619674683E-1
5.514696060E-1,4.090404510E-1,2.359981537E-1,-6.915192604E-1
5.565197100E-1,4.143543243E-1,2.878065109E-1,-3.648023605E-1
5.615698670E-1,4.524164200E-1,4.161572456E-1,-6.102657318E-2
5.666199710E-1,4.346408844E-1,4.874444008E-1,2.503848076E-1
5.716700750E-1,3.933401108E-1,6.444897652E-1,5.780754089E-1
5.767201790E-1,3.198628426E-1,7.865204811E-1,9.646306038E-1
5.817702830E-1,2.241477966E-1,1.014014721E0,1.444665909E0
5.868204400E-1,5.612397194E-2,1.209537506E0,2.052853107E0
5.918705440E-1,-5.315065384E-3,1.335018158E0,2.544160843E0
5.969206480E-1,-9.173035622E-2,1.431063175E0,2.754500389E0
6.019690330E-1,-1.148059368E-1,1.363710403E0,2.947691917E0
6.070130960E-1,-8.513617516E-2,1.244776726E0,3.146019936E0
6.120571580E-1,-4.046940804E-2,1.106666088E0,3.089241982E0
6.171012210E-1,1.652717590E-2,9.107775688E-1,2.565703869E0
6.221452830E-1,4.642796516E-2,6.358957291E-1,1.872732162E0
6.271892940E-1,-8.256506920E-2,3.964843750E-1,1.362738609E0
6.322697620E-1,-1.376290321E-1,1.623697281E-1,9.300069809E-1
6.373138250E-1,-1.027047634E-1,2.701663971E-2,7.238142490E-1
6.423578870E-1,-6.943941116E-2,-1.468353271E-1,5.240671635E-1
6.474019500E-1,5.311155319E-2,-2.946910858E-1,3.076148033E-2
6.524460120E-1,-9.040594101E-2,-2.999758720E-1,-5.637226105E-1
6.574900230E-1,-2.912492752E-1,-2.298798561E-1,-1.202620506E0
6.625704400E-1,-2.589392662E-1,-9.603118896E-2,-1.634712696E0
6.676145020E-1,-4.029984474E-1,-8.154010773E-2,-1.864712954E0
6.726585650E-1,-6.038627625E-1,-7.608985901E-2,-2.004267693E0
6.777026270E-1,-7.691640854E-1,-3.509330750E-2,-2.084409714E0
6.827648670E-1,-9.296545982E-1,1.853284836E-1,-2.193822384E0
6.878089290E-1,-9.505653381E-1,3.959522247E-1,-2.275012016E0
6.929081480E-1,-9.091053009E-1,4.914884567E-1,-2.363761902E0
6.979522100E-1,-8.546035290E-1,5.088968277E-1,-2.406873226E0
7.029962730E-1,-8.554596901E-1,5.173749924E-1,-2.435915232E0
7.080403350E-1,-1.035429955E0,3.251428604E-1,-2.373482943E0
7.130843980E-1,-1.272890091E0,2.126474380E-1,-1.359800100E0
7.181284600E-1,-1.517405510E0,2.252874374E-1,-6.458473206E-2
7.232870540E-1,-1.518577814E0,2.713136673E-1,1.073115110E0
7.283311170E-1,-1.340679646E0,2.175092697E-1,1.704977989E0
7.333751790E-1,-1.182373524E0,2.436647415E-1,2.050393343E0
7.384192420E-1,-9.458298683E-1,1.347618103E-1,2.047056675E0
7.434633040E-1,-5.925204754E-1,-2.203750610E-2,1.871324778E0
7.485073150E-1,-1.334967613E-1,-1.125869751E-1,1.383717299E0
7.535877310E-1,1.149992943E-1,-1.328172684E-1,8.555216789E-1
7.586317940E-1,2.693181038E-1,-1.268825531E-1,3.414802551E-1
7.636758560E-1,4.652118683E-1,-1.563825607E-1,-3.239803314E-1
7.687199190E-1,5.915732384E-1,-1.919336319E-1,-1.095964551E0
7.737639810E-1,6.195845604E-1,-2.237987518E-2,-1.821202278E0
7.788079920E-1,5.580573082E-1,2.515478134E-1,-2.433333635E0
7.838884600E-1,5.090832710E-1,3.549108505E-1,-2.753278494E0
7.889325230E-1,6.002883911E-1,3.699092865E-1,-2.879040718E0
7.939765850E-1,6.231336594E-1,3.707351685E-1,-2.961666584E0
7.990206480E-1,6.134128571E-1,2.214851379E-1,-2.784288406E0
8.040647100E-1,6.208143234E-1,7.347965240E-2,-2.250046492E0
8.091087210E-1,7.041139603E-1,-9.569358826E-2,-1.400915384E0
8.141891370E-1,6.876444817E-1,-3.068656921E-1,-3.384587765E-1
8.192332000E-1,4.272103310E-1,-3.604083061E-1,9.804775715E-1
8.242772620E-1,1.428642273E-1,-3.015804291E-1,2.254213810E0
8.293213250E-1,-1.556296349E-1,-2.899885178E-1,3.175505400E0
8.343653870E-1,-4.345388412E-1,-3.257465363E-1,3.826539278E0
8.394093980E-1,-6.526813507E-1,-3.991036415E-1,4.226645470E0
8.444898670E-1,-7.436861992E-1,-4.573526382E-1,4.147695065E0
8.495339290E-1,-7.814996243E-1,-5.474019051E-1,3.825186968E0
8.545779920E-1,-7.938241959E-1,-6.423883438E-1,3.331170321E0
8.596220540E-1,-8.314638138E-1,-7.103300095E-1,2.784165144E0
8.646661170E-1,-9.190366268E-1,-7.681050301E-1,2.064819574E0
8.697101270E-1,-1.016866207E0,-9.526777267E-1,1.181481481E0
8.747905440E-1,-6.888861656E-1,-3.747339249E-1,3.327516317E-1
8.798346060E-1,1.977348328E-2,-5.394649506E-2,-7.038447857E-1
8.848786690E-1,8.763427734E-1,2.977161407E-1,-1.867498875E0
8.899227310E-1,1.104360580E0,5.204906464E-1,-2.707175016E0
8.949667940E-1,9.402875900E-1,6.809062958E-1,-3.139067173E0
9.000108040E-1,1.109086990E0,3.561744690E-1,-2.894150496E0
9.050912730E-1,1.507081032E0,-2.348804474E-2,-2.108859301E0
9.101353350E-1,1.944277763E0,-7.124557495E-1,-8.552340269E-1
9.151793980E-1,1.940226078E0,-1.142860413E0,1.041787267E0
9.202234600E-1,1.078820229E0,-1.471606255E0,3.317496777E0
9.252675230E-1,-1.683425903E-1,-1.761370659E0,5.774248123E0
9.303115330E-1,-1.692767143E0,-2.321917534E0,7.407240868E0
9.353919500E-1,-3.564618587E0,-4.043304443E0,9.097294807E0
9.404360120E-1,-3.839984417E0,-3.009741783E0,1.001673031E1
9.454800750E-1,-3.685896635E0,-1.308779240E0,9.949740410E0
9.505241370E-1,-4.049146652E0,-6.967582703E-1,1.026057339E1
9.555682000E-1,-4.236593723E0,-1.022263527E0,9.828132629E0
9.606122100E-1,-4.621451378E0,-2.389696121E0,8.531164169E0
9.656926270E-1,-4.944117069E0,-3.968317986E0,6.538125038E0
9.707366900E-1,-5.235965252E0,-4.803143501E0,4.432308197E0
9.757807520E-1,-5.042378902E0,-4.937119484E0,2.928536892E0
9.808248150E-1,-4.190267086E0,-4.653251171E0,1.980261803E0
9.858688770E-1,-2.926774979E0,-4.475088596E0,1.156173229E0
9.909128870E-1,-1.848297596E0,-4.673541069E0,1.067954540E0
9.959933560E-1,-1.451702595E0,-5.171405792E0,1.382776976E0
1.001037419E0,-3.081476688E0,-6.770624161E0,1.859607697E-1
