,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,param_split_criterion,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_score_macro,split1_test_f1_score_macro,split2_test_f1_score_macro,split3_test_f1_score_macro,split4_test_f1_score_macro,mean_test_f1_score_macro,std_test_f1_score_macro,rank_test_f1_score_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_score_weighted,split1_test_f1_score_weighted,split2_test_f1_score_weighted,split3_test_f1_score_weighted,split4_test_f1_score_weighted,mean_test_f1_score_weighted,std_test_f1_score_weighted,rank_test_f1_score_weighted
75,0.5671534538269043,0.010633588417088403,0.015241384506225586,0.003346001345720571,100,10,50,1,"{'max_depth': 100, 'min_samples_leaf': 10, 'n_estimators': 50, 'split_criterion': 1}",0.9919678714859438,1.0,1.0,0.9839357429718876,1.0,0.9951807228915662,0.0064257028112449715,22,0.9845833333333334,1.0,1.0,0.9910940545808966,1.0,0.9951354775828459,0.006303516212150003,43,0.9868421052631579,1.0,1.0,0.9643308080808081,1.0,0.990234582668793,0.013918366052168575,34,0.9852574402263844,1.0,1.0,0.9767447898380823,1.0,0.9924004460128935,0.009688981002549696,37,0.9924631860776439,1.0,1.0,0.9843706208850999,1.0,0.9953667613925488,0.006224894467372332,37,0.9919678714859438,1.0,1.0,0.9839357429718876,1.0,0.9951807228915662,0.0064257028112449715,22,0.9919876152009655,1.0,1.0,0.9836578105806292,1.0,0.995129085156319,0.0065212944744802385,31
76,1.1550155639648438,0.013453627995466125,0.015687322616577147,0.005790896507743269,100,10,100,0,"{'max_depth': 100, 'min_samples_leaf': 10, 'n_estimators': 100, 'split_criterion': 0}",0.9959839357429718,0.9959839357429718,1.0,0.9919678714859438,0.9959839357429718,0.9959839357429718,0.0025399820563601406,7,0.995,0.993421052631579,1.0,0.9953703703703703,0.9976415094339622,0.9962865864871823,0.0022948332030107463,16,0.993421052631579,0.9886363636363636,1.0,0.9895833333333333,0.9945652173913043,0.9932411933985161,0.00405095674991288,7,0.9940706012134584,0.9906692406692407,1.0,0.9922067268252666,0.996031746031746,0.9945956629479422,0.003245572095324945,7,0.996144578313253,0.9961953075459734,1.0,0.9922653577272051,0.9960597105402743,0.9961329908253411,0.0024462924347844754,7,0.9959839357429718,0.9959839357429718,1.0,0.9919678714859438,0.9959839357429718,0.9959839357429718,0.0025399820563601406,7,0.995970644851884,0.9959425863040321,1.0,0.9918690347938103,0.9959584369222924,0.9959481405744037,0.0025712764177065195,10
77,1.1186195373535157,0.012679510788327323,0.023438262939453124,0.006274760258164587,100,10,100,1,"{'max_depth': 100, 'min_samples_leaf': 10, 'n_estimators': 100, 'split_criterion': 1}",0.9959839357429718,1.0,1.0,0.9839357429718876,1.0,0.9959839357429718,0.006221659993907488,7,0.995,1.0,1.0,0.9910940545808966,1.0,0.9972188109161794,0.0036232802874807284,7,0.993421052631579,1.0,1.0,0.9643308080808081,1.0,0.9915503721424773,0.013846246754925986,16,0.9940706012134584,1.0,1.0,0.9767447898380823,1.0,0.9941630782103081,0.009006822855479086,13,0.996144578313253,1.0,1.0,0.9843706208850999,1.0,0.9961030398396705,0.006053268132900476,16,0.9959839357429718,1.0,1.0,0.9839357429718876,1.0,0.9959839357429718,0.006221659993907488,7,0.995970644851884,1.0,1.0,0.9836578105806292,1.0,0.9959256910865026,0.0063293426564726965,19
78,2.299561882019043,0.018932474802746704,0.0210904598236084,0.004878177979852533,100,10,200,0,"{'max_depth': 100, 'min_samples_leaf': 10, 'n_estimators': 200, 'split_criterion': 0}",0.9959839357429718,0.9959839357429718,1.0,0.9879518072289156,0.9959839357429718,0.9951807228915662,0.003934923281579411,22,0.995,0.993421052631579,1.0,0.993287037037037,0.9976415094339622,0.9958699198205156,0.002593109582096683,37,0.993421052631579,0.9886363636363636,1.0,0.9756944444444444,0.9945652173913043,0.9904634156207383,0.00822167214908863,31,0.9940706012134584,0.9906692406692407,1.0,0.9838033654807288,0.996031746031746,0.9929149906790347,0.005464651197926256,28,0.996144578313253,0.9961953075459734,1.0,0.9883162278744607,0.9960597105402743,0.9953431648547924,0.003819576031763508,40,0.9959839357429718,0.9959839357429718,1.0,0.9879518072289156,0.9959839357429718,0.9951807228915662,0.003934923281579411,22,0.995970644851884,0.9959425863040321,1.0,0.9877517252193779,0.9959584369222924,0.9951246786595173,0.004005221221299964,34
79,2.249238204956055,0.03973623507504728,0.019885492324829102,0.0045535719861918185,100,10,200,1,"{'max_depth': 100, 'min_samples_leaf': 10, 'n_estimators': 200, 'split_criterion': 1}",0.9919678714859438,1.0,1.0,0.9839357429718876,1.0,0.9951807228915662,0.0064257028112449715,22,0.98875,1.0,1.0,0.9910940545808966,1.0,0.9959688109161793,0.004992513127884061,22,0.9820574162679425,1.0,1.0,0.9643308080808081,1.0,0.98927764486975,0.014278536797964005,43,0.9849130920559492,1.0,1.0,0.9767447898380823,1.0,0.9923315763788063,0.00974059532900135,40,0.9923293172690762,1.0,1.0,0.9843706208850999,1.0,0.9953399876308353,0.00623760031858286,43,0.9919678714859438,1.0,1.0,0.9839357429718876,1.0,0.9951807228915662,0.0064257028112449715,22,0.991910448020603,1.0,1.0,0.9836578105806292,1.0,0.9951136517202464,0.006528797878487407,37
80,0.1167020320892334,0.00990676346883568,0.019480323791503905,0.0029613680565925182,100,50,10,0,"{'max_depth': 100, 'min_samples_leaf': 50, 'n_estimators': 10, 'split_criterion': 0}",0.9839357429718876,1.0,0.9959839357429718,0.9839357429718876,0.9919678714859438,0.9911646586345381,0.006425702811244964,67,0.9756944444444444,1.0,0.9979166666666667,0.9912720097146326,0.9955923291060934,0.9920950899863674,0.008697904048151973,67,0.9736842105263157,1.0,0.9861111111111112,0.9618055555555556,0.9806763285024155,0.9804554411390795,0.012709783408206223,67,0.9731196121221697,1.0,0.9915966386554622,0.9744983934919333,0.9876457470040358,0.9853720782547202,0.010259149701606757,67,0.9856091030789824,1.0,0.9960508701472556,0.9844965776890195,0.9921094834022139,0.9916532068634943,0.0059492036105623525,67,0.9839357429718876,1.0,0.9959839357429718,0.9839357429718876,0.9919678714859438,0.9911646586345381,0.006425702811244964,67,0.9838067850701505,1.0,0.9958826904255678,0.9834018326519093,0.9918408484351402,0.9909864313165535,0.006557762719305388,67
81,0.12415828704833984,0.005864484601104992,0.017502355575561523,0.0030597430728851248,100,50,10,1,"{'max_depth': 100, 'min_samples_leaf': 50, 'n_estimators': 10, 'split_criterion': 1}",0.9879518072289156,0.9919678714859438,1.0,0.9718875502008032,0.9959839357429718,0.9895582329317267,0.009705257810116124,70,0.9757692307692307,0.9959016393442623,1.0,0.980883431085044,0.9976415094339622,0.9900391621264998,0.009786122487470406,70,0.9802631578947368,0.9722222222222222,1.0,0.9361293859649122,0.9945652173913043,0.9766359966946352,0.0225422129415775,70,0.9767094901023472,0.9822916666666667,1.0,0.9534793136322448,0.996031746031746,0.981702443286601,0.016504249828577126,70,0.9893481618782822,0.9922312199618144,1.0,0.9733285046343734,0.9960597105402743,0.9901935194029488,0.009163785639312576,70,0.9879518072289156,0.9919678714859438,1.0,0.9718875502008032,0.9959839357429718,0.9895582329317267,0.009705257810116124,70,0.9880500736783008,0.991532797858099,1.0,0.9705965990229639,0.9959584369222924,0.989227581496331,0.01015050215745389,70
82,0.5637219905853271,0.013754020795479415,0.016706562042236327,0.0030009918696545525,100,50,50,0,"{'max_depth': 100, 'min_samples_leaf': 50, 'n_estimators': 50, 'split_criterion': 0}",0.9959839357429718,1.0,0.9959839357429718,0.9879518072289156,0.9959839357429718,0.9951807228915662,0.003934923281579411,22,0.995,1.0,0.9979166666666667,0.993287037037037,0.9976415094339622,0.9967690426275333,0.002356743497137153,10,0.993421052631579,1.0,0.9861111111111112,0.9756944444444444,0.9945652173913043,0.9899583651156879,0.008394147010425212,37,0.9940706012134584,1.0,0.9915966386554622,0.9838033654807288,0.996031746031746,0.9931004702762791,0.005400642723261416,22,0.996144578313253,1.0,0.9960508701472556,0.9883162278744607,0.9960597105402743,0.9953142773750487,0.0038135634908712038,55,0.9959839357429718,1.0,0.9959839357429718,0.9879518072289156,0.9959839357429718,0.9951807228915662,0.003934923281579411,22,0.995970644851884,1.0,0.9958826904255678,0.9877517252193779,0.9959584369222924,0.9951126994838244,0.004002845902030746,49
83,0.5507242202758789,0.012709577253656424,0.016245031356811525,0.0025176385019430934,100,50,50,1,"{'max_depth': 100, 'min_samples_leaf': 50, 'n_estimators': 50, 'split_criterion': 1}",0.9919678714859438,0.9959839357429718,1.0,0.9799196787148594,0.9959839357429718,0.9927710843373493,0.006909498206459942,64,0.98875,0.9875,1.0,0.9890790272584923,0.9976415094339622,0.9925941073384908,0.005165392391713755,61,0.9820574162679425,0.9978813559322034,1.0,0.9504419191919191,0.9945652173913043,0.9849891817566739,0.018359421980994373,64,0.9849130920559492,0.9923526765632029,1.0,0.9674398178492869,0.996031746031746,0.988147466500037,0.011485609226024573,64,0.9923293172690762,0.9963855421686747,1.0,0.9805509706996586,0.9960597105402743,0.9930651081355368,0.006711641749466275,64,0.9919678714859438,0.9959839357429718,1.0,0.9799196787148594,0.9959839357429718,0.9927710843373493,0.006909498206459942,64,0.991910448020603,0.9960724589767076,1.0,0.9793079180131604,0.9959584369222924,0.9926498523865528,0.007144782279130195,64
84,1.1261042594909667,0.0190833299410566,0.01632723808288574,0.001906781652341713,100,50,100,0,"{'max_depth': 100, 'min_samples_leaf': 50, 'n_estimators': 100, 'split_criterion': 0}",0.9919678714859438,1.0,0.9959839357429718,0.9879518072289156,0.9959839357429718,0.9943775100401606,0.004095598002885774,58,0.9845833333333334,1.0,0.9979166666666667,0.993287037037037,0.9976415094339622,0.9946857092941999,0.005503304640892068,55,0.9868421052631579,1.0,0.9861111111111112,0.9756944444444444,0.9945652173913043,0.9886425756420036,0.008262843107594899,58,0.9852574402263844,1.0,0.9915966386554622,0.9838033654807288,0.996031746031746,0.9913378380788643,0.0061785486019460024,58,0.9924631860776439,1.0,0.9960508701472556,0.9883162278744607,0.9960597105402743,0.9945779989279269,0.003935609855516744,58,0.9919678714859438,1.0,0.9959839357429718,0.9879518072289156,0.9959839357429718,0.9943775100401606,0.004095598002885774,58,0.9919876152009655,1.0,0.9958826904255678,0.9877517252193779,0.9959584369222924,0.9943160935536406,0.00414659023915794,58
