time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686382168980612000,-7.724387939453125,43.60028839111328,-1,-1,52.357541819213345,1.0102882385253906,-1,35,18.831247329711914,4.83609752995731,-1
1686382176801235000,0.09623486328125,43.60028839111328,-1,-1,52.357541819213345,1.0102882385253906,-1,35,18.831247329711914,4.83609752995731,-1
1686382176802716000,0.0977158203125,42.68682098388672,-1,-1,52.35753971110243,0.09682083129882812,-1,50.333333333333336,20.940919876098633,4.835996171974641,-1
1686382177502036000,0.797035888671875,42.640926361083984,-1,-1,52.35755925162992,0.05092620849609375,-1,35,15.702530860900879,4.8359941092198415,-1
1686382183512436000,6.80743603515625,43.08536982536316,-1,-1,52.357544500844845,0.49536967277526855,-1,50.333333333333336,19.261756896972656,4.835961500852494,-1
1686382183915254000,7.21025390625,43.36061692237854,-1,-1,52.35755885266061,0.7706167697906494,-1,35,16.594680786132812,4.835999080222881,-1
1686382189883968000,13.178968017578125,43.614583015441895,-1,-1,52.357530112094594,1.024582862854004,-1,35,19.490924835205078,4.836051879332808,-1
1686382195894398000,19.18939794921875,43.774285316467285,-1,-1,52.35753218784233,1.1842851638793945,-1,50.333333333333336,20.33189582824707,4.836000362902904,-1
1686382196284714000,19.5797138671875,43.835222482681274,-1,-1,52.35753685561034,1.2452223300933838,-1,35,17.169288635253906,4.8360318243324585,-1
1686382211295266000,34.59026611328125,43.873117208480835,-1,-1,52.35753771213869,1.2831170558929443,-1,35,16.51020050048828,4.836037542159335,-1
1686382226300784000,49.5957841796875,43.89339351654053,-1,-1,52.35753796601494,1.3033933639526367,-1,35,14.46445369720459,4.836040204333766,-1
1686382241306454000,64.6014541015625,43.90602087974548,-1,-1,52.357538060731926,1.3160207271575928,-1,35,13.029136657714844,4.836041197546825,-1
1686382256311082800,79.60608276367188,43.91464066505432,-1,-1,52.35753809606921,1.3246405124664307,-1,35,11.950762748718262,4.836041568097873,-1
1686382271316766000,94.61176586914063,43.920899391174316,-1,-1,52.35753810925291,1.3308992385864258,-1,35,11.102327346801758,4.836041706343964,-1
1686382283686229000,106.98122900390625,43.92090320587158,-1,-1,52.35753940471665,1.3309030532836914,-1,50.333333333333336,11.10235595703125,4.835997211491732,-1
1686382284082614000,107.37761401367187,43.85585904121399,-1,-1,52.35755705924118,1.2658588886260986,-1,35,11.29443645477295,4.836009705618465,-1
1686382290091059000,113.38605883789063,43.71306085586548,-1,-1,52.35754412960317,1.123060703277588,-1,50.333333333333336,18.06621742248535,4.835971322166502,-1
1686382290605691000,113.90069091796875,43.655338525772095,-1,-1,52.357559502544774,1.065338373184204,-1,35,16.024921417236328,4.835973491891144,-1
1686382292106207700,115.40120776367188,43.74451661109924,-1,-1,52.35755727947767,1.1545164585113525,-1,35,14.71534538269043,4.836054866216484,-1
1686382307117845000,130.41284497070313,43.81977677345276,-1,-1,52.35755143326646,1.2297766208648682,-1,36.19850265946978,15.510540008544922,4.836026719691157,-1
1686382307522474000,130.81747387695313,43.87138080596924,-1,-1,52.35753308362662,1.2813806533813477,-1,35,14.338726043701172,4.836046097465137,-1
1686382319971348000,143.26634790039063,43.93800902366638,-1,-1,52.357535610022055,1.3480088710784912,-1,39.276421276266106,18.54751205444336,4.836017999201378,-1
1686382320367619000,143.662619140625,44.00550723075867,-1,-1,52.357528708805,1.4155070781707764,-1,35,15.77592945098877,4.836037062019551,-1
1686382335377344300,158.67234423828126,44.04376149177551,-1,-1,52.35752666421772,1.453761339187622,-1,35,13.963038444519043,4.83604270960409,-1
1686382350382986000,173.67798608398436,44.06839299201965,-1,-1,52.357525901411,1.4783928394317627,-1,35,12.659079551696777,4.836044816638772,-1
1686382358327833000,181.6228330078125,43.979220390319824,-1,-1,52.35754025346162,1.3892202377319336,-1,35,11.663252830505371,4.836054761812227,-1
1686382373339424300,196.63442431640624,43.913469552993774,-1,-1,52.35754560804384,1.3234694004058838,-1,35,10.870676040649414,4.836058472265658,-1
1686382388345053000,211.64005297851563,43.86298060417175,-1,-1,52.35754760576237,1.2729804515838623,-1,35,10.220443725585938,4.836059856582677,-1
1686382403350645000,226.64564501953126,43.8229923248291,-1,-1,52.357548351081924,1.232992172241211,-1,35,9.67448902130127,4.836060373050705,-1
1686382418356284200,241.6512841796875,43.79053711891174,-1,-1,52.35754862914889,1.2005369663238525,-1,35,9.207624435424805,4.836060565736383,-1
1686382433361789000,256.65678881835936,43.76366972923279,-1,-1,52.35754873276892,1.1736695766448975,-1,35,8.8024320602417,4.836060637503968,-1
