time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686334832288256300,-56.41374365234375,43.90838146209717,-1,-1,52.357476687201284,1.3183813095092773,-1,35,21.906211853027344,4.836046367216489,-1
1686334854788256300,-33.91374365234375,43.90838146209717,-1,-1,52.357476687201284,1.3183813095092773,-1,35,21.906211853027344,4.836046367216489,-1
1686334888875572000,0.173572021484375,43.908366203308105,-1,-1,52.35754007108292,1.3183660507202148,-1,50.333333333333336,62.576812744140625,4.8359732364381705,-1
1686334889373775000,0.671775146484375,43.71003460884094,-1,-1,52.357548250727426,1.1200344562530518,-1,35,27.07234764099121,4.8360504618699265,-1
1686334895386612000,6.684612060546875,43.684995889663696,-1,-1,52.35754199843156,1.0949957370758057,-1,50.333333333333336,22.328445434570312,4.835980993255611,-1
1686334895789092000,7.087092041015625,43.615877866744995,-1,-1,52.35754551561404,1.0258777141571045,-1,35,18.20183563232422,4.836019434500443,-1
1686334901799823000,13.097822998046874,43.56332492828369,-1,-1,52.35754014013484,0.9733247756958008,-1,50.333333333333336,19.96898651123047,4.835970478531622,-1
1686334902277268000,13.57526806640625,43.532227516174316,-1,-1,52.35754449141706,0.9422273635864258,-1,35,17.048885345458984,4.836018503131558,-1
1686334910122040000,21.4200400390625,43.501712799072266,-1,-1,52.35754005643429,0.911712646484375,-1,50.333333333333336,20.530052185058594,4.835972689721587,-1
1686334910672639700,21.9706396484375,43.44438314437866,-1,-1,52.35753720637053,0.8543829917907715,-1,35,17.406105041503906,4.836033343992587,-1
1686334918396397000,29.69439697265625,43.39132285118103,-1,-1,52.35753923906058,0.8013226985931396,-1,50.333333333333336,20.561359405517578,4.835977058319493,-1
1686334918888290800,30.186290771484376,43.3853816986084,-1,-1,52.35754395153875,0.7953815460205078,-1,35,17.374788284301758,4.836013945863465,-1
1686334927943930000,39.24193017578125,43.37957262992859,-1,-1,52.35754085208735,0.7895724773406982,-1,50.333333333333336,21.102434158325195,4.835971558995522,-1
1686334928482889200,39.78088916015625,43.40777134895325,-1,-1,52.35754357319229,0.8177711963653564,-1,35,17.690704345703125,4.836013483223535,-1
1686334934630457900,45.92845776367187,43.431045055389404,-1,-1,52.35754039072611,0.8410449028015137,-1,50.333333333333336,19.89393424987793,4.835977128267824,-1
1686334935027951000,46.325951171875,43.42679047584534,-1,-1,52.357537959666324,0.8367903232574463,-1,35,16.938854217529297,4.836032855875468,-1
1686334941038277000,52.336277099609376,43.42291283607483,-1,-1,52.35753911819754,0.8329126834869385,-1,50.333333333333336,19.61114501953125,4.835979229923069,-1
1686334941560529000,52.85852880859375,43.48137140274048,-1,-1,52.357542323143306,0.8913712501525879,-1,35,16.895038604736328,4.836024758598621,-1
1686334949908064000,61.20606396484375,43.54137063026428,-1,-1,52.35754062431862,0.9513704776763916,-1,50.333333333333336,20.7119140625,4.835972288261283,-1
1686334950377274000,61.67527416992188,43.53853511810303,-1,-1,52.35754299451702,0.9485349655151367,-1,35,17.43499755859375,4.836020416848392,-1
1686334959133041000,70.431041015625,43.53618335723877,-1,-1,52.35754184546887,0.9461832046508789,-1,40.95561066873217,19.54098892211914,4.836001068409048,-1
1686334959671471000,70.96947119140626,43.5397789478302,-1,-1,52.357543140828234,0.9497787952423096,-1,35,16.373788833618164,4.836023296292427,-1
1686334972822823200,84.1208232421875,43.54334831237793,-1,-1,52.357541210665374,0.9533481597900391,-1,50.333333333333336,19.44875144958496,4.835990603909823,-1
1686334973351625000,84.649625,43.51882195472717,-1,-1,52.35752929062893,0.9288218021392822,-1,35,16.812725067138672,4.835991983987144,-1
1686334981092666000,92.390666015625,43.49578332901001,-1,-1,52.35753356485599,0.9057831764221191,-1,41.31292345357529,19.67169189453125,4.835983431410092,-1
1686334981631629800,92.9296298828125,43.499767541885376,-1,-1,52.357541664259244,0.9097673892974854,-1,35,16.619487762451172,4.836018602225378,-1
1686334987640149000,98.93814892578125,43.503591775894165,-1,-1,52.35754066612422,0.9135916233062744,-1,50.333333333333336,19.519723892211914,4.83598828727012,-1
1686334988153458200,99.45145825195313,43.4986686706543,-1,-1,52.35754312745523,0.9086685180664062,-1,35,16.837495803833008,4.83601762778031,-1
1686335003164432100,114.46243212890624,43.46807670593262,-1,-1,52.357541443247165,0.8780765533447266,-1,50.333333333333336,20.265295028686523,4.835991512694358,-1
1686335003707799000,115.00579907226563,43.449732542037964,-1,-1,52.3575496427236,0.8597323894500732,-1,35,17.261934280395508,4.836042622542788,-1
1686335009718299000,121.016298828125,43.433767795562744,-1,-1,52.357541982889884,0.8437676429748535,-1,50.333333333333336,19.70276641845703,4.8359834875494485,-1
1686335010224488000,121.52248803710937,43.425652265548706,-1,-1,52.35754946932316,0.8356521129608154,-1,35,16.930450439453125,4.836045816579924,-1
1686335016736304000,128.03430419921875,43.419137716293335,-1,-1,52.35754490783066,0.8291375637054443,-1,43.58343257867906,18.403547286987305,4.836010155307152,-1
1686335017248316200,128.54631616210938,43.42862629890442,-1,-1,52.35754430606724,0.8386261463165283,-1,35,15.687054634094238,4.836027567337361,-1
1686335032259203000,143.557203125,43.43814539909363,-1,-1,52.35754211654718,0.8481452465057373,-1,50.333333333333336,18.41809844970703,4.835998590620561,-1
1686335032735618000,144.0336181640625,43.438345193862915,-1,-1,52.35754454892456,0.8483450412750244,-1,35,16.188344955444336,4.836027031156402,-1
1686335046334024000,157.63202392578125,43.438594579696655,-1,-1,52.35754159671973,0.8485944271087646,-1,50.333333333333336,20.760761260986328,4.8359903853778174,-1
1686335046829855000,158.12785498046875,43.40919899940491,-1,-1,52.35755065166381,0.8191988468170166,-1,35,17.481714248657227,4.836049249731644,-1
1686335061840207000,173.13820703125,43.39045071601868,-1,-1,52.35755233439554,0.8004505634307861,-1,35,17.182769775390625,4.836060094757058,-1
1686335073385169200,184.68316918945314,43.37511086463928,-1,-1,52.35754451084804,0.7851107120513916,-1,50.333333333333336,19.67772674560547,4.836003814503507,-1
1686335073923842000,185.22184204101563,43.37627816200256,-1,-1,52.35755158488351,0.7862780094146729,-1,35,16.945423126220703,4.836043258176652,-1
1686335087389018000,198.68701806640624,43.36413598060608,-1,-1,52.35754410533549,0.7741358280181885,-1,50.333333333333336,20.455251693725586,4.835996781874446,-1
1686335087787963000,199.085962890625,43.387688636779785,-1,-1,52.357551689767845,0.7976884841918945,-1,35,17.242359161376953,4.83605318167497,-1
1686335101071357000,212.36935693359376,43.410197496414185,-1,-1,52.3575441217328,0.820197343826294,-1,50.333333333333336,20.587739944458008,4.836000353037339,-1
1686335101478570000,212.77657006835938,43.40281891822815,-1,-1,52.357551155567116,0.8128187656402588,-1,35,17.319438934326172,4.836050857944801,-1
1686335114756783900,226.05478393554688,43.39617037773132,-1,-1,52.357546809200095,0.8061702251434326,-1,39.88248646916936,20.16766357421875,4.836019901772867,-1
1686335115289310000,226.58731005859374,43.41056180000305,-1,-1,52.35755046925712,0.8205616474151611,-1,35,17.201465606689453,4.836049260616337,-1
1686335126214578200,237.512578125,43.423747301101685,-1,-1,52.357543832006364,0.833747148513794,-1,50.333333333333336,20.08003044128418,4.835999861727193,-1
1686335126627066000,237.92506616210937,43.413965463638306,-1,-1,52.357550680317324,0.823965311050415,-1,35,17.05278205871582,4.836052106044675,-1
1686335137352995800,248.6509958496094,43.40412783622742,-1,-1,52.35754365675065,0.8141276836395264,-1,50.333333333333336,20.810096740722656,4.835999003627865,-1
1686335137742481000,249.04048095703126,43.42707371711731,-1,-1,52.35755107098613,0.837073564529419,-1,35,17.422082901000977,4.83605289488203,-1
1686335144774749000,256.0727490234375,43.42494225502014,-1,-1,52.35753438631425,0.834942102432251,-1,35,17.98851203918457,4.836017832239767,-1
1686335151042660900,262.3406608886719,43.42325496673584,-1,-1,52.35753806862208,0.8332548141479492,-1,50.333333333333336,19.90642738342285,4.835988641178883,-1
1686335151444737800,262.74273779296874,43.531224489212036,-1,-1,52.357542494852936,0.9412243366241455,-1,35,16.949674606323242,4.836027048760218,-1
1686335159310669000,270.6086689453125,43.63293242454529,-1,-1,52.35754174523514,1.0429322719573975,-1,50.333333333333336,19.937305450439453,4.835990763653839,-1
1686335159770212000,271.06821215820315,43.61702251434326,-1,-1,52.35754307337816,1.027022361755371,-1,35,16.604839324951172,4.8360224131866785,-1
1686335170451252000,281.749251953125,43.60178804397583,-1,-1,52.35754118644585,1.0117878913879395,-1,50.333333333333336,19.514171600341797,4.835990286762004,-1
1686335170854075000,282.15207495117187,43.6173357963562,-1,-1,52.35754264541967,1.0273356437683105,-1,35,16.735071182250977,4.836017625177436,-1
1686335182226094000,293.5240939941406,43.639338970184326,-1,-1,52.357540920692315,1.0493388175964355,-1,50.333333333333336,21.00348472595215,4.835986635248332,-1
1686335182777983000,294.07598291015626,43.61758375167847,-1,-1,52.35754467939143,1.0275835990905762,-1,35,17.65041160583496,4.836024998702806,-1
1686335192410364200,303.7083642578125,43.59743690490723,-1,-1,52.35754169604636,1.007436752319336,-1,50.333333333333336,21.013418197631836,4.835990101382402,-1
1686335192972355800,304.27035595703126,43.566049098968506,-1,-1,52.35754438628411,0.9760489463806152,-1,35,17.66328239440918,4.836024051654314,-1
1686335198982622200,310.2806223144531,43.54277849197388,-1,-1,52.35754226929545,0.9527783393859863,-1,44.89122647297469,18.82129669189453,4.835998581462496,-1
1686335199383376100,310.6813762207031,43.527507305145264,-1,-1,52.357544774067165,0.937507152557373,-1,35,15.943375587463379,4.836019612754366,-1
1686335207054787000,318.352787109375,43.511420011520386,-1,-1,52.35754179688368,0.9214198589324951,-1,50.333333333333336,19.32709503173828,4.835989281848677,-1
1686335207462249000,318.7602490234375,43.50616431236267,-1,-1,52.357544689763785,0.9161641597747803,-1,35,16.635448455810547,4.83602403519277,-1
1686335215960193300,327.258193359375,43.50100755691528,-1,-1,52.35754176011102,0.9110074043273926,-1,50.333333333333336,19.830530166625977,4.835990804270345,-1
1686335216491171800,327.789171875,43.523080587387085,-1,-1,52.35754386630484,0.9330804347991943,-1,35,17.020797729492188,4.836059693540614,-1
1686335222961663000,334.2596630859375,43.543500661849976,-1,-1,52.35754031838929,0.953500509262085,-1,50.333333333333336,19.87348747253418,4.835983647856908,-1
1686335223361816800,334.6598168945313,43.549561500549316,-1,-1,52.35754403656913,0.9595613479614258,-1,35,16.930044174194336,4.836062002207539,-1
1686335233782755800,345.080755859375,43.55564212799072,-1,-1,52.35754235114907,0.965641975402832,-1,41.1091408167089,20.51538848876953,4.836023355017506,-1
1686335234339737900,345.6377377929688,43.56432247161865,-1,-1,52.35754888831106,0.9743223190307617,-1,35,17.40365982055664,4.836051801240456,-1
1686335243966809000,355.26480908203126,43.57215666770935,-1,-1,52.35754327545142,0.98215651512146,-1,50.333333333333336,20.270517349243164,4.836000728064833,-1
1686335244520391000,355.8183908691406,43.58751583099365,-1,-1,52.35755085926677,0.9975156784057617,-1,35,17.113759994506836,4.836049177790798,-1
1686335253514080000,364.812080078125,43.601208448410034,-1,-1,52.35754398112319,1.0112082958221436,-1,50.333333333333336,19.65829086303711,4.8359998942256,-1
1686335253916732000,365.2147319335937,43.597083568573,-1,-1,52.35754393693359,1.0070834159851074,-1,35,16.814414978027344,4.836022200102725,-1
1686335263066912300,374.36491235351565,43.593141317367554,-1,-1,52.35754147855949,1.003141164779663,-1,50.333333333333336,19.885713577270508,4.835990088104272,-1
1686335263567284200,374.8652841796875,43.56745910644531,-1,-1,52.357544374648086,0.9774589538574219,-1,35,17.023942947387695,4.83602516737319,-1
1686335271332717800,382.6307177734375,43.54445171356201,-1,-1,52.35754177875904,0.9544515609741211,-1,50.333333333333336,19.575077056884766,4.835992554769136,-1
1686335271857602000,383.1556020507812,43.51887321472168,-1,-1,52.35754470278916,0.9288730621337891,-1,35,16.393827438354492,4.836022563117012,-1
1686335281833628200,393.1316281738281,43.494556188583374,-1,-1,52.35754297060198,0.9045560359954834,-1,39.30498242111042,19.09211540222168,4.836003523284673,-1
1686335282353940000,393.6519399414062,43.48789882659912,-1,-1,52.35754493250196,0.8978986740112305,-1,35,16.60936737060547,4.8360230252107534,-1
1686335289469879000,400.7678791503906,43.481162309646606,-1,-1,52.35754107936762,0.8911621570587158,-1,50.333333333333336,20.086334228515625,4.835982266737892,-1
1686335289965496000,401.26349609375,43.4804003238678,-1,-1,52.35754377031792,0.8904001712799072,-1,35,17.127182006835938,4.836015902643385,-1
1686335295975048200,407.27304809570313,43.479737758636475,-1,-1,52.357540290682536,0.889737606048584,-1,50.333333333333336,19.664087295532227,4.83597516019472,-1
1686335296450184000,407.7481838378906,43.48798394203186,-1,-1,52.357543251378196,0.8979837894439697,-1,35,16.88210678100586,4.836017183423165,-1
1686335302460255200,413.75825512695315,43.49558997154236,-1,-1,52.357540241639526,0.9055898189544678,-1,50.333333333333336,19.594932556152344,4.835975393568155,-1
1686335302987052000,414.28505200195315,43.491695404052734,-1,-1,52.35754421031482,0.9016952514648438,-1,35,16.89027976989746,4.836020371387305,-1
