time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1686325290231333000,0.2703330078125,0.06990665942430496,0.018610559403896332,0.23251670598983765,0.9698982834815979,0.004030332900583744,-0.4708423316478729,-0.14293694496154785
1686325290236308500,0.27530859375,0.06991416960954666,0.018599217757582664,0.23263946175575256,0.969868540763855,0.003981731366366148,-0.47109255194664,-0.14296790957450867
1686325290241535700,0.28053564453125,0.06969670206308365,0.01873968169093132,0.23284368216991425,0.9698324799537659,0.004368566907942295,-0.4715311825275421,-0.14243321120738983
1686325290246565400,0.2855654296875,0.06928512454032898,0.018925391137599945,0.23306210339069366,0.969805896282196,0.004954149946570396,-0.4720044434070587,-0.14145077764987946
1686325290251651800,0.29065185546875,0.06907432526350021,0.019219422712922096,0.23332664370536804,0.9697515368461609,0.005663115531206131,-0.47258883714675903,-0.14085397124290466
1686325290256625000,0.295625,0.06866529583930969,0.01949925720691681,0.23364602029323578,0.9696980714797974,0.006437734700739384,-0.4732820689678192,-0.1398334801197052
1686325290261674200,0.30067431640625,0.06824323534965515,0.019743409007787704,0.2340136170387268,0.9696342945098877,0.007134994026273489,-0.4740685820579529,-0.13880538940429688
1686325290266763300,0.30576318359375,0.06774239242076874,0.019961345940828323,0.2344268411397934,0.9695651531219482,0.007810984738171101,-0.47494399547576904,-0.13762038946151733
1686325290271773200,0.310773193359375,0.06757708638906479,0.020168254151940346,0.2346642166376114,0.9695149660110474,0.008313161320984364,-0.47545918822288513,-0.1371644139289856
1686325290276822800,0.31582275390625,0.06735112518072128,0.0202685184776783,0.2348209023475647,0.969490647315979,0.008627756498754025,-0.4757930338382721,-0.1366262286901474
1686325290281872100,0.3208720703125,0.06705687940120697,0.020298253744840622,0.2349487841129303,0.9694794416427612,0.008829477243125439,-0.47605714201927185,-0.13597357273101807
1686325290286957800,0.325957763671875,0.06678716838359833,0.02029324509203434,0.2350437045097351,0.9694751501083374,0.008947568945586681,-0.47624891996383667,-0.13539084792137146
1686325290292013300,0.331013427734375,0.06653830409049988,0.02025536634027958,0.2351188212633133,0.9694748520851135,0.008985988795757294,-0.47639554738998413,-0.13486988842487335
1686325290297017600,0.336017578125,0.06624764204025269,0.02019004337489605,0.23518574237823486,0.9694799184799194,0.008988100104033947,-0.4765212833881378,-0.13427123427391052
1686325290302072600,0.341072509765625,0.06594348698854446,0.02010718733072281,0.23523958027362823,0.9694892764091492,0.00896118301898241,-0.47661760449409485,-0.13365145027637482
1686325290307119400,0.346119384765625,0.06596071273088455,0.019886383786797523,0.2350095808506012,0.9695484638214111,0.008504805155098438,-0.47611507773399353,-0.1337917000055313
1686325290312169000,0.3511689453125,0.06602925062179565,0.019636420533061028,0.23483331501483917,0.9695916175842285,0.00794965773820877,-0.47571927309036255,-0.1340627670288086
1686325290317218600,0.356218505859375,0.06609485298395157,0.019425978884100914,0.23459166288375854,0.9696498513221741,0.007492381613701582,-0.4751945436000824,-0.1343022584915161
1686325290322307300,0.361307373046875,0.06612461060285568,0.019267523661255836,0.2343224585056305,0.9697160720825195,0.007171880919486284,-0.47462019324302673,-0.13443388044834137
1686325290327317500,0.3663173828125,0.06611420214176178,0.019108405336737633,0.23416736721992493,0.9697573781013489,0.006854042410850525,-0.47427964210510254,-0.13448482751846313
1686325290332366800,0.371366943359375,0.066233329474926,0.01889835111796856,0.23399215936660767,0.9697957038879395,0.006359816994518042,-0.4738917350769043,-0.13484476506710052
1686325290337416400,0.37641650390625,0.06630822271108627,0.018721746280789375,0.23380440473556519,0.9698392748832703,0.005964020732790232,-0.47348225116729736,-0.13508924841880798
1686325290342465800,0.3814658203125,0.06644395738840103,0.018545860424637794,0.2336239516735077,0.9698768258094788,0.00553675414994359,-0.47308820486068726,-0.1354668140411377
1686325290347515400,0.386515380859375,0.06657430529594421,0.01839716173708439,0.233434796333313,0.9699162840843201,0.005173143465071917,-0.47267988324165344,-0.13581757247447968
1686325290352604400,0.3916044921875,0.0667252317070961,0.01825469359755516,0.2332669347524643,0.9699490070343018,0.004809207748621702,-0.4723162353038788,-0.13621129095554352
1686325290357696300,0.3966962890625,0.06680355221033096,0.01822567731142044,0.233115091919899,0.9699806571006775,0.004728283267468214,-0.47200095653533936,-0.13638781011104584
1686325290362705200,0.401705078125,0.06709130853414536,0.018243681639432907,0.23302337527275085,0.9699825048446655,0.004630322568118572,-0.47181662917137146,-0.13700206577777863
1686325290367752700,0.406752685546875,0.06707609444856644,0.01825737953186035,0.23291823267936707,0.9700085520744324,0.004684507381170988,-0.4716027081012726,-0.1369546353816986
1686325290372763000,0.411762939453125,0.06722676753997803,0.018292058259248734,0.23289355635643005,0.9700033664703369,0.00468464195728302,-0.4715576767921448,-0.13726463913917542
1686325290377812200,0.416812255859375,0.06718844920396805,0.01830870285630226,0.23292607069015503,0.9699978828430176,0.004735963884741068,-0.47162654995918274,-0.13717427849769592
1686325290382901200,0.4219013671875,0.06729831546545029,0.018380310386419296,0.23296107351779938,0.9699805378913879,0.004828648641705513,-0.4717090129852295,-0.1373797208070755
1686325290387911200,0.4269111328125,0.06724078953266144,0.018405085429549217,0.2330133020877838,0.9699715375900269,0.004904711619019508,-0.4718194305896759,-0.13724438846111298
1686325290392960800,0.431960693359375,0.06710570305585861,0.018425628542900085,0.2330908328294754,0.9699618220329285,0.005008460022509098,-0.4719807207584381,-0.13694319128990173
1686325290398092500,0.437092529296875,0.06702197343111038,0.01846056804060936,0.23318582773208618,0.9699441194534302,0.005113876424729824,-0.4721801280975342,-0.13674798607826233
