"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.724105900E-2,3.013277948E-1,-1.973344237E-1,3.529915810E-1
7.976637100E-2,1.649779677E-1,-4.794880152E-1,4.007939398E-1
8.229173600E-2,1.383471340E-1,-5.178363919E-1,3.986634612E-1
8.480939200E-2,6.497921795E-2,-6.371424794E-1,4.242290556E-1
8.737913200E-2,-5.326164886E-3,-7.500572205E-1,4.444684684E-1
8.981559000E-2,-7.776200771E-2,-8.521864414E-1,4.593817294E-1
9.234090200E-2,-1.587197185E-1,-9.491226077E-1,4.742949903E-1
9.486626700E-2,-2.428731322E-1,-1.047124028E0,4.902735054E-1
9.744220500E-2,-3.280917704E-1,-1.136603594E0,5.137086511E-1
9.991694400E-2,-4.165061116E-1,-1.217561364E0,5.403394699E-1
1.024422570E-1,-5.102466345E-1,-1.297453880E0,5.712311864E-1
1.049676210E-1,-6.049191952E-1,-1.374150634E0,6.095796227E-1
1.074929340E-1,-7.050511241E-1,-1.452844739E0,6.511237025E-1
1.100182980E-1,-8.073135018E-1,-1.530606747E0,6.894720793E-1
1.125436630E-1,-9.106410742E-1,-1.607303500E0,7.299509048E-1
1.151103820E-1,-1.021425366E0,-1.686130762E0,7.704297900E-1
1.176503820E-1,-1.134340048E0,-1.764958024E0,8.077129126E-1
1.201196520E-1,-1.249252081E0,-1.848046184E0,8.418003917E-1
1.226449650E-1,-1.364297152E0,-1.930069089E0,8.737573624E-1
1.251703300E-1,-1.483603239E0,-2.007831097E0,9.078448415E-1
1.277730900E-1,-1.605039835E0,-2.085459948E0,9.387366176E-1
1.302210070E-1,-1.725411177E0,-2.161091566E0,9.685631394E-1
1.327463190E-1,-1.848845124E0,-2.220744610E0,1.001585364E0
1.352716840E-1,-1.971346855E0,-2.272940874E0,1.033409238E0
1.377969960E-1,-2.092783451E0,-2.318746090E0,1.066431403E0
1.403223610E-1,-2.213154793E0,-2.348572493E0,1.093062282E0
1.428477250E-1,-2.335656643E0,-2.362420559E0,1.128214955E0
1.453730380E-1,-2.456959963E0,-2.357094288E0,1.163367629E0
1.478983500E-1,-2.579461813E0,-2.341115952E0,1.197455049E0
1.504237150E-1,-2.697702646E0,-2.308093548E0,1.234738231E0
1.529490270E-1,-2.815943480E0,-2.260158062E0,1.276282310E0
1.554743920E-1,-2.926727772E0,-2.206896544E0,1.318891644E0
1.579997570E-1,-3.041639805E0,-2.142982483E0,1.359370470E0
1.605250690E-1,-3.147097826E0,-2.062024832E0,1.399849296E0
1.630503820E-1,-3.248295069E0,-1.967352271E0,1.432871580E0
1.655757460E-1,-3.349492073E0,-1.854437590E0,1.462698102E0
1.681010590E-1,-3.441102028E0,-1.731935740E0,1.492524624E0
1.706264230E-1,-3.529516459E0,-1.603042603E0,1.523416400E0
1.731517360E-1,-3.616732359E0,-1.468823195E0,1.552177668E0
1.756771000E-1,-3.698755264E0,-1.328345537E0,1.579873681E0
1.782024650E-1,-3.778647900E0,-1.188800097E0,1.615958452E0
1.807277770E-1,-3.853214264E0,-1.053515434E0,1.653241634E0
1.832530900E-1,-3.927780390E0,-9.246222377E-1,1.690524817E0
1.857784550E-1,-3.990629196E0,-8.065145612E-1,1.725677490E0
1.883037670E-1,-4.041760445E0,-7.042521834E-1,1.758699775E0
1.908291320E-1,-4.080108643E0,-6.126421690E-1,1.786395788E0
1.933544440E-1,-4.099283218E0,-5.295539498E-1,1.811961412E0
1.958798090E-1,-4.101413250E0,-4.613790512E-1,1.821548462E0
1.984051730E-1,-4.086500168E0,-4.017260075E-1,1.825809360E0
2.009304860E-1,-4.047086716E0,-3.378120363E-1,1.818352818E0
2.034557980E-1,-3.987433434E0,-2.685718834E-1,1.799178600E0
2.059811630E-1,-3.910736799E0,-1.909430176E-1,1.768286824E0
2.085064750E-1,-3.810604811E0,-1.067896113E-1,1.725677490E0
2.110318400E-1,-3.692363977E0,-2.157096937E-2,1.673481107E0
2.135571520E-1,-3.562538624E0,6.684337556E-2,1.611830711E0
2.160825170E-1,-3.418732166E0,1.520620137E-1,1.543655753E0
2.186078300E-1,-3.264273405E0,2.468677461E-1,1.465893745E0
2.211331940E-1,-3.101292849E0,3.480648994E-1,1.378544688E0
2.236585590E-1,-2.934184313E0,4.501941204E-1,1.293326020E0
