"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.226831940E-1,-3.469592929E-1,-1.483699608E1,-6.062814593E-1
2.252085590E-1,-2.006980032E-1,-1.459262848E1,-1.800599098E-1
2.277338710E-1,1.495514158E-2,-1.428604889E1,4.286143482E-1
2.302591840E-1,3.957130313E-1,-1.408235931E1,1.463211060E0
2.327845480E-1,8.892326951E-1,-1.381406403E1,1.602293849E0
2.353098610E-1,1.279860973E0,-1.357448292E1,1.633400559E0
2.378352250E-1,1.500000715E0,-1.332293701E1,1.856232166E0
2.403605900E-1,1.696511269E0,-1.299960709E1,2.112563372E0
2.428858500E-1,1.809273005E0,-1.273131180E1,2.169991016E0
2.454112150E-1,1.986341953E0,-1.246062374E1,2.284846544E0
2.479365800E-1,2.038984060E0,-1.214447212E1,2.205883265E0
2.504618920E-1,1.936092615E0,-1.178524971E1,2.038385868E0
2.529872570E-1,1.840379715E0,-1.139940739E1,2.040778637E0
2.555125690E-1,1.893021822E0,-1.107846928E1,2.306680918E0
2.580379340E-1,1.900200248E0,-1.081735325E1,2.704188585E0
2.605632460E-1,1.936092615E0,-1.060887814E1,3.113959551E0
2.630886110E-1,1.919342875E0,-1.045095158E1,3.533002615E0
2.656139230E-1,1.893021822E0,-1.035015392E1,4.167997837E0
2.681392360E-1,1.842772484E0,-1.013928699E1,4.493721008E0
2.706646000E-1,1.713261008E0,-9.964611053E0,4.431507587E0
2.731899130E-1,1.660618901E0,-9.717850685E0,4.404887199E0
2.757152770E-1,1.562513232E0,-9.576375008E0,4.433900356E0
2.782405900E-1,1.500000715E0,-9.514162064E0,4.426422596E0
2.807659550E-1,1.394716501E0,-9.423234940E0,4.385744572E0
2.832912670E-1,1.157527924E0,-9.312865257E0,4.254139423E0
2.858166320E-1,9.394819736E-1,-9.150154114E0,3.945166349E0
2.883419440E-1,7.719843984E-1,-9.025427818E0,3.509074450E0
2.908673090E-1,6.113662124E-1,-8.922536850E0,2.965305567E0
2.933926210E-1,4.893322289E-1,-8.853144646E0,2.354537487E0
2.959179860E-1,3.717848063E-1,-8.761918068E0,1.621436477E0
2.984432980E-1,1.537388563E-1,-8.678169250E0,8.213363886E-1
3.009686630E-1,-3.050848842E-2,-8.543871880E0,2.841476910E-2
3.034939750E-1,-2.533400953E-1,-8.510373116E0,-7.262216806E-1
3.060193400E-1,-4.546363056E-1,-8.515158653E0,-1.365703583E0
3.085446520E-1,-7.037889361E-1,-8.407481194E0,-2.019841433E0
3.110700170E-1,-9.194421172E-1,-8.431409836E0,-2.554039001E0
3.135953300E-1,-1.156630635E0,-8.405088425E0,-2.781357288E0
3.161206940E-1,-1.355234981E0,-8.151150703E0,-2.934797049E0
3.186460070E-1,-1.451246977E0,-7.935497284E0,-3.069094181E0
3.211713710E-1,-1.674078584E0,-7.628916740E0,-3.169592619E0
3.236966840E-1,-1.971087694E0,-7.209574699E0,-3.332304716E0
3.262220480E-1,-2.299203396E0,-6.788138866E0,-3.507279873E0
3.287473610E-1,-2.663211584E0,-6.297011852E0,-3.758825302E0
3.312727250E-1,-2.854936600E0,-5.825027466E0,-4.082155228E0
3.337980380E-1,-3.020340443E0,-5.358128071E0,-4.336093903E0
3.363233500E-1,-3.125624657E0,-4.996213913E0,-4.580460548E0
3.388487150E-1,-3.211766243E0,-4.701597214E0,-4.841577530E0
3.413740800E-1,-3.293421268E0,-4.433301926E0,-5.059623718E0
3.438993920E-1,-3.446561813E0,-4.191328049E0,-5.148158073E0
3.464247050E-1,-3.549752474E0,-4.076472282E0,-5.292026520E0
3.489500690E-1,-3.621536970E0,-3.968496323E0,-5.457130909E0
3.514753820E-1,-3.724428415E0,-3.827319860E0,-5.474180222E0
3.540007460E-1,-3.774677753E0,-3.726522207E0,-5.387739182E0
3.565260590E-1,-3.757927895E0,-3.661916018E0,-5.157729149E0
3.590514230E-1,-3.741178274E0,-3.590131283E0,-4.781756878E0
3.615767360E-1,-3.678964853E0,-3.523132324E0,-4.316951275E0
3.641020480E-1,-3.539881945E0,-3.511168242E0,-3.742075443E0
3.666274130E-1,-3.432204962E0,-3.527917862E0,-3.210270643E0
3.691527250E-1,-3.300599813E0,-3.499203920E0,-2.623430967E0
3.716780900E-1,-3.262015581E0,-3.496811152E0,-2.050948143E0
3.742034550E-1,-3.187838078E0,-3.518346548E0,-1.622034669E0
3.767287670E-1,-3.202194929E0,-3.494418383E0,-1.279561877E0
3.792540800E-1,-3.171088219E0,-3.463012457E0,-9.993025661E-1
3.817794440E-1,-3.166302681E0,-3.386442184E0,-8.817551732E-1
3.843048090E-1,-3.187838078E0,-3.362514019E0,-8.027920127E-1
3.868301210E-1,-3.199802160E0,-3.384049416E0,-6.927221417E-1
3.893554340E-1,-3.254837036E0,-3.300300598E0,-6.783652306E-1
3.918807980E-1,-3.307778120E0,-3.259622574E0,-7.429714203E-1
3.944061110E-1,-3.314956665E0,-3.173182011E0,-8.602197170E-1
3.969314750E-1,-3.336492062E0,-3.110968590E0,-1.035194874E0
3.994567880E-1,-3.527917862E0,-3.079861879E0,-1.212562919E0
4.019821520E-1,-3.549752474E0,-3.120539904E0,-1.325025558E0
4.045074650E-1,-3.604787350E0,-3.151646614E0,-1.471286774E0
4.070328300E-1,-3.659822226E0,-3.245265722E0,-1.645962834E0
4.095581420E-1,-3.786641836E0,-3.271586657E0,-1.775474429E0
4.120835070E-1,-3.863511324E0,-3.273979664E0,-1.816152334E0
4.146088190E-1,-3.877868176E0,-3.364906788E0,-1.878365755E0
4.171341840E-1,-3.856332779E0,-3.434298754E0,-1.962114573E0
4.196594960E-1,-3.777070522E0,-3.561417341E0,-1.964507341E0
4.221848090E-1,-3.729214191E0,-3.702594042E0,-1.931007862E0
4.247101730E-1,-3.702893019E0,-3.841676712E0,-2.038984060E0
4.272354860E-1,-3.753142357E0,-3.939782381E0,-2.208874464E0
4.297608500E-1,-3.676572084E0,-4.088436604E0,-2.239981174E0
4.322861630E-1,-3.616751432E0,-4.251148701E0,-2.326421738E0
4.348115270E-1,-3.638286829E0,-4.371088982E0,-2.359921217E0
4.373368400E-1,-3.597608805E0,-4.533800602E0,-2.369492531E0
4.398622050E-1,-3.544667721E0,-4.656133652E0,-2.388635159E0
4.423875170E-1,-3.451347589E0,-4.816452980E0,-2.362314224E0
4.449128820E-1,-3.425026417E0,-4.862215519E0,-2.297708035E0
4.474381940E-1,-3.396312714E0,-4.905286312E0,-2.271386862E0
4.499635590E-1,-3.298206806E0,-4.972285271E0,-2.153839588E0
4.524888710E-1,-3.310171127E0,-4.962714195E0,-2.098804474E0
4.550141840E-1,-3.209373474E0,-4.886143684E0,-2.127518415E0
4.575395480E-1,-3.183052301E0,-4.838287354E0,-2.115554333E0
4.600648610E-1,-3.187838078E0,-4.665705204E0,-2.062912226E0
4.625902250E-1,-3.262015581E0,-4.471587181E0,-2.048555374E0
4.651155380E-1,-3.250051260E0,-4.414159775E0,-2.031805515E0
4.676409020E-1,-3.355634689E0,-4.272684097E0,-2.031805515E0
4.701662150E-1,-3.386741400E0,-4.129114628E0,-2.156232357E0
4.726915800E-1,-3.470490217E0,-4.028615952E0,-2.268994093E0
4.752168920E-1,-3.595216036E0,-3.887140274E0,-2.412563324E0
4.777422570E-1,-3.700500250E0,-3.753142357E0,-2.606681108E0
4.802675690E-1,-3.800998688E0,-3.683451414E0,-2.783750057E0
4.827929340E-1,-4.023830414E0,-3.527917862E0,-3.018545866E0
4.853182460E-1,-4.179663181E0,-3.329014540E0,-3.217449188E0
4.878435590E-1,-4.366602421E0,-3.168396235E0,-3.416352510E0
4.903689230E-1,-4.610670090E0,-3.084647417E0,-3.569493294E0
4.928942360E-1,-4.644468784E0,-2.991327524E0,-3.687040567E0
4.954196000E-1,-4.713860512E0,-2.900100946E0,-3.837788343E0
4.979449130E-1,-4.771288395E0,-2.823530674E0,-3.921836376E0
5.004702250E-1,-4.792823792E0,-2.828316450E0,-4.019941807E0
5.029955900E-1,-4.792823792E0,-2.749353170E0,-4.173381805E0
5.055209550E-1,-4.800002098E0,-2.727817774E0,-4.288237095E0
5.080462670E-1,-4.771288395E0,-2.801995277E0,-4.441677094E0
5.105715800E-1,-4.622933388E0,-2.895315409E0,-4.616353035E0
5.130969440E-1,-4.457529545E0,-2.998505831E0,-4.796113968E0
5.155038710E-1,-4.306482315E0,-3.144468069E0,-4.995017052E0
5.181476210E-1,-4.112663746E0,-3.240479946E0,-5.138586521E0
5.206729340E-1,-3.987937927E0,-3.388834953E0,-5.339882851E0
5.231982980E-1,-3.908974886E0,-3.515953779E0,-5.469095230E0
5.257236110E-1,-3.841975927E0,-3.587738514E0,-5.565107346E0
5.282489230E-1,-3.812962770E0,-3.731307745E0,-5.670391560E0
5.307742880E-1,-3.803391695E0,-3.791427374E0,-5.708676815E0
5.332996520E-1,-3.815654755E0,-3.834498405E0,-5.795117378E0
5.358249650E-1,-3.844368696E0,-3.973282099E0,-5.957829475E0
5.383503300E-1,-3.892225027E0,-4.006781578E0,-6.092126369E0
5.408756420E-1,-3.863511324E0,-4.112364769E0,-6.295815468E0
5.434009550E-1,-3.868296862E0,-4.198506355E0,-6.568896294E0
5.459263190E-1,-3.885046721E0,-4.296911240E0,-6.913762093E0
5.484516320E-1,-3.858725548E0,-4.289732933E0,-7.287341595E0
5.510953300E-1,-3.839582920E0,-4.349553585E0,-7.701898098E0
5.536206940E-1,-3.805784464E0,-4.359124660E0,-8.092226982E0
5.561460590E-1,-3.724428415E0,-4.366302967E0,-8.233702660E0
5.586713710E-1,-3.674179077E0,-4.272684097E0,-8.202595711E0
5.611967360E-1,-3.511168242E0,-4.313661098E0,-8.101798058E0
5.637220480E-1,-3.291028500E0,-4.378267288E0,-7.888837337E0
5.662473610E-1,-3.063411236E0,-4.399802685E0,-7.596314430E0
5.687727250E-1,-2.938685417E0,-4.438087940E0,-6.997510910E0
5.712980380E-1,-2.828615427E0,-4.488337040E0,-6.647859573E0
5.738234020E-1,-2.749652386E0,-4.488337040E0,-6.743572235E0
5.763487150E-1,-2.656033039E0,-4.574777603E0,-6.796214581E0
5.788740270E-1,-2.708675146E0,-4.610670090E0,-6.844369888E0
5.813993920E-1,-2.929114103E0,-4.615455627E0,-7.062117100E0
5.839247570E-1,-3.417848110E0,-4.579563618E0,-7.642077446E0
5.864895480E-1,-4.100699902E0,-4.562813759E0,-8.669495583E0
5.889754340E-1,-4.840680122E0,-4.591527462E0,-1.002562809E1
5.915007460E-1,-5.624030590E0,-4.794917583E0,-1.126391315E1
5.940260590E-1,-6.335596085E0,-5.159224510E0,-1.213579845E1
5.965514230E-1,-6.848258495E0,-5.506483078E0,-1.222463131E1
5.990767360E-1,-7.090232372E0,-5.860919952E0,-1.150588799E1
6.016021000E-1,-7.042376041E0,-6.371189594E0,-1.011176968E1
6.041274130E-1,-6.979863644E0,-7.149754047E0,-8.178668022E0
6.066527770E-1,-6.857829571E0,-8.292326927E0,-6.111268997E0
6.091780900E-1,-6.845865726E0,-9.720243454E0,-4.925326347E0
6.117034020E-1,-7.173981190E0,-1.128215885E1,-4.961517811E0
6.142682460E-1,-7.650751114E0,-1.287518024E1,-6.286244392E0
6.167541320E-1,-8.141878128E0,-1.451366615E1,-8.573782921E0
6.192794440E-1,-8.886644363E0,-1.635344696E1,-1.132134151E1
6.218047570E-1,-9.624530792E0,-1.836311913E1,-1.370489216E1
6.243305900E-1,-1.032891846E1,-2.040898323E1,-1.511605930E1
6.268564230E-1,-1.098036385E1,-2.236361885E1,-1.552074528E1
6.293822050E-1,-1.129172993E1,-2.418665123E1,-1.479003716E1
6.319080380E-1,-1.074556828E1,-2.599293327E1,-1.289522076E1
6.344338710E-1,-9.260522842E0,-2.723600388E1,-9.929615974E0
6.369596520E-1,-7.392027378E0,-2.745165825E1,-6.518348217E0
6.394854860E-1,-5.271986485E0,-2.646222496E1,-3.267698526E0
6.420113190E-1,-3.061018467E0,-2.409333038E1,-5.584250093E-1
6.445371000E-1,-7.660023570E-1,-2.098625183E1,1.408176184E0
6.470629340E-1,9.035896659E-1,-1.794407654E1,2.553141832E0
6.495887670E-1,1.866700768E0,-1.499522114E1,2.644368172E0
6.521087670E-1,2.149353027E0,-1.216361523E1,1.817947030E0
6.546346000E-1,1.943271041E0,-9.585947037E0,6.152545214E-1
6.571604340E-1,1.466501236E0,-7.178467751E0,-4.292125702E-1
6.596862150E-1,8.820542693E-1,-5.171188831E0,-1.377667665E0
6.622120480E-1,2.210369855E-1,-3.415156126E0,-2.038984060E0
6.647378820E-1,-3.876372576E-1,-1.906182289E0,-2.407777786E0
6.672636630E-1,-9.625129104E-1,-7.082754970E-1,-2.649751902E0
6.697894960E-1,-1.568495274E0,1.301097274E-1,-2.867797852E0
6.723153300E-1,-2.126621008E0,6.906284094E-1,-3.270091295E0
6.748411110E-1,-2.696711063E0,1.054636598E0,-3.976871252E0
6.773669440E-1,-3.233301640E0,1.205683470E0,-4.810471058E0
6.798927770E-1,-3.743571043E0,1.138684511E0,-5.548357487E0
6.824128300E-1,-4.074079514E0,8.871390224E-1,-5.926722527E0
6.849386630E-1,-4.136591911E0,4.773681164E-1,-5.991328716E0
6.874644960E-1,-4.009473324E0,1.229312643E-1,-5.787939072E0
6.899902770E-1,-3.818047523E0,-2.724826932E-1,-5.284847736E0
6.925161110E-1,-3.640679598E0,-6.364908218E-1,-4.578067780E0
6.950419440E-1,-3.415455103E0,-9.430712461E-1,-3.754039526E0
6.975677250E-1,-3.273979664E0,-1.299900889E0,-3.018545866E0
7.000935590E-1,-3.173480988E0,-1.743171334E0,-2.450848579E0
7.026193920E-1,-3.080160856E0,-2.315654039E0,-1.950150490E0
7.051451730E-1,-3.037090063E0,-2.955435038E0,-1.703390598E0
7.076710070E-1,-3.008077145E0,-3.592524052E0,-1.622034669E0
7.101968400E-1,-3.027518749E0,-4.392624378E0,-1.705783486E0
7.127168400E-1,-3.178266764E0,-5.190331459E0,-1.940579176E0
7.152426730E-1,-3.300599813E0,-5.992824078E0,-2.347957134E0
7.177685070E-1,-3.468097210E0,-6.757031918E0,-2.819941521E0
7.202942880E-1,-3.671786308E0,-7.485048294E0,-3.188735247E0
7.228201210E-1,-3.861118555E0,-8.263612747E0,-3.612863064E0
7.253459550E-1,-4.028615952E0,-9.015856743E0,-3.991228104E0
7.278717360E-1,-4.158127785E0,-9.803992271E0,-4.340879440E0
7.303975690E-1,-4.186841488E0,-1.059930706E1,-4.558925152E0
7.329234020E-1,-4.100699902E0,-1.143769264E1,-4.702793598E0
7.354491840E-1,-3.975973845E0,-1.223061371E1,-4.793721199E0
7.379750170E-1,-3.853940010E0,-1.299242878E1,-4.820042133E0
7.405008500E-1,-3.607180119E0,-1.371356583E1,-4.640281200E0
7.430209020E-1,-3.221337557E0,-1.435304737E1,-4.501497746E0
7.455467360E-1,-2.732603550E0,-1.501914978E1,-4.228416920E0
7.480725690E-1,-2.210669041E0,-1.551954842E1,-3.873979807E0
7.505983500E-1,-1.649851203E0,-1.580249977E1,-3.512065411E0
7.531241840E-1,-1.067797065E0,-1.587907028E1,-3.114557743E0
7.556500170E-1,-4.809573591E-1,-1.586471367E1,-2.659323215E0
7.581757980E-1,1.256231871E-2,-1.566820240E1,-2.254338026E0
7.607016320E-1,4.603192508E-1,-1.530658722E1,-1.878365755E0
7.632274650E-1,7.815557122E-1,-1.493988705E1,-1.638784409E0
7.657532460E-1,9.993025661E-1,-1.448495197E1,-1.435095429E0
7.682790800E-1,1.088136077E0,-1.393879032E1,-1.334596872E0
7.708049130E-1,1.059422255E0,-1.341177082E1,-1.380060434E0
7.733249130E-1,9.897312522E-1,-1.280070400E1,-1.528714538E0
7.758507460E-1,9.035896659E-1,-1.227847004E1,-1.734796405E0
7.783765800E-1,8.174480200E-1,-1.172513008E1,-1.854437590E0
7.809023610E-1,7.432705164E-1,-1.119332504E1,-2.038984060E0
7.834281940E-1,7.286145091E-1,-1.074796104E1,-2.175374985E0
7.859540270E-1,6.807580590E-1,-1.037647533E1,-2.280958176E0
7.884798090E-1,6.065805554E-1,-1.008903790E1,-2.410170555E0
7.910056420E-1,5.204389095E-1,-9.885348320E0,-2.513062000E0
7.935314750E-1,4.004986882E-1,-9.701101303E0,-2.611466885E0
7.960572570E-1,2.952145040E-1,-9.564411163E0,-2.695215702E0
7.985830900E-1,7.477571070E-2,-9.418449402E0,-2.783750057E0
8.011089230E-1,-1.217348501E-1,-9.392127991E0,-2.951546669E0
8.036289750E-1,-3.876372576E-1,-9.310472488E0,-3.097808123E0
8.061548090E-1,-6.032904387E-1,-9.198010445E0,-3.241377354E0
8.086806420E-1,-7.875377536E-1,-9.166903496E0,-3.246163130E0
8.112064230E-1,-9.960124493E-1,-9.107083321E0,-3.279662609E0
8.137322570E-1,-1.137488008E0,-9.119047165E0,-3.181556702E0
8.162580900E-1,-1.235593796E0,-9.116654396E0,-3.100200891E0
8.187838710E-1,-1.381555915E0,-9.131011009E0,-3.100200891E0
8.213097050E-1,-1.482353687E0,-9.131011009E0,-3.081058264E0
8.238355380E-1,-1.621137381E0,-9.131011009E0,-3.037688255E0
8.263613190E-1,-1.760220170E0,-9.094820023E0,-3.028116941E0
