"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.773438110E-1,1.816580009E1,3.237879944E1,-5.611999989E0
1.873438110E-1,1.858059883E1,3.226900101E1,-6.063399792E0
1.973438110E-1,1.869039917E1,3.228120041E1,-6.356199741E0
2.073438110E-1,1.872699928E1,3.219580078E1,-6.648999691E0
2.173438110E-1,1.883679962E1,3.219580078E1,-6.807600021E0
2.273438110E-1,1.878800011E1,3.222019958E1,-6.880799770E0
2.373438110E-1,1.872699928E1,3.219580078E1,-7.027199745E0
2.473438110E-1,1.871479988E1,3.217139816E1,-7.137000084E0
2.573438110E-1,1.883679962E1,3.212260056E1,-7.539599895E0
2.673438110E-1,1.878800011E1,3.212260056E1,-7.783599854E0
2.773438110E-1,1.872699928E1,3.212260056E1,-8.039799690E0
2.873438110E-1,1.862940025E1,3.215919876E1,-8.064199448E0
2.973438110E-1,1.851959991E1,3.215919876E1,-8.064199448E0
3.073438110E-1,1.853179932E1,3.212260056E1,-8.112999916E0
3.173438110E-1,1.856839943E1,3.209819794E1,-8.039799690E0
3.273438110E-1,1.864159966E1,3.212260056E1,-7.820199966E0
3.373438110E-1,1.870260048E1,3.211040115E1,-7.478600025E0
3.473438110E-1,1.881239891E1,3.202499771E1,-7.173599720E0
3.573438110E-1,1.900759888E1,3.190299988E1,-6.734399796E0
3.673438110E-1,1.930039978E1,3.181760025E1,-6.307399750E0
3.773438110E-1,1.955660057E1,3.168339920E1,-5.758399963E0
3.873438110E-1,1.984939957E1,3.159799957E1,-5.282599926E0
3.973438110E-1,2.010560036E1,3.146379852E1,-4.648200035E0
4.073438110E-1,2.037400055E1,3.126859856E1,-4.209000111E0
4.173438110E-1,2.073999977E1,3.103679848E1,-3.513599873E0
4.273438110E-1,2.114259911E1,3.079279900E1,-2.805999994E0
4.373438110E-1,2.159399986E1,3.048779869E1,-2.220399857E0
4.473438110E-1,2.198439980E1,3.013399887E1,-1.585999966E0
4.573438110E-1,2.243579865E1,2.982899857E1,-1.085799932E0
4.673438110E-1,2.274079895E1,2.947519875E1,-3.537999988E-1
4.773438110E-1,2.304579926E1,2.919459915E1,2.073999941E-1
4.873438110E-1,2.325319862E1,2.888959885E1,9.637999535E-1
4.973438110E-1,2.330200005E1,2.867000008E1,1.512799978E0
5.073438110E-1,2.333860016E1,2.851140022E1,2.208199978E0
5.173438110E-1,2.328979874E1,2.837719917E1,2.903599977E0
