time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686333121930000000,0.603999755859375,0,0,1,13.873000144958496,0,0,69.0999984741211,4.8641269,52.3343427
1686333127030000000,5.704000244140625,0,0,1,14.468000411987305,0.04495920613408089,0,69.0999984741211,4.8641245,52.3343402
1686333132064000000,10.738,0,0,1,13.980999946594238,0.08951214700937271,0,69.0999984741211,4.8641231,52.3343445
1686333137145000000,15.819,0,0,1,13.73799991607666,0.018521426245570183,0,69.0999984741211,4.8641228,52.3343451
1686333142175000000,20.849,0,0,1,14.451000213623047,0.11355569213628769,164.56700134277344,69.0999984741211,4.8641252,52.3343397
1686333147189000000,25.863,0,0,1,14.0600004196167,0.1383313238620758,2.206193685531616,69.0999984741211,4.8641255,52.3343469
1686333152213000000,30.887,0,0,1,13.699999809265137,0.03526860103011131,0,69.0999984741211,4.8641241,52.3343448
1686333157230000000,35.904000244140626,0,0,1,14.154000282287598,0.10668960213661194,236.23239135742188,69.0999984741211,4.8641172,52.334342
1686333162253000000,40.927,0,0,1,13.677000045776367,0.058129411190748215,0,69.0999984741211,4.8641214,52.334344
1686333167262000000,45.93600024414062,0,0,1,14.470000267028809,0.0923406332731247,0,69.0999984741211,4.8641242,52.3343398
1686333172277000000,50.951,0,0,1,15.163999557495117,0.09263771772384644,0,69.0999984741211,4.8641308,52.3343419
1686333177309000000,55.983,0,0,1,14.006999969482422,0.15928113460540771,324.7086486816406,69.0999984741211,4.8641228,52.3343482
1686333182325000000,60.999,0,0,1,14.543999671936035,0.1642809808254242,185.7368927001953,69.0999984741211,4.864122,52.3343397
1686333187325000000,65.999,0,0,1,14.465999603271484,0.03476816788315773,0,69.0999984741211,4.8641214,52.3343387
1686333192336000000,71.01,0,0,1,14.175999641418457,0.16526636481285095,25.410356521606445,69.0999984741211,4.8641271,52.3343462
1686333197408000000,76.082,0,0,1,14.468000411987305,0.10077565908432007,197.5266571044922,69.0999984741211,4.8641242,52.3343408
1686333202432000000,81.106,0,0,1,14.37399959564209,0.11024998873472214,358.7981872558594,69.0999984741211,4.8641242,52.3343466
1686333207499000000,86.173,0,0,1,13.718999862670898,0.026030031964182854,0,69.0999984741211,4.8641236,52.334345
1686333212527000000,91.201,0,0,1,13.934000015258789,0.027874672785401344,0,69.0999984741211,4.8641228,52.3343438
1686333217535000000,96.209,0,0,1,13.718999862670898,0.013333521783351898,0,69.0999984741211,4.8641238,52.3343443
1686333222558000000,101.23200024414062,0,0,1,14.654999732971191,0.06255971640348434,0,69.0999984741211,4.864123,52.3343412
1686333227614000000,106.28800024414062,0,0,1.3927912712097168,16.075000762939453,1.8929377794265747,359.17974853515625,69.0999984741211,4.864122,52.334384
1686333232639000000,111.313,0,0,1,15.17199993133545,0.28633996844291687,170.96705627441406,69.0999984741211,4.8641263,52.3343527
1686333237710000000,116.38400024414062,0,0,1,14.696000099182129,0.16837768256664276,196.65164184570312,69.0999984741211,4.8641221,52.3343458
1686333242670000000,121.34400024414063,0,0,1,15.024999618530273,0.05645725131034851,0,69.0999984741211,4.8641267,52.3343472
1686333247746000000,126.41999975585938,0,0,1,14.807000160217285,0.04405074939131737,0,69.0999984741211,4.8641228,52.3343467
1686333252748000000,131.422,0,0,1,14.9399995803833,0.012320640496909618,0,69.0999984741211,4.8641221,52.3343468
