"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.524917084E-1,-8.213708401E-1,-1.272246838E0,-1.457969666E0
7.624367083E-1,-2.974127829E-1,-9.154641628E-1,-1.032201648E0
7.723817083E-1,3.448580503E-1,-7.026517987E-1,-6.839828491E-1
7.823267083E-1,8.273926973E-1,-5.542860627E-1,-5.167139173E-1
7.922727083E-1,1.152084947E0,-3.680504858E-1,-5.054707527E-1
8.022177083E-1,1.390577197E0,-2.443735451E-1,-5.848100781E-1
8.121627083E-1,1.588190079E0,-1.553946286E-1,-6.233776808E-1
8.221087084E-1,1.761904120E0,-9.216958284E-2,-5.919100046E-1
8.320537083E-1,1.885329604E0,-2.696364373E-2,-5.569382906E-1
8.419987083E-1,1.920665264E0,1.743007600E-1,-5.586363077E-1
8.519447083E-1,1.865914345E0,4.495767355E-1,-5.696651936E-1
8.618897084E-1,1.652430296E0,6.406971812E-1,-5.965287685E-1
8.718347083E-1,1.180857658E0,4.771336615E-1,-7.279157043E-1
8.817807083E-1,4.916428328E-1,2.575006485E-1,-9.852045178E-1
8.917257083E-1,-7.671277970E-2,3.141196668E-1,-1.153158903E0
9.016707084E-1,-4.013736844E-1,2.264129668E-1,-1.233188748E0
9.116157083E-1,-5.156503320E-1,-1.986654662E-2,-1.283769131E0
9.215617083E-1,-4.937489927E-1,-2.069171369E-1,-1.336893797E0
9.315067084E-1,-4.494867325E-1,-4.133448601E-1,-1.504704475E0
9.414517083E-1,-4.332499802E-1,-6.132004261E-1,-1.788981676E0
9.513977083E-1,-4.558012187E-1,-7.976663709E-1,-2.120550871E0
9.613427083E-1,-5.335130095E-1,-9.410325885E-1,-2.375448227E0
9.712877084E-1,-7.068476081E-1,-9.693398476E-1,-2.348218679E0
9.812334167E-1,-8.951246142E-1,-8.719722629E-1,-2.066140890E0
9.911784167E-1,-8.770810366E-1,-1.021616340E0,-2.108816147E0
1.001123417E0,-6.618694067E-1,-1.107198119E0,-2.059364080E0
1.011069417E0,-3.837698698E-1,-8.686550856E-1,-1.777956247E0
1.021014417E0,-2.225258350E-1,-4.031814039E-1,-1.194895506E0
1.030959417E0,-1.588234752E-1,-1.018706039E-1,-8.760799766E-1
1.040905417E0,-1.893036067E-1,-7.515776902E-2,-6.388128400E-1
1.050850417E0,-1.937079132E-1,-1.041880101E-1,-2.746460438E-1
1.060795417E0,-1.352536529E-1,-4.462108761E-2,7.722277939E-2
