"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.842667083E-1,-5.858666840E0,-7.809110870E0,2.207609253E0
8.942127083E-1,-5.787864075E0,-8.226592712E0,2.344125366E0
9.041577083E-1,-6.054759064E0,-8.285121002E0,2.213746490E0
9.141027083E-1,-6.229146423E0,-7.991880798E0,1.999841309E0
9.240477083E-1,-6.438411255E0,-7.131769409E0,1.977088623E0
9.339937083E-1,-6.476432190E0,-6.627168732E0,1.873054962E0
9.439387083E-1,-6.475683746E0,-6.779851227E0,1.706451416E0
9.538837083E-1,-6.428681488E0,-7.146738281E0,1.701811066E0
9.638297083E-1,-6.256988525E0,-7.806715851E0,1.760189667E0
9.737744167E-1,-5.888155518E0,-8.856333160E0,1.821412354E0
9.837194167E-1,-5.379962311E0,-9.974956970E0,1.846709747E0
9.936654167E-1,-4.743485870E0,-9.440717926E0,1.879940643E0
1.003610417E0,-4.423750763E0,-9.040899353E0,1.431622925E0
1.013555417E0,-4.015998688E0,-9.610614624E0,1.772613831E0
1.023501417E0,-3.514242096E0,-1.066307602E1,2.030377808E0
1.033446417E0,-3.100502472E0,-9.388027496E0,1.800006866E0
1.043391417E0,-3.399879913E0,-7.868237915E0,1.644330597E0
1.053336417E0,-4.222718811E0,-7.646997986E0,1.669029236E0
1.063282417E0,-4.824916534E0,-7.258106689E0,1.874851227E0
1.073227417E0,-4.966372375E0,-7.385791168E0,1.807341614E0
1.083172417E0,-4.172423401E0,-8.236172791E0,1.731748810E0
1.093118417E0,-4.368216248E0,-8.437953186E0,1.680405579E0
1.103063417E0,-4.734055481E0,-8.289312286E0,1.643582153E0
1.113008417E0,-4.957540741E0,-8.009244690E0,1.623224487E0
1.122954417E0,-4.909340973E0,-8.015531616E0,1.691632233E0
1.132899417E0,-4.583618317E0,-8.255183258E0,1.751507721E0
1.142844417E0,-4.577331390E0,-8.102051697E0,1.734143829E0
1.152790417E0,-4.770729218E0,-7.685318298E0,1.748513947E0
1.162735417E0,-4.664150848E0,-6.456523590E0,1.688788147E0
1.172680417E0,-4.220772858E0,-5.618566132E0,1.493594055E0
1.182626417E0,-4.121080170E0,-5.726342010E0,1.511257324E0
