"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.688049167E-1,1.760788422E0,-5.560486908E0,-2.160457306E0
7.787499167E-1,1.720372467E0,-5.209017792E0,-2.187251587E0
7.886949167E-1,1.799707489E0,-4.968318329E0,-1.804796906E0
7.986409166E-1,1.779948578E0,-5.194647675E0,-8.363108826E-1
8.085859167E-1,1.291514282E0,-5.930816803E0,2.939886475E-1
8.185309167E-1,8.062234497E-1,-6.791377258E0,1.339714050E0
8.284769166E-1,5.450166321E-1,-7.341333618E0,2.159409485E0
8.384219166E-1,3.553610229E-1,-7.808362427E0,2.767445068E0
8.483669167E-1,2.353106689E-1,-8.368497620E0,2.932851105E0
8.583119167E-1,-1.815724182E-1,-8.908125458E0,2.459685059E0
8.682579166E-1,-8.214916992E-1,-9.505682831E0,1.461860046E0
8.782029166E-1,-1.381177826E0,-1.032762360E1,-1.134640503E-1
8.881479167E-1,-1.972897339E0,-1.131167725E1,-1.742676086E0
8.980929167E-1,-2.435585175E0,-1.220442078E1,-2.236199799E0
9.080389166E-1,-2.812800751E0,-1.280736694E1,-1.590742035E0
9.179839167E-1,-3.096760254E0,-1.302875656E1,-7.391629028E-1
9.279289167E-1,-3.492836609E0,-1.292816574E1,-2.377056885E-1
9.378739167E-1,-4.038002930E0,-1.263492554E1,5.987548828E-2
9.478199166E-1,-4.381538544E0,-1.253568192E1,3.968247986E-1
9.577649167E-1,-3.997437286E0,-1.274704239E1,7.858657837E-2
9.677099167E-1,-3.663032684E0,-1.304013290E1,-1.069525909E0
9.776549167E-1,-3.335064697E0,-1.331331482E1,-2.016307068E0
9.876009166E-1,-2.636467438E0,-1.364143250E1,-1.512454834E0
9.975459167E-1,-1.873953094E0,-1.400263138E1,-1.544787598E-1
1.007490917E0,-1.551822968E0,-1.417537216E1,1.240021362E0
1.017436917E0,-1.319356384E0,-1.420306458E1,2.342029724E0
1.027381917E0,-1.059197388E0,-1.403271881E1,3.073259125E0
1.037326917E0,-1.271156616E0,-1.366448456E1,3.550766144E0
