"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.918769167E-1,-1.828760403E0,-1.166487363E0,-2.785871399E0
9.018219167E-1,-2.407763538E0,-2.147678801E0,-3.994925907E0
9.117679167E-1,-2.812591420E0,-2.921164275E0,-3.864131587E0
9.217129167E-1,-3.159449130E0,-3.343758337E0,-3.037536145E0
9.316579167E-1,-3.473066880E0,-3.393658476E0,-2.347980582E0
9.416029167E-1,-3.917153554E0,-3.164534746E0,-2.019454624E0
9.515489167E-1,-4.457054749E0,-2.930195884E0,-1.695333520E0
9.614939167E-1,-4.355683326E0,-2.995401694E0,-1.587125093E0
9.714389167E-1,-3.891511759E0,-3.287021050E0,-2.399744666E0
9.813839167E-1,-3.608670828E0,-3.561967655E0,-3.616675959E0
9.913299167E-1,-3.078220195E0,-3.847205944E0,-3.875384261E0
1.001274917E0,-2.269891894E0,-4.196440839E0,-2.738558946E0
1.011219917E0,-1.665922610E0,-4.470565910E0,-1.227189501E0
1.021165917E0,-1.458817740E0,-4.549241951E0,1.236672954E-1
1.031110917E0,-1.137314946E0,-4.456037918E0,1.144557527E0
1.041055917E0,-1.001907538E0,-4.209778338E0,1.829429617E0
1.051000917E0,-1.364584744E0,-3.473702765E0,2.416682734E0
1.060946917E0,-1.413089444E0,-1.875718369E0,3.003207142E0
1.070891917E0,-1.218601330E0,-2.635071123E-1,3.450570595E0
1.080836917E0,-4.734458354E-1,1.047558505E0,3.704775372E0
1.090781917E0,7.071802412E-1,1.787065224E0,3.672010499E0
1.100727917E0,1.990503013E0,1.921433070E0,3.602294732E0
1.110672917E0,3.148036827E0,1.074915288E0,3.734806672E0
1.120617917E0,3.994659274E0,-5.710805959E-1,4.099629074E0
1.130562917E0,4.668387741E0,-2.269708437E0,4.266168301E0
1.140508917E0,5.575054076E0,-3.567814870E0,4.271337240E0
1.150453917E0,6.505681717E0,-4.357940351E0,4.324741614E0
1.160398917E0,7.009510562E0,-4.493294038E0,4.162366775E0
1.170343917E0,6.558962131E0,-3.861517004E0,3.343328567E0
1.180289917E0,5.581208856E0,-2.412613218E0,2.050850079E0
1.190234917E0,4.386132993E0,-9.978957635E-1,6.002622950E-1
1.200179917E0,3.060351689E0,-3.922838509E-2,-6.681758776E-1
1.210125917E0,1.740726186E0,7.308002150E-1,-1.515073802E0
1.220070917E0,5.318417589E-1,1.220063061E0,-2.175509208E0
1.230015917E0,-8.849769661E-1,1.308428523E0,-2.604814705E0
1.239960917E0,-2.386592378E0,1.449323031E0,-2.759956539E0
1.249906917E0,-3.504655878E0,1.781056625E0,-2.885068243E0
1.259851917E0,-3.937050459E0,2.390635874E0,-2.671225626E0
1.269796917E0,-3.962317447E0,3.072400169E0,-1.972820156E0
1.279741917E0,-3.414501753E0,3.820310506E0,-8.878587663E-1
1.289687917E0,-2.548095252E0,4.492817490E0,2.149413450E-1
1.299632917E0,-1.699987319E0,5.065192074E0,1.106833411E0
1.309577917E0,-1.132447212E0,5.601101083E0,1.682845037E0
1.319522917E0,-7.220087070E-1,5.933281989E0,2.038361596E0
1.329468917E0,-5.599733346E-1,6.073860748E0,2.213172294E0
1.339413917E0,-4.949571936E-1,6.190776994E0,2.241491529E0
