"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.620409167E-1,1.081928253E0,-9.796164036E-1,-1.668079495E-1
8.719869167E-1,1.027812362E0,-1.021615863E0,-1.337725967E-1
8.819319167E-1,8.767400384E-1,-1.094838619E0,-8.729271591E-2
8.918769167E-1,6.821720004E-1,-1.181009769E0,-2.851393819E-2
9.018219167E-1,4.908534586E-1,-1.231733918E0,4.234185815E-2
9.117679167E-1,3.498046100E-1,-1.191233039E0,1.061987579E-1
9.217129167E-1,2.459301353E-1,-1.047698021E0,1.752611697E-1
9.316579167E-1,1.737480909E-1,-8.232880235E-1,2.648199499E-1
9.416029167E-1,1.695384234E-1,-5.907884240E-1,3.720484078E-1
9.515489167E-1,1.833277494E-1,-4.645126164E-1,4.018375576E-1
9.614939167E-1,1.423121393E-1,-4.788947403E-1,3.821322918E-1
9.714389167E-1,-3.484084271E-3,-5.672277808E-1,3.632149398E-1
9.813839167E-1,-2.191673666E-1,-5.733528137E-1,3.202733397E-1
9.913299167E-1,-4.488135874E-1,-4.720525742E-1,2.624790967E-1
1.001274917E0,-6.446864009E-1,-3.820624948E-1,2.596715987E-1
1.011219917E0,-8.176277876E-1,-3.553650379E-1,2.910428941E-1
1.021165917E0,-9.887750149E-1,-4.607556462E-1,3.467511535E-1
1.031110917E0,-1.146819949E0,-5.949655175E-1,4.586771131E-1
1.041055917E0,-1.210319638E0,-6.327528358E-1,5.905874372E-1
1.051000917E0,-1.185167432E0,-5.190674663E-1,6.839031577E-1
1.060946917E0,-1.107281923E0,-2.859753668E-1,7.284762263E-1
1.070891917E0,-9.963569045E-1,-1.088634804E-1,6.856061220E-1
1.080836917E0,-8.719023466E-1,-6.656875461E-2,5.572183132E-1
1.090781917E0,-7.511696219E-1,-1.422272325E-1,3.714439571E-1
1.100727917E0,-6.234859228E-1,-2.022937834E-1,1.498215497E-1
1.110672917E0,-5.017767549E-1,-1.846998185E-1,-7.676938176E-2
1.120617917E0,-4.261235893E-1,-1.978848726E-1,-3.015228808E-1
1.130562917E0,-3.721066117E-1,-3.052445352E-1,-5.344897509E-1
1.140508917E0,-3.392815590E-1,-4.634123445E-1,-7.408964038E-1
1.150453917E0,-3.110581636E-1,-5.465405583E-1,-8.000414968E-1
1.160398917E0,-3.107998371E-1,-4.120074809E-1,-7.055839300E-1
1.170343917E0,-3.870193660E-1,-4.818533361E-2,-5.756084919E-1
1.180289917E0,-5.496506691E-1,4.364694953E-1,-4.758893847E-1
1.190234917E0,-7.176952958E-1,8.625738025E-1,-4.268475473E-1
1.200179917E0,-8.417482376E-1,1.112573266E0,-4.142923355E-1
1.210125917E0,-8.341398239E-1,1.098251700E0,-3.927946091E-1
1.220070917E0,-8.044620752E-1,9.651198387E-1,-3.130497336E-1
1.230015917E0,-8.487759829E-1,8.024616838E-1,-1.177869886E-1
1.239960917E0,-9.605991840E-1,5.921995640E-1,1.187773496E-1
1.249906917E0,-1.091174006E0,3.827313781E-1,3.560046256E-1
1.259851917E0,-1.175790310E0,2.259236723E-1,5.483836532E-1
1.269796917E0,-1.190260172E0,9.665628523E-2,6.490089297E-1
1.279741917E0,-1.126820922E0,2.468861267E-2,6.300754547E-1
1.289687917E0,-1.008983493E0,-4.404620826E-2,5.204401016E-1
1.299632917E0,-8.484109044E-1,-9.291707724E-2,3.447540104E-1
1.309577917E0,-6.685194373E-1,-1.038722619E-1,1.374604851E-1
1.319522917E0,-4.643082321E-1,-5.146417767E-2,-8.518909663E-2
1.329468917E0,-2.448979765E-1,4.450192302E-2,-2.891261876E-1
1.339413917E0,-2.089443244E-2,1.628621221E-1,-4.621954262E-1
1.349358917E0,2.134645879E-1,3.037689924E-1,-6.092372537E-1
1.359303917E0,4.251475632E-1,5.450801253E-1,-7.451791167E-1
1.369249917E0,5.615167618E-1,8.892691731E-1,-8.400909901E-1
1.379194917E0,6.297506690E-1,1.321298599E0,-8.973641396E-1
1.389139917E0,6.388321519E-1,1.678610921E0,-8.824143410E-1
1.399084917E0,5.742505193E-1,1.822713256E0,-7.948101759E-1
1.409030917E0,4.311066270E-1,1.786034107E0,-6.662262082E-1
1.418975917E0,2.179298848E-1,1.659254432E0,-5.254070163E-1
1.428920917E0,3.131207777E-3,1.542894006E0,-3.705836833E-1
1.438867083E0,-1.425106674E-1,1.393217206E0,-2.342902720E-1
1.448812083E0,-1.015783846E-1,1.147625327E0,-1.549064219E-1
1.458757083E0,2.072178125E-1,7.796078920E-1,-1.739853173E-1
1.468702083E0,4.788908958E-1,4.120081961E-1,-3.195201755E-1
1.478648083E0,4.379669130E-1,1.978000402E-1,-3.963377476E-1
1.488593083E0,1.724222898E-1,4.020731151E-2,-3.323245347E-1
1.498538083E0,-1.973642707E-1,-1.111899316E-1,-2.015049905E-1
1.508483083E0,-5.439988971E-1,-9.446100891E-2,-5.648233369E-2
1.518429083E0,-8.295419812E-1,2.051834911E-1,1.024673730E-1
1.528374083E0,-9.640520811E-1,5.205925107E-1,2.128777206E-1
1.538319083E0,-9.463564157E-1,6.094406247E-1,2.282390893E-1
1.548264083E0,-7.801160216E-1,3.488878906E-1,1.262461841E-1
1.558210083E0,-3.578918576E-1,-3.598631620E-1,-7.664034516E-2
1.568155083E0,2.669491470E-1,-1.344179273E0,-3.711706996E-1
1.578100083E0,8.323675394E-1,-2.168807507E0,-7.043797970E-1
1.588045083E0,1.038453341E0,-2.294248343E0,-8.545680642E-1
1.597991083E0,8.968304396E-1,-1.837558031E0,-8.228335381E-1
1.607936083E0,5.518694520E-1,-1.124999404E0,-6.420258880E-1
1.617881083E0,1.852759719E-1,-5.144105554E-1,-4.047220349E-1
1.627827083E0,-6.874189526E-2,-2.112086415E-1,-1.969277263E-1
1.637772083E0,-8.478584886E-2,-1.335737556E-1,-4.485243931E-2
1.647717083E0,1.515176445E-1,-1.365212649E-1,6.469542533E-2
1.657662083E0,5.215825438E-1,-6.805992126E-2,2.168711126E-1
1.667608083E0,9.133092165E-1,1.743362397E-1,5.099123120E-1
1.677553083E0,1.242031336E0,5.249411464E-1,8.687013388E-1
1.687498083E0,1.422798514E0,9.192082286E-1,1.154340386E0
1.697443083E0,1.431769967E0,1.422276974E0,1.235192895E0
1.707389083E0,1.242258906E0,1.984927893E0,1.142625093E0
1.717334083E0,9.353705645E-1,2.361448765E0,9.717906713E-1
1.727279083E0,6.618969440E-1,2.438895702E0,8.031460047E-1
1.737224083E0,4.975143969E-1,2.243973494E0,6.783761382E-1
1.747170083E0,4.535871148E-1,1.780595183E0,5.943549871E-1
1.757115083E0,4.445845485E-1,1.103921652E0,5.103381276E-1
1.767060083E0,3.996856213E-1,3.456530571E-1,4.130717218E-1
1.777005083E0,2.811541557E-1,-5.442124009E-1,3.370808065E-1
1.786951083E0,1.603741497E-1,-1.710377455E0,3.467935026E-1
1.796896083E0,1.021447591E-2,-2.243829727E0,4.330615401E-1
1.806841083E0,-1.009098142E-1,-1.990093112E0,5.147142410E-1
1.816787083E0,-6.474515051E-2,-1.399875879E0,5.524243712E-1
1.826732083E0,1.248620972E-1,-9.044175148E-1,4.458299577E-1
1.836677083E0,3.683373332E-1,-7.537028790E-1,2.794537544E-1
1.846622083E0,6.135133505E-1,-7.754594684E-1,9.334579110E-2
1.856568083E0,8.340345621E-1,-8.387412429E-1,-6.289654225E-2
1.866513083E0,9.917896986E-1,-8.438532948E-1,-1.781879663E-1
1.876458083E0,1.087180138E0,-7.640578151E-1,-2.574257851E-1
1.886403083E0,1.117013812E0,-6.876819730E-1,-2.902383506E-1
1.896349083E0,1.092764854E0,-7.370748520E-1,-2.630341649E-1
1.906294083E0,1.036583662E0,-9.599438906E-1,-1.998996884E-1
1.916239083E0,9.504267573E-1,-1.236390471E0,-1.286135167E-1
1.926184083E0,8.419301510E-1,-1.456184626E0,-6.648819894E-2
1.936130083E0,6.718580127E-1,-1.395219803E0,-8.152189665E-3
1.946075083E0,4.442738891E-1,-9.856268167E-1,4.297161847E-2
1.956020083E0,2.471629530E-1,-6.043050289E-1,1.189526767E-1
1.965965083E0,1.511744261E-1,-4.873797297E-1,2.704243064E-1
1.975911083E0,1.058064103E-1,-5.606020093E-1,4.017397165E-1
1.985856083E0,4.593318701E-2,-6.160989404E-1,4.532971382E-1
1.995801083E0,-5.364267156E-2,-5.979965925E-1,4.583944082E-1
2.005746083E0,-1.968746185E-1,-5.237523913E-1,4.276432395E-1
2.015692083E0,-3.642569482E-1,-4.039266407E-1,3.830113411E-1
2.025637083E0,-5.242816806E-1,-2.431785762E-1,2.937183082E-1
2.035582083E0,-6.536500454E-1,-1.185799241E-1,2.493601292E-1
2.045528083E0,-7.556314468E-1,-3.352947161E-2,2.665999234E-1
2.055473083E0,-8.613485694E-1,-8.125842549E-3,3.299123049E-1
2.065418083E0,-9.626197815E-1,-7.383807749E-2,4.312980175E-1
2.075363083E0,-1.012717247E0,-1.539520919E-1,5.868753195E-1
2.085309083E0,-9.983893037E-1,-1.381275505E-1,7.068797946E-1
2.095254083E0,-9.705736637E-1,-4.681413993E-2,7.429304719E-1
2.105199083E0,-9.702750444E-1,-2.641500905E-3,7.165001035E-1
2.115144083E0,-9.790634513E-1,-2.442935482E-2,6.610800028E-1
2.125090083E0,-9.669088125E-1,-9.924883395E-2,5.797296166E-1
2.135035083E0,-9.215437174E-1,-2.024660408E-1,4.783153832E-1
2.144980083E0,-8.137193322E-1,-2.368700802E-1,3.011881411E-1
2.154925083E0,-6.620976329E-1,-1.614541560E-1,7.226095349E-2
2.164871083E0,-4.904810488E-1,-7.418801636E-2,-2.078609169E-1
2.174816083E0,-3.014914095E-1,-4.356060177E-2,-5.375043154E-1
2.184761083E0,-1.263113618E-1,-4.009971023E-2,-8.627100587E-1
2.194706083E0,1.241029799E-2,6.602273136E-2,-1.034867644E0
2.204652083E0,9.541613609E-2,2.894666195E-1,-9.505345821E-1
2.214597083E0,1.191691384E-1,5.645016432E-1,-7.310568690E-1
2.224542083E0,7.513109595E-2,7.907167077E-1,-5.514588952E-1
2.234488083E0,-2.048374154E-3,9.735727906E-1,-4.656169713E-1
2.244433083E0,-6.913243979E-2,1.047223926E0,-4.280775189E-1
2.254378083E0,-1.617465317E-1,1.050994158E0,-3.770657182E-1
2.264323083E0,-3.058789968E-1,1.058187127E0,-2.506758273E-1
2.274269083E0,-5.285765529E-1,1.073316097E0,-6.908313185E-2
2.284214083E0,-7.839510441E-1,1.021714568E0,1.100444123E-1
2.294159083E0,-1.021894813E0,8.936412930E-1,2.209877074E-1
2.304104083E0,-1.169467330E0,7.421574593E-1,2.909356654E-1
2.314050083E0,-1.184229732E0,6.136474013E-1,3.303746879E-1
2.323995083E0,-1.095890522E0,5.300605893E-1,3.272332251E-1
