time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686343704880991000,-5.524009033203125,40.72253608703613,-1,-1,52.34951752550605,-1.8674640655517578,-1,21.317963004991114,17.137470245361328,4.922131797639288,-1
1686343710530209000,0.125208984375,40.72253608703613,-1,-1,52.34951752550605,-1.8674640655517578,-1,21.317963004991114,17.137470245361328,4.922131797639288,-1
1686343710532217900,0.1272177734375,40.74585008621216,-1,-1,52.34951752550605,-1.8441500663757324,-1,21.317963004991114,19.473676681518555,4.922131797639288,-1
1686343711247701200,0.842701171875,40.76627731323242,-1,-1,52.34951752550605,-1.8237228393554688,-1,21.317963004991114,15.231902122497559,4.922131797639288,-1
1686343717258663200,6.8536630859375,40.779109477996826,-1,-1,52.34951752550605,-1.8108906745910645,-1,21.317963004991114,19.129825592041016,4.922131797639288,-1
1686343717981385000,7.576385009765625,40.77599000930786,-1,-1,52.34951752550605,-1.8140101432800293,-1,21.317963004991114,16.814224243164062,4.922131797639288,-1
1686343723992919800,13.587919921875,40.77308988571167,-1,-1,52.34951752550605,-1.8169102668762207,-1,21.317963004991114,19.576496124267578,4.922131797639288,-1
1686343724709768000,14.304767822265624,40.76945734024048,-1,-1,52.34951752550605,-1.820542812347412,-1,21.317963004991114,17.04620361328125,4.922131797639288,-1
1686343730721970200,20.31697021484375,40.76787567138672,-1,-1,52.34951752550605,-1.8221244812011719,-1,21.317963004991114,19.64255142211914,4.922131797639288,-1
1686343731435724000,21.03072412109375,40.7623291015625,-1,-1,52.34951752550605,-1.8276710510253906,-1,21.317963004991114,17.07829475402832,4.922131797639288,-1
1686343737444486100,27.039486083984375,40.75735139846802,-1,-1,52.34951752550605,-1.832648754119873,-1,21.317963004991114,19.649816513061523,4.922131797639288,-1
1686343737916937700,27.511937744140624,40.760666847229004,-1,-1,52.34951752550605,-1.8293333053588867,-1,21.317963004991114,16.871963500976562,4.922131797639288,-1
1686343743926498800,33.52149877929688,40.76371622085571,-1,-1,52.34951752550605,-1.8262839317321777,-1,21.317963004991114,19.591787338256836,4.922131797639288,-1
1686343744442563000,34.03756298828125,40.776737213134766,-1,-1,52.34951752550605,-1.813262939453125,-1,21.317963004991114,16.87908172607422,4.922131797639288,-1
1686343753725805000,43.32080517578125,40.790611743927,-1,-1,52.34951752550605,-1.7993884086608887,-1,21.317963004991114,21.087814331054688,4.922131797639288,-1
1686343754248876000,43.8438759765625,40.78403949737549,-1,-1,52.34951752550605,-1.8059606552124023,-1,21.317963004991114,17.6710262298584,4.922131797639288,-1
1686343760779527000,50.37452685546875,40.778470516204834,-1,-1,52.34951752550605,-1.8115296363830566,-1,21.317963004991114,20.078262329101562,4.922131797639288,-1
