time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1686343710546375000,0.141375,-0.5784399442757879,0.5937078266093078,-0.24768684636113622,-0.08760317909961864,0.7356354781633112,-0.2121386366821456,1.363509886788445
1686343710556394800,0.151394775390625,-0.5783284396695171,0.5937905521196595,-0.2476872157100043,-0.0878057182696988,0.7355494439136709,-0.2122049255598673,1.3637653003342434
1686343710566413600,0.16141357421875,-0.578478623384564,0.5939256536724858,-0.24770190619440258,-0.0877654224449934,0.7354159047965755,-0.21227253825265827,1.3641541373550838
1686343710576433700,0.17143359375,-0.5791168209502262,0.5941644983405499,-0.24770839639228734,-0.08714882698880545,0.7352140906864242,-0.21229528719900323,1.3647667276233288
1686343710586453800,0.181453857421875,-0.5799728054231409,0.5944732478893432,-0.2477262182463298,-0.08634969233427164,0.7349473645066972,-0.2123340111293849,1.3655680864335227
1686343710596473600,0.1914736328125,-0.581049026335233,0.5947783319810315,-0.24783972710980867,-0.0856203898802645,0.7346222552658176,-0.21247199202612777,1.3664448679438732
1686343710606493700,0.20149365234375,-0.5822406755233727,0.5951247000866949,-0.24797411077124354,-0.084853849614673,0.7342464687374352,-0.21264404159893371,1.3674528423865555
1686343710616513800,0.211513671875,-0.5837514053179278,0.5955848905498433,-0.24805206389182982,-0.08356343704504719,0.7338186996858261,-0.21274132893028697,1.3686828751215312
1686343710626533600,0.22153369140625,-0.5850591736950417,0.596090405645373,-0.24810729385096966,-0.08248511966920755,0.7333519814140195,-0.21287040978701252,1.370047643605326
1686343710636552700,0.231552734375,-0.5858120863941567,0.596570787498363,-0.24820102958763016,-0.08223450401425261,0.7328501489416678,-0.21314339026539772,1.3714629556504143
1686343710646572800,0.24157275390625,-0.5859592232138393,0.5969501177445672,-0.2483487381561432,-0.08287265474262184,0.7323736997047401,-0.21354670378135698,1.3727316999389392
1686343710656593000,0.251593017578125,-0.5857175385322504,0.5972866601234587,-0.24850648312414692,-0.08400483292311904,0.7319108795753327,-0.21400844282328266,1.3739394635820046
1686343710666612700,0.26161279296875,-0.5853908952673365,0.5977416673603229,-0.24858082205852547,-0.08502474312237514,0.7313909563844349,-0.2144284607820642,1.375402616468977
1686343710676632600,0.271632568359375,-0.5855308442167437,0.5983358555546118,-0.24861787742409577,-0.08542543773746825,0.7307861737681428,-0.21479031544462626,1.3771681805225262
1686343710686652700,0.281652587890625,-0.5857715872296426,0.5989428426423691,-0.2486257421194459,-0.08560343378875317,0.7301950947205592,-0.21509980011108126,1.3789241982281297
1686343710696671700,0.291671630859375,-0.5853924054777386,0.599490756367211,-0.2486226311703516,-0.08647234698370299,0.7296384562440662,-0.21546530738577443,1.380573475654692
1686343710706691800,0.30169189453125,-0.5846492575167809,0.6000142973958837,-0.24864280501188207,-0.08786047063205649,0.7290694855776377,-0.2159102272569681,1.3822262209567082
1686343710716711700,0.311711669921875,-0.5840177593479158,0.6005281095360228,-0.2486879299971898,-0.08918963168912956,0.728496137492353,-0.21636458054646246,1.383865963343283
1686343710726731800,0.321731689453125,-0.5832435417345908,0.6010269423166184,-0.24868158555791103,-0.09049490076111877,0.7279699091448234,-0.21675752416530208,1.3854162550964206
1686343710736751900,0.331751953125,-0.5821003021031785,0.6014865117647693,-0.24859166007140004,-0.09192299573442261,0.7275289460189495,-0.21706631985040803,1.3867949266688215
1686343710746771700,0.341771728515625,-0.5809902480006515,0.601902217558252,-0.24844508154149408,-0.09306867857337088,0.7271767000523005,-0.2172618975244715,1.3879703766437148
1686343710756790500,0.35179052734375,-0.5796460365409704,0.6022973332758474,-0.24825335361142487,-0.09432331237425627,0.7268686446063415,-0.21741706152720483,1.3890587044866498
1686343710766810600,0.361810546875,-0.5786731955383916,0.6026749700803163,-0.24808454371710084,-0.0951861854153094,0.7265781321176769,-0.21753431298510045,1.3900772900633747
1686343710776830700,0.371830810546875,-0.5782208092615541,0.6029924016595394,-0.24795930930196705,-0.09551958681151713,0.7263384897709596,-0.21759784684912975,1.3909098158542197
1686343710786850800,0.381850830078125,-0.5783775711609935,0.6032000759334765,-0.24788068330213064,-0.09519123254800653,0.7262004500835366,-0.21757268189131015,1.3914049010253031
1686343710796870700,0.39187060546875,-0.5782948814003726,0.6032871088225399,-0.2477683159427264,-0.09494972621613446,0.7261965117580541,-0.21747236909842424,1.391534128611496
1686343710806890800,0.401890869140625,-0.5777639133759749,0.6032405156492014,-0.24763487710910817,-0.09508916518547494,0.7263201005457008,-0.21734073461715708,1.391299864369002
1686343710816910800,0.411910888671875,-0.5768492564533606,0.6030600267822787,-0.24754015380020844,-0.09574706533157336,0.7265285193846198,-0.2172532551259004,1.390766905560569
1686343710826930000,0.421929931640625,-0.5761081239650753,0.6027148208125275,-0.24755704245028406,-0.09647642446026357,0.7268218514304559,-0.21721018686588567,1.3898644203866832
1686343710836949800,0.43194970703125,-0.576161477984967,0.6021888591666554,-0.24771462421657264,-0.0966070575165807,0.7272231790177711,-0.21714615442140064,1.3885108138483224
1686343710846969600,0.441969482421875,-0.5759030663578473,0.601512632075143,-0.2478917963261298,-0.09708915443054805,0.7277417956335032,-0.2170807354440454,1.38678062582443
1686343710856989700,0.45198974609375,-0.5756981388493616,0.6007511374728899,-0.24811437930501973,-0.09761267192789162,0.7283106492631611,-0.21702785404010982,1.3848533944830506
1686343710867009500,0.462009521484375,-0.5758755324391539,0.5999536914723131,-0.24838098397971364,-0.0977965343996128,0.7288977537800646,-0.2169574584372355,1.382828548456108
