"event","experiment time","system time","system time text"
"START",0.000000000E0,1686142163.255,"2023-06-07 14:49:23.255 UTC+02:00"
"PAUSE",2.015853171E1,1686142183.413,"2023-06-07 14:49:43.413 UTC+02:00"
