,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_score_macro,split1_test_f1_score_macro,split2_test_f1_score_macro,split3_test_f1_score_macro,split4_test_f1_score_macro,mean_test_f1_score_macro,std_test_f1_score_macro,rank_test_f1_score_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_score_weighted,split1_test_f1_score_weighted,split2_test_f1_score_weighted,split3_test_f1_score_weighted,split4_test_f1_score_weighted,mean_test_f1_score_weighted,std_test_f1_score_weighted,rank_test_f1_score_weighted
0,0.020560741424560547,0.003351908914092441,0.04189209938049317,0.00910333641632279,1,2,0.1,rbf,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}",0.5903614457831325,0.5662650602409639,0.5742971887550201,0.6104417670682731,0.570281124497992,0.5823293172690763,0.016263820667724173,103,0.5415235081374322,0.5441616766467066,0.5437116564417178,0.5393496324704379,0.665161096055405,0.5667815139503399,0.04921969630026272,98,0.4601496203023857,0.4360942420152947,0.4623487976242213,0.4718342772674842,0.44026873203074574,0.45413913384802634,0.013672225826098663,103,0.4548412476450684,0.4355272034975569,0.45243859401468095,0.4669425471501025,0.442655299684372,0.45048097839835616,0.010758104700102652,103,0.6942874572430772,0.690137796695765,0.6945080937245915,0.6886979044333295,0.7666450203100871,0.70685525448137,0.02998126334766418,88,0.5903614457831325,0.5662650602409639,0.5742971887550201,0.6104417670682731,0.570281124497992,0.5823293172690763,0.016263820667724173,103,0.5621482503261022,0.5346624570348922,0.5446097206442937,0.5838476657232389,0.5407840261472082,0.5532104239751471,0.017837824195743094,103
1,0.4394848346710205,0.11406649666606365,0.016278553009033202,0.006042441293620747,1,2,0.1,poly,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.9477911646586346,0.9317269076305221,0.9116465863453815,0.9156626506024096,0.9076305220883534,0.9228915662650602,0.014897379109230066,1,0.9258467057572182,0.8854593628678635,0.8444412520457412,0.9018475308293856,0.880540114769991,0.8876269932540399,0.026769015015895983,2,0.9133510055956533,0.9074749372195848,0.8706479119057174,0.8592463590651593,0.8343073775639565,0.8770055182700144,0.029760100988281874,1,0.91596944155219,0.8952470198578466,0.8552408560220257,0.8753922295107511,0.8497936769727233,0.8783286447831073,0.024734485679102546,2,0.9536203606642815,0.9353291832059734,0.9187862100851519,0.9131219780996307,0.9061287524303676,0.9253972968970811,0.017092983474746807,2,0.9477911646586346,0.9317269076305221,0.9116465863453815,0.9156626506024096,0.9076305220883534,0.9228915662650602,0.014897379109230066,1,0.9494729285030077,0.9327129248376352,0.9137788155678708,0.9121961709133506,0.9037253026423597,0.9223772284928448,0.016531694130788806,2
2,0.029009103775024414,0.010087580852871023,0.03765463829040527,0.02447149982833876,1,2,0.1,sigmoid,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.2248995983935743,0.14457831325301204,0.19678714859437751,0.20481927710843373,0.18072289156626506,0.19036144578313252,0.02695254897279119,141,0.106691679331307,0.0909211194144478,0.09024996291351431,0.09929142441860465,0.06998283752860412,0.09142740472129558,0.012299211692413494,141,0.12280987671264211,0.08138159324321234,0.10853762094283949,0.11306516576643695,0.09607371794871794,0.10437359492276976,0.014354783883284688,141,0.10614572693224379,0.08023960117387037,0.09263451320811195,0.1029047976011994,0.07699237141665177,0.09178340206641546,0.01168520544190128,141,0.19255517510772574,0.16399233461403565,0.16259787704444836,0.1790534229943028,0.12937718838741694,0.1655151996295859,0.021124533183916,137,0.2248995983935743,0.14457831325301204,0.19678714859437751,0.20481927710843373,0.18072289156626506,0.19036144578313252,0.02695254897279119,141,0.19258785226024971,0.14369434568895714,0.16711521683531247,0.18592149708278394,0.1435065968624483,0.16656510174595032,0.02052765130967391,137
3,0.05510101318359375,0.024272866786435598,0.03318791389465332,0.027323434623716555,1,2,0.01,rbf,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}",0.8273092369477911,0.8955823293172691,0.8594377510040161,0.8634538152610441,0.8835341365461847,0.8658634538152612,0.023362312565861847,66,0.8245596995596995,0.8878892305204986,0.8542347292347292,0.857777957050479,0.9223260773235848,0.8693575387377983,0.033222649366325914,10,0.7313703385151868,0.822761838345023,0.7658094813675769,0.7498729449136452,0.8073735475051265,0.7754376301293118,0.034489604436228026,67,0.7569489334304365,0.8434555334273064,0.7899562141058627,0.7770489292877776,0.8369000508704139,0.8008619322243595,0.0338446631497364,67,0.8433610120357109,0.8952820539113797,0.8721145347651371,0.8714771262517389,0.8973638337870941,0.8759197121502122,0.019641973061771893,52,0.8273092369477911,0.8955823293172691,0.8594377510040161,0.8634538152610441,0.8835341365461847,0.8658634538152612,0.023362312565861847,66,0.8231761755324235,0.8907873032674957,0.8546560543909485,0.8540566280935505,0.8783890189396316,0.8602130360448099,0.023262255311876777,66
4,0.21075682640075682,0.03402580045302936,0.015972614288330078,0.009928808624162271,1,2,0.01,poly,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.9196787148594378,0.9317269076305221,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9196787148594376,0.006221659993907531,6,0.8747706930166608,0.890176343999939,0.8583159480276719,0.8810041819519279,0.8897051221804512,0.8787944578353301,0.011739104369974739,7,0.8619775908747809,0.9074749372195848,0.8885010383114754,0.8501148655586657,0.8384511504577294,0.8693039164844473,0.025295628888306176,7,0.8667297512725902,0.8974744831702156,0.8688660278976468,0.8613639819597764,0.8555156562090461,0.8699899801018549,0.014499683897191135,7,0.9256403494160975,0.9356238629732606,0.9243992490173545,0.9119468531008132,0.913407917383821,0.9222036463782693,0.008709770020565435,6,0.9196787148594378,0.9317269076305221,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9196787148594376,0.006221659993907531,6,0.9216110040163286,0.9327497297391821,0.9182805350219917,0.912008156979444,0.9111183007954212,0.9191535453104736,0.007839377655045414,6
5,0.05393204689025879,0.02636177408653418,0.03132295608520508,0.0110331142984905,1,2,0.01,sigmoid,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.21285140562248997,0.1686746987951807,0.20883534136546184,0.2248995983935743,0.1927710843373494,0.20160642570281126,0.019410515620232244,129,0.09940536437246963,0.09799733903617605,0.11427587995849628,0.15565874764366422,0.07407407407407407,0.10828228101697604,0.026963805077220963,125,0.11567267663944736,0.09509774068482811,0.11525309362062261,0.1291983830175177,0.10264423076923077,0.11157322494632933,0.011765726950293081,129,0.09976202862118769,0.08924497812117255,0.10016150231082356,0.12701040672058544,0.08213361203781891,0.09966250556231764,0.015257480699885395,129,0.17961847389558233,0.17462442167783057,0.206598570833738,0.23126620441683005,0.13685932815080987,0.18579339979495818,0.031805817869849255,129,0.21285140562248997,0.1686746987951807,0.20883534136546184,0.2248995983935743,0.1927710843373494,0.20160642570281126,0.019410515620232244,129,0.18168636236886893,0.15824681706121882,0.18078513161105975,0.21559129563896867,0.15290631371955796,0.17784318407993485,0.02215495477139213,129
6,0.0226804256439209,0.004047829183127399,0.011899375915527343,0.003766821233451689,1,2,0.001,rbf,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'rbf'}",0.8674698795180723,0.8835341365461847,0.8714859437751004,0.9116465863453815,0.8995983935742972,0.8867469879518071,0.01673306558714832,47,0.8421046198891236,0.8894620284141939,0.7964912280701755,0.8949754521885303,0.90910967304816,0.8664286003220367,0.04159333502332527,14,0.7964541498495556,0.8387736383945126,0.8021696282456764,0.8266565986793462,0.8447995352600615,0.8217707100858304,0.01933095392796266,48,0.8067393743069604,0.8412658536704853,0.7947479928862122,0.8458900955611481,0.8614531138724686,0.830019286059455,0.025109646837673662,48,0.8676315588535898,0.889959771112543,0.8685497972752253,0.9085058731767824,0.9022320266057726,0.8873758054047827,0.016841127071365387,48,0.8674698795180723,0.8835341365461847,0.8714859437751004,0.9116465863453815,0.8995983935742972,0.8867469879518071,0.01673306558714832,47,0.8634323695425105,0.8789647085126009,0.8682368869061927,0.9047559607800573,0.8957911811778893,0.88223622138385,0.015818625754762842,48
7,0.03365478515625,0.013482158106994421,0.020110321044921876,0.01268536456630661,1,2,0.001,poly,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.8634538152610441,0.8835341365461847,0.8433734939759037,0.8835341365461847,0.8594377510040161,0.8666666666666668,0.01532432452075413,64,0.8281583259709431,0.8646986623935482,0.7087158847744548,0.8531248808843148,0.8671090212469523,0.8243613550540427,0.059447613124265504,65,0.8214257401088356,0.852078282135151,0.7445152262001058,0.8130417413144888,0.8209556707911971,0.8104033321099557,0.035546731193903294,52,0.8158349947310987,0.8443510331563525,0.7249848717676474,0.8252519588697216,0.8323067863053837,0.8085459289660408,0.042804803521480805,53,0.8669803750950112,0.8851198347601836,0.8313456161185822,0.8809388344305371,0.862266817181649,0.8653302955171928,0.018985881314340338,68,0.8634538152610441,0.8835341365461847,0.8433734939759037,0.8835341365461847,0.8594377510040161,0.8666666666666668,0.01532432452075413,64,0.8613161197420311,0.8791788656230183,0.8364467959136758,0.8787360586167973,0.855379740908557,0.8622115161608159,0.015951471082063705,64
8,0.038069629669189455,0.01582204409680071,0.03043994903564453,0.016074112535545877,1,2,0.001,sigmoid,"{'C': 1, 'degree': 2, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.25301204819277107,0.18473895582329317,0.28112449799196787,0.27309236947791166,0.24096385542168675,0.24658634538152616,0.03403955036211581,109,0.1835129777682067,0.14068509615384617,0.18082702020202018,0.2632883648955078,0.13917091836734694,0.18149687547738555,0.0450587374270649,109,0.14635012809076145,0.108466499119376,0.16822586670936357,0.16622798848490195,0.13371951513398883,0.14459799950767835,0.022149624054621977,109,0.1331037913975399,0.1144392420602098,0.1601071692535107,0.167758910179848,0.12113161982125652,0.13930814654247298,0.02111581328693511,109,0.25347682029513935,0.23494748223663886,0.28939008559490487,0.31570946161307606,0.22547004343906235,0.2637987786357643,0.03393424838926776,109,0.25301204819277107,0.18473895582329317,0.28112449799196787,0.27309236947791166,0.24096385542168675,0.24658634538152616,0.03403955036211581,109,0.22249749208814695,0.1937370920788462,0.262296785070808,0.2637393353163741,0.21161707863381496,0.23077755663759808,0.027884117399330288,109
9,0.05134782791137695,0.02528385489788976,0.008192873001098633,0.0004349954548382512,1,2,0.0001,rbf,"{'C': 1, 'degree': 2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.7991967871485943,0.7911646586345381,0.751004016064257,0.8072289156626506,0.7590361445783133,0.7815261044176707,0.0223749209272034,73,0.7153741713799184,0.7000448028673836,0.6205527552724349,0.737601236729291,0.6852224544861532,0.6917590841470362,0.03960024553516176,76,0.6818254597023553,0.7245958521605266,0.637530653755007,0.6699364000183581,0.6598530307411886,0.6747482792754871,0.028861882355765273,74,0.6872945350962321,0.710644287061799,0.6207375577148068,0.6692762856989167,0.6548489732733282,0.6685603277690164,0.030323460645042852,74,0.7944589450668941,0.7655378503260354,0.7314422784837166,0.7940806154028164,0.7419172926063503,0.7654873963771626,0.0259674611676881,75,0.7991967871485943,0.7911646586345381,0.751004016064257,0.8072289156626506,0.7590361445783133,0.7815261044176707,0.0223749209272034,73,0.7864621834643386,0.7771746902606155,0.7321917736783595,0.7825952636746794,0.7395151008106333,0.7635878023777252,0.022953561798652163,73
