,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_score_macro,split1_test_f1_score_macro,split2_test_f1_score_macro,split3_test_f1_score_macro,split4_test_f1_score_macro,mean_test_f1_score_macro,std_test_f1_score_macro,rank_test_f1_score_macro,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_test_f1_score_weighted,split1_test_f1_score_weighted,split2_test_f1_score_weighted,split3_test_f1_score_weighted,split4_test_f1_score_weighted,mean_test_f1_score_weighted,std_test_f1_score_weighted,rank_test_f1_score_weighted
0,0.0029085159301757814,0.0006821820337699942,0.0075408935546875,0.0014801780138239105,1.0,{'var_smoothing': 1.0},0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.26405254844922704,0.2670972149921916,0.26346920046557437,0.2596333858419657,0.26243446920052427,0.2633373637898966,0.0024166101194719224,96,0.37259615384615385,0.375,0.375,0.37259615384615385,0.37259615384615385,0.37355769230769226,0.0011776392994149853,96,0.3055434572202865,0.3082985950285626,0.30650536864710093,0.3031239455521472,0.3047412969544117,0.3056425326805018,0.001729998613060409,96,0.47621528846154065,0.4807554005715732,0.4751630750776407,0.46621065743196693,0.474236658297673,0.4745162159680789,0.004717905332878281,96,0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.5504196421769151,0.5546549948442837,0.5520671318056765,0.5433781229211323,0.5496873350714947,0.5500414453639004,0.0037431681039782226,96
1,0.0025483131408691405,0.0007302254504506562,0.005783987045288086,0.002196072951782567,0.8111308307896871,{'var_smoothing': 0.8111308307896871},0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.26405254844922704,0.2670972149921916,0.262882505237508,0.25855072463768114,0.26174640435203816,0.2628658795337292,0.002799515877804079,97,0.37259615384615385,0.375,0.375,0.37259615384615385,0.37259615384615385,0.37355769230769226,0.0011776392994149853,96,0.3055434572202865,0.3082985950285626,0.30620657936050677,0.302584597526532,0.3044090056285178,0.3054084469528811,0.0018963758886523501,97,0.47621528846154065,0.4807554005715732,0.4742819397286634,0.46456201618066467,0.4731635387215454,0.47379563673279745,0.005295069672446738,97,0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.5504196421769151,0.5546549948442837,0.5516525452929414,0.5426141617136124,0.549198670856032,0.5497080029767569,0.003983526246528408,97
2,0.002516937255859375,0.0003542405051537542,0.005266714096069336,0.0012473990647242435,0.657933224657568,{'var_smoothing': 0.657933224657568},0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.26277036646602353,0.26627485233223724,0.262882505237508,0.25855072463768114,0.2605093601152014,0.2621975617577303,0.002591177222781247,98,0.37259615384615385,0.375,0.375,0.37259615384615385,0.37259615384615385,0.37355769230769226,0.0011776392994149853,96,0.304906865557468,0.3078992754396091,0.30620657936050677,0.302584597526532,0.30380436847103515,0.30508033727103023,0.0018494182506190696,98,0.4742623712988995,0.4794719310807963,0.4742819397286634,0.46456201618066467,0.47125399282022673,0.47276645022185015,0.004880537412859426,98,0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.549520267338238,0.5540675367704424,0.5516525452929414,0.5426141617136124,0.5483239548888812,0.5492356932008231,0.0038456420723129814,98
3,0.002119588851928711,0.0005611673933800089,0.005456399917602539,0.0018937689246508707,0.533669923120631,{'var_smoothing': 0.533669923120631},0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.2621954977365425,0.26550221439927324,0.262882505237508,0.25855072463768114,0.25995817245817243,0.2618178228938355,0.00240761950080623,99,0.37259615384615385,0.375,0.375,0.37259615384615385,0.37259615384615385,0.37355769230769226,0.0011776392994149853,96,0.3046176046176046,0.30752053790407347,0.30620657936050677,0.302584597526532,0.303531613314222,0.3048921865445878,0.001782547680681506,99,0.47339917691473166,0.47827316533907605,0.4742819397286634,0.46456201618066467,0.47041395957058607,0.4721860515467444,0.00456472562122972,99,0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.5491205804458816,0.5535154133286173,0.5516525452929414,0.5426141617136124,0.5479372498754375,0.5489679901312979,0.003724049918891229,99
4,0.0016215324401855468,0.00015547424531259924,0.0037049293518066407,8.086469346524183e-05,0.43287612810830584,{'var_smoothing': 0.43287612810830584},0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.2616634119124006,0.26550221439927324,0.262882505237508,0.25855072463768114,0.25995817245817243,0.26171140572900703,0.0024003224659547534,100,0.37259615384615385,0.375,0.375,0.37259615384615385,0.37259615384615385,0.37355769230769226,0.0011776392994149853,96,0.30434743675333265,0.30752053790407347,0.30620657936050677,0.302584597526532,0.303531613314222,0.3048381529717334,0.0017941092572630434,100,0.47260927655383705,0.47827316533907605,0.4742819397286634,0.46456201618066467,0.47041395957058607,0.47202807147456555,0.004533569404292853,100,0.6706827309236948,0.6746987951807228,0.6746987951807228,0.6666666666666666,0.6706827309236948,0.6714859437751003,0.0030053472986135976,96,0.5487538112491547,0.5535154133286173,0.5516525452929414,0.5426141617136124,0.5479372498754375,0.5488946362919527,0.0037239340448693976,100
5,0.002033710479736328,0.00034616600994620414,0.003926134109497071,0.0003530070795265372,0.3511191734215131,{'var_smoothing': 0.3511191734215131},0.6746987951807228,0.7068273092369478,0.6827309236947792,0.6666666666666666,0.6706827309236948,0.6803212851405622,0.014278223963559196,95,0.32594025664639575,0.39690126050420166,0.34813666890872774,0.25855072463768114,0.25995817245817243,0.31789741663103566,0.05310309382030189,95,0.37780448717948717,0.41666666666666663,0.38541666666666663,0.37259615384615385,0.37259615384615385,0.38501602564102555,0.016507188181818046,95,0.3152926657527884,0.3749380285797609,0.3263441707467726,0.302584597526532,0.303531613314222,0.32453821518401516,0.02665378584919169,95,0.5238715064845835,0.5859387128345315,0.5420566330382064,0.46456201618066467,0.47041395957058607,0.5173685656217144,0.04549048404820796,95,0.6746987951807228,0.7068273092369478,0.6827309236947792,0.6666666666666666,0.6706827309236948,0.6803212851405622,0.014278223963559196,95,0.558475465342196,0.6104284153235866,0.5688969339806856,0.5426141617136124,0.5479372498754375,0.5656704452471037,0.024130943948439815,95
6,0.0015216827392578124,0.0001040480750712584,0.0036820888519287108,0.00013370733286517756,0.2848035868435802,{'var_smoothing': 0.2848035868435802},0.714859437751004,0.7228915662650602,0.7028112449799196,0.6867469879518072,0.6987951807228916,0.7052208835341366,0.012597901318359937,94,0.35732289075456053,0.36449815996779944,0.34682544757033246,0.3304554865424431,0.3789748031818927,0.3556153576034057,0.01635704848213914,94,0.4298878205128205,0.44030448717948717,0.41145833333333337,0.3986378205128205,0.4106396321070234,0.418185618729097,0.014903023626858263,94,0.38321780685332185,0.3931936277564127,0.36295519113369246,0.3462508673472542,0.36647908543069835,0.37041931570427594,0.016357402797145645,94,0.5644553837239504,0.5718214933219162,0.5496770372196372,0.5288955407551531,0.567427739496612,0.5564554389034537,0.01565886867663583,94,0.714859437751004,0.7228915662650602,0.7028112449799196,0.6867469879518072,0.6987951807228916,0.7052208835341366,0.012597901318359937,94,0.6222412441296322,0.6312485050720213,0.6033533368634892,0.5828513516891788,0.6005748623704317,0.6080538600249508,0.017043885571757154,94
7,0.0014329910278320312,2.397196555078884e-05,0.004079627990722656,0.0010071334544760951,0.23101297000831597,{'var_smoothing': 0.23101297000831597},0.7228915662650602,0.7349397590361446,0.7309236947791165,0.7108433734939759,0.7188755020080321,0.7236947791164658,0.008575966467495054,93,0.35576773584003063,0.3686331264924495,0.36933200699634694,0.3481600996376812,0.36011904761904767,0.3604024033171112,0.00798645175671137,93,0.44310897435897434,0.46434294871794873,0.4479166666666667,0.4298878205128205,0.44084448160535117,0.4452201783723523,0.011239541778270067,93,0.3918078898225957,0.4075107799025122,0.3998900816515083,0.37975343126134303,0.3917644855144855,0.3941453336304889,0.009272499328497254,93,0.5705035507510332,0.5875650518530585,0.5781411281963232,0.5532266748152029,0.5662650602409639,0.5711402931713163,0.011522633799998093,93,0.7228915662650602,0.7349397590361446,0.7309236947791165,0.7108433734939759,0.7188755020080321,0.7236947791164658,0.008575966467495054,93,0.6329041281840714,0.6470351597616563,0.6390096711145299,0.615975585645668,0.6270336089613198,0.6323916307334491,0.010551672740917712,93
8,0.0014523506164550782,0.00015587438384728628,0.003864145278930664,0.0002807372279473517,0.1873817422860384,{'var_smoothing': 0.1873817422860384},0.751004016064257,0.7429718875502008,0.751004016064257,0.7469879518072289,0.7389558232931727,0.7461847389558233,0.0046834954978677195,92,0.4962120353119861,0.4995173601355436,0.49876610358641044,0.4905940391386228,0.4963940437964939,0.49629671639381134,0.0031307376320575996,92,0.4920293522267207,0.48310981781376516,0.4920293522267207,0.48779099190283404,0.48054369829255417,0.48710064249251894,0.004647174204919676,92,0.459810138277436,0.4356835031587546,0.46133827316396775,0.46026801081641466,0.4417099870328347,0.4517619824898816,0.010847956331190565,92,0.6683861339963507,0.6729772401141948,0.6676523465378158,0.6536607085017381,0.6615058627041221,0.6648364583708443,0.006675207910471245,92,0.751004016064257,0.7429718875502008,0.751004016064257,0.7469879518072289,0.7389558232931727,0.7461847389558233,0.0046834954978677195,92,0.6810634687044214,0.6652104195714366,0.6805292799982181,0.6747399739255273,0.662754756347671,0.6728595797094549,0.007619463046159186,92
9,0.0013910770416259766,7.885401746285033e-05,0.004597616195678711,0.0018877529460180928,0.15199110829529336,{'var_smoothing': 0.15199110829529336},0.7911646586345381,0.7791164658634538,0.7911646586345381,0.7871485943775101,0.7871485943775101,0.7871485943775101,0.0043993779719290185,91,0.5206323726912746,0.5187036301006889,0.5230822538412709,0.5146682956971127,0.5239277271192164,0.5202028558899128,0.003323525760833907,91,0.5509657557354926,0.5423836032388664,0.5509657557354926,0.5522731106612686,0.5590895088892801,0.5511355468520801,0.0053143906247962456,91,0.5178157589909446,0.5077776878318154,0.5196404427317911,0.5240917169335846,0.5279844209591831,0.5194620054894636,0.006831266939631376,91,0.7011481225208203,0.698227887703437,0.7002523802634263,0.6826846012669184,0.6949128496424061,0.6954451682794016,0.006730407642087306,91,0.7911646586345381,0.7791164658634538,0.7911646586345381,0.7871485943775101,0.7871485943775101,0.7871485943775101,0.0043993779719290185,91,0.7281478578888181,0.7163451147260472,0.7278046540386138,0.7227106976859307,0.7247822042547514,0.7239581057188322,0.004302156535413207,91
