"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.922840240E-1,-3.386957407E0,1.899666309E0,5.274620056E-1
4.973344400E-1,-2.918022156E0,1.372770786E0,1.782412529E-1
5.023848570E-1,-2.259260416E0,7.363390923E-1,1.115183830E-1
5.074352740E-1,-1.610169411E0,1.622142792E-1,2.831530571E-1
5.124856900E-1,-1.075236797E0,-1.899552345E-1,6.441626549E-1
5.175361070E-1,-5.448293686E-1,-4.437303543E-1,1.131813526E0
5.225865240E-1,-5.508613586E-2,-5.722002983E-1,1.626382351E0
5.276369400E-1,4.003789425E-1,-6.375155449E-1,2.037070751E0
5.326873050E-1,7.957251072E-1,-5.661821365E-1,2.325103283E0
5.377377740E-1,1.156714678E0,-4.258003235E-1,2.508805275E0
5.427881900E-1,1.307693720E0,-1.254539490E-1,2.524152756E0
5.478385550E-1,1.305805683E0,3.208703995E-1,2.410640240E0
5.528889720E-1,1.212708712E0,8.212556839E-1,2.320666313E0
5.579393880E-1,1.032656431E0,1.314234257E0,2.230974674E0
5.629898050E-1,8.446891308E-1,1.821042538E0,2.159547806E0
5.680402220E-1,6.575233936E-1,2.222636700E0,2.141997814E0
5.730906380E-1,4.190807343E-1,2.659807682E0,2.145838737E0
5.781410550E-1,2.820267677E-1,3.001525879E0,2.166154385E0
5.831914720E-1,1.873581409E-1,3.284030437E0,2.140196323E0
5.882418880E-1,1.455407143E-1,3.567062855E0,2.086156368E0
5.932923050E-1,1.372106075E-1,3.856110811E0,2.077000141E0
5.983427220E-1,1.685347557E-1,4.112711906E0,2.061463594E0
6.033931380E-1,2.396197319E-1,4.322531223E0,2.101452589E0
6.084830340E-1,3.388965130E-1,4.460997105E0,2.140366793E0
6.134939720E-1,4.120872021E-1,4.588489056E0,2.163208485E0
6.185443880E-1,4.807386398E-1,4.675296307E0,2.092837572E0
6.235948050E-1,4.318675995E-1,4.731413841E0,1.960757732E0
6.286452220E-1,4.627454281E-1,4.738965034E0,1.748854637E0
6.336956380E-1,4.965114594E-1,4.716110706E0,1.582696438E0
6.387460550E-1,5.741527081E-1,4.625096798E0,1.356679678E0
6.437964720E-1,7.874572277E-1,4.524727345E0,1.210349560E0
6.488470440E-1,9.416267872E-1,4.420917511E0,1.121822119E0
6.538979300E-1,1.118844748E0,4.235459328E0,9.968171120E-1
6.589488150E-1,1.349597692E0,4.033328533E0,8.924484253E-1
6.639996490E-1,1.552780390E0,3.790976524E0,8.771779537E-1
6.690505340E-1,1.784454584E0,3.514919758E0,8.618774414E-1
6.741014190E-1,1.954011202E0,3.242643833E0,8.695790768E-1
6.791495440E-1,2.170619011E0,2.951631069E0,9.065275192E-1
