"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.038595100E-2,-1.206879973E0,-6.184549332E0,-3.538386583E0
4.291121100E-2,-1.098903775E0,-6.148357868E0,-3.694219112E0
4.543918000E-2,-9.672985673E-1,-6.194120407E0,-3.821038723E0
4.796157600E-2,-8.641080856E-1,-6.165406704E0,-3.996013880E0
5.048678400E-2,-7.492526174E-1,-6.088537216E0,-4.103690624E0
5.301204400E-2,-7.325028181E-1,-6.062216282E0,-4.204488277E0
5.553725300E-2,-6.942176819E-1,-6.019145489E0,-4.249952316E0
5.806240900E-2,-6.535396576E-1,-5.983253002E0,-4.295415878E0
6.058761700E-2,-6.583253145E-1,-5.906682491E0,-4.343272209E0
6.311282600E-2,-7.061817646E-1,-5.880062580E0,-4.328915119E0
6.564084700E-2,-8.066803217E-1,-5.863312721E0,-4.264308929E0
6.816324200E-2,-8.353942037E-1,-5.860919952E0,-4.218845367E0
7.068845100E-2,-9.601200819E-1,-5.856134415E0,-4.173381805E0
7.321397200E-2,-1.086939692E0,-5.865705490E0,-4.101297855E0
7.573949200E-2,-1.199701428E0,-5.923432350E0,-4.055834293E0
7.826506500E-2,-1.295414329E0,-6.009573936E0,-3.866502285E0
7.995522200E-2,-1.343270779E0,-6.098108292E0,-3.775574923E0
8.331454400E-2,-1.415354609E0,-6.215655804E0,-3.564707518E0
8.584532600E-2,-1.463211060E0,-6.347260952E0,-3.329911709E0
8.837053400E-2,-1.479960799E0,-6.507879257E0,-3.049652576E0
9.089298200E-2,-1.499103427E0,-6.608377934E0,-2.728715181E0
9.341813800E-2,-1.479960799E0,-6.778567314E0,-2.388635159E0
9.594339900E-2,-1.463211060E0,-6.948457718E0,-2.043769598E0
9.850808600E-2,-1.422533035E0,-7.077969551E0,-1.600499272E0
1.009938150E-1,-1.333699465E0,-7.264908791E0,-1.265205026E0
1.035585030E-1,-1.245165110E0,-7.449155807E0,-1.030409217E0
1.060442320E-1,-1.202094316E0,-7.621738434E0,-8.626125455E-1
1.085694400E-1,-1.137488008E0,-7.767999649E0,-7.525427341E-1
1.111239190E-1,-1.003190875E0,-7.911569118E0,-6.711867452E-1
1.136784510E-1,-8.258228898E-1,-8.079365730E0,-6.062814593E-1
1.162329300E-1,-7.181459069E-1,-8.151150703E0,-5.105685592E-1
1.187097010E-1,-6.367899179E-1,-8.249256134E0,-4.411766827E-1
1.212349610E-1,-5.575276613E-1,-8.256434441E0,-4.866403043E-1
1.237601690E-1,-5.359922647E-1,-8.244470596E0,-4.722833633E-1
1.263572010E-1,-6.152545214E-1,-8.065009117E0,-7.573283911E-1
1.287710550E-1,-3.804588020E-1,-8.024031639E0,-8.865407705E-1
1.313356900E-1,-1.671984792E-1,-8.244470596E0,-5.249254704E-1
1.338609510E-1,-5.922235921E-2,-8.330910683E0,-2.638086975E-1
1.363861070E-1,-5.682953820E-2,-8.328517914E0,-2.997010350E-1
1.389113150E-1,-1.432702541E-1,-8.287541389E0,-3.909274042E-1
1.414713150E-1,-3.275175989E-1,-8.208578110E0,-5.033900738E-1
1.440312630E-1,-5.670989752E-1,-8.203792572E0,-6.903293133E-1
1.465494920E-1,-8.282157183E-1,-8.076972961E0,-8.362914920E-1
1.490122010E-1,-1.096511006E0,-7.997710705E0,-1.035194874E0
1.515374090E-1,-1.513460279E0,-7.849355698E0,-1.246062398E0
1.541167320E-1,-1.805683732E0,-7.765606880E0,-1.303490162E0
1.565877740E-1,-1.927717686E0,-7.775177956E0,-1.087836981E0
1.591130340E-1,-2.040479422E0,-7.784749508E0,-8.123632669E-1
1.616382420E-1,-2.136192322E0,-7.777570724E0,-5.679962635E-1
1.641634510E-1,-2.136192322E0,-7.695915699E0,-3.619144261E-1
1.666886590E-1,-1.999801517E0,-7.686344624E0,-2.662015259E-1
1.692138150E-1,-1.841576099E0,-7.763214111E0,-2.614158690E-1
1.717390240E-1,-1.683649778E0,-7.803892136E0,-3.475574851E-1
1.742642320E-1,-1.477568030E0,-7.892426491E0,-5.608177781E-1
1.769078260E-1,-1.297807217E0,-8.009675026E0,-7.740781307E-1
1.794330860E-1,-1.098903775E0,-8.146365166E0,-9.849455953E-1
1.819582420E-1,-8.739784956E-1,-8.237292290E0,-1.236491084E0
1.844835030E-1,-6.367899179E-1,-8.371588707E0,-1.514357686E0
1.870087110E-1,-4.857429862E-1,-8.488837242E0,-1.732403636E0
1.895339190E-1,-2.006980032E-1,-8.582456589E0,-2.019841433E0
1.920590760E-1,1.058823988E-1,-8.620741844E0,-2.379063845E0
1.945843360E-1,4.459623098E-1,-8.673383713E0,-2.824727058E0
1.971094920E-1,7.310073376E-1,-8.742775917E0,-3.195913792E0
1.996347010E-1,1.073779106E0,-8.757132530E0,-3.615255833E0
2.021599090E-1,1.433001637E0,-8.836395264E0,-4.051048756E0
2.046851170E-1,1.713261008E0,-8.910572052E0,-4.388735771E0
2.072103260E-1,2.012662888E0,-8.968000412E0,-4.681258202E0
2.097750130E-1,2.158924341E0,-9.003892899E0,-4.853541851E0
2.122607420E-1,2.230708838E0,-9.066105843E0,-4.896612644E0
2.147859510E-1,2.312064886E0,-9.233902931E0,-4.652245522E0
2.173111590E-1,2.369791746E0,-9.372985840E0,-4.144668102E0
2.198363670E-1,2.221137524E0,-9.308079720E0,-3.579064369E0
2.223615760E-1,1.804188251E0,-9.073284149E0,-3.282055378E0
2.248867840E-1,1.330110312E0,-8.920144081E0,-2.985046148E0
2.274119920E-1,8.748757839E-1,-8.764310837E0,-2.711965322E0
2.299372010E-1,5.778666735E-1,-8.673383713E0,-2.513062000E0
2.324624090E-1,3.837489188E-1,-8.539086342E0,-2.434098721E0
2.349876170E-1,1.824527234E-1,-8.426624298E0,-2.489133835E0
2.375128260E-1,7.477571070E-2,-8.270791054E0,-2.585145712E0
2.400380340E-1,-1.794616925E-3,-8.146365166E0,-2.654537678E0
2.425632420E-1,-5.443671346E-2,-8.016853333E0,-2.798406124E0
2.450884510E-1,-2.333002165E-2,-7.885247707E0,-2.987439156E0
2.476136590E-1,3.409772366E-2,-7.731808186E0,-3.176771164E0
2.501388670E-1,1.752742529E-1,-7.561917782E0,-3.375674486E0
2.526640760E-1,3.646063507E-1,-7.394121170E0,-3.543172121E0
2.551892840E-1,5.228317380E-1,-7.216753006E0,-3.677469254E0
2.577144920E-1,6.903293133E-1,-7.094718933E0,-3.818645954E0
2.602791800E-1,8.341978192E-1,-6.965506554E0,-3.861716747E0
2.627649090E-1,9.634101987E-1,-6.828816891E0,-3.919443607E0
2.652901170E-1,1.016351461E0,-6.689733982E0,-3.864109516E0
2.678153260E-1,9.873384237E-1,-6.582056999E0,-3.818645954E0
2.703405340E-1,8.533403873E-1,-6.503093719E0,-3.801896095E0
2.728657420E-1,7.166503668E-1,-6.428916454E0,-3.888336897E0
2.753909510E-1,5.802595019E-1,-6.387938976E0,-3.993621111E0
2.779161590E-1,3.837489188E-1,-6.409474373E0,-4.161417484E0
2.804413670E-1,1.417747438E-1,-6.546164513E0,-4.403092861E0
2.829665760E-1,-5.443671346E-2,-6.857530594E0,-4.625924587E0
2.854917840E-1,-2.964109182E-1,-7.236194611E0,-4.887041092E0
2.880169920E-1,-5.503492355E-1,-7.722237110E0,-5.085944653E0
2.905422010E-1,-8.497511148E-1,-8.287541389E0,-5.299204826E0
2.930674090E-1,-1.194915771E0,-8.860322952E0,-5.522036552E0
2.955926170E-1,-1.546959877E0,-9.487840652E0,-5.778367519E0
2.981178260E-1,-1.858325839E0,-1.012732315E1,-6.130411625E0
3.006430340E-1,-2.088335991E0,-1.071206856E1,-6.520740986E0
3.031682420E-1,-2.351845503E0,-1.123878860E1,-6.861119747E0
3.057329300E-1,-2.507678032E0,-1.177567863E1,-7.179664135E0
3.082186590E-1,-2.660818815E0,-1.229522038E1,-7.308876991E0
3.107438670E-1,-2.773580551E0,-1.279352570E1,-7.282555580E0
3.132690760E-1,-2.807080030E0,-1.323200989E1,-7.189235687E0
3.157942840E-1,-2.819044113E0,-1.361037540E1,-7.002296448E0
3.183194920E-1,-2.833401203E0,-1.390259838E1,-6.698108673E0
3.208447010E-1,-2.819044113E0,-1.408714485E1,-6.341279030E0
3.233699090E-1,-2.816651344E0,-1.418285847E1,-5.929115295E0
3.258951170E-1,-2.785544634E0,-1.416850090E1,-5.548357487E0
3.284203260E-1,-2.699103832E0,-1.420708561E1,-5.265705109E0
3.309455340E-1,-2.560320139E0,-1.416371536E1,-5.169693470E0
3.334707420E-1,-2.486142635E0,-1.402732468E1,-5.253741264E0
3.359959510E-1,-2.411666155E0,-1.387388515E1,-5.541179180E0
3.385211590E-1,-2.416451693E0,-1.373988628E1,-6.070590973E0
3.410463670E-1,-2.486142635E0,-1.358405399E1,-6.722036839E0
3.435715760E-1,-2.593819857E0,-1.338036537E1,-7.304090977E0
3.460967840E-1,-2.823829889E0,-1.326311684E1,-7.888837337E0
3.486219920E-1,-3.082553864E0,-1.318176079E1,-8.226524353E0
3.511472010E-1,-3.348456144E0,-1.303549957E1,-8.420641899E0
3.536724090E-1,-3.547359467E0,-1.295175076E1,-8.521140099E0
3.561976170E-1,-3.793820381E0,-1.293500137E1,-8.434998512E0
3.587228260E-1,-3.978366852E0,-1.288953781E1,-8.276773453E0
3.612875130E-1,-4.098307133E0,-1.291585827E1,-7.896015644E0
3.637732420E-1,-4.086342812E0,-1.293260860E1,-7.471887589E0
3.662984510E-1,-4.098307133E0,-1.291585827E1,-6.885047913E0
3.688236590E-1,-4.040580273E0,-1.284885979E1,-6.415456772E0
3.713488670E-1,-3.956831455E0,-1.279831123E1,-5.998507500E0
3.738740760E-1,-3.818047523E0,-1.271695518E1,-5.636891842E0
3.763992840E-1,-3.724428415E0,-1.268584824E1,-5.430809975E0
3.789244920E-1,-3.671786308E0,-1.263799191E1,-5.311169147E0
3.814497010E-1,-3.667000771E0,-1.268584824E1,-5.248955727E0
3.839749090E-1,-3.772284985E0,-1.270977688E1,-5.394917965E0
3.865001170E-1,-3.889832258E0,-1.284377480E1,-5.572285652E0
3.890253260E-1,-4.016652107E0,-1.298285770E1,-5.969793320E0
3.915505340E-1,-4.138985157E0,-1.322004604E1,-6.305386543E0
3.940757420E-1,-4.294518471E0,-1.348834133E1,-6.539883614E0
3.966009510E-1,-4.416851521E0,-1.374228001E1,-6.841977119E0
3.991261590E-1,-4.462315083E0,-1.396511078E1,-7.031010151E0
4.016513670E-1,-4.488636017E0,-1.411825180E1,-7.191628456E0
4.041765760E-1,-4.435994148E0,-1.422144222E1,-7.263412952E0
4.067017840E-1,-4.261018753E0,-1.434586906E1,-7.385746002E0
4.092269400E-1,-3.880260944E0,-1.437458324E1,-7.502994537E0
4.117522010E-1,-3.348456144E0,-1.430758381E1,-7.618149281E0
4.142774090E-1,-2.632104874E0,-1.414696598E1,-7.579565048E0
4.168026170E-1,-1.843968987E0,-1.387867069E1,-7.462316513E0
4.193277740E-1,-1.077368379E0,-1.358883953E1,-7.131807804E0
4.218529820E-1,-4.546363056E-1,-1.318176079E1,-6.702894211E0
4.243782420E-1,8.673982322E-2,-1.271456242E1,-6.252445698E0
4.269033990E-1,4.674977362E-1,-1.224018478E1,-5.895616055E0
4.294286070E-1,6.687939167E-1,-1.170598793E1,-5.667998791E0
4.319538670E-1,6.640082598E-1,-1.110239792E1,-5.536393166E0
4.344790760E-1,5.611169338E-1,-1.054427242E1,-5.474180222E0
4.370042840E-1,2.210369855E-1,-1.008185863E1,-5.512465000E0
4.395689190E-1,-2.270190418E-1,-9.602696419E0,-5.622535229E0
4.420546490E-1,-7.588238716E-1,-9.207581520E0,-5.795117378E0
4.445799090E-1,-1.427318692E0,-8.831310272E0,-5.991328716E0
4.471050650E-1,-2.143370867E0,-8.452944756E0,-6.123233318E0
4.496302740E-1,-2.898007393E0,-8.127222061E0,-6.230910301E0
4.521554820E-1,-3.611965895E0,-7.784749508E0,-6.197410583E0
4.546806900E-1,-4.400101662E0,-7.449155807E0,-6.120840549E0
4.572058990E-1,-5.087440014E0,-7.087540627E0,-5.972186089E0
4.597311070E-1,-5.674279690E0,-6.804888725E0,-5.708676815E0
4.622563150E-1,-6.218048573E0,-6.550950050E0,-5.325525761E0
4.647815240E-1,-6.620641232E0,-6.294619083E0,-4.983053207E0
4.673067320E-1,-6.915257454E0,-6.093322754E0,-4.678865433E0
4.698319400E-1,-7.111767769E0,-5.959324837E0,-4.530211449E0
4.723571490E-1,-7.250551701E0,-5.810670853E0,-4.441677094E0
4.748823570E-1,-7.250551701E0,-5.695815086E0,-4.625924587E0
