"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.103187513E0,-2.748659897E1,2.860899925E1,-3.062199831E0
1.113187513E0,-2.781599998E1,2.862119865E1,-2.586400032E0
1.123187513E0,-2.808440018E1,2.863339996E1,-2.366800070E0
1.133187513E0,-2.823079872E1,2.856019974E1,-2.269199848E0
1.143187513E0,-2.830399895E1,2.845039940E1,-2.635200024E0
1.153187513E0,-2.842599869E1,2.824300003E1,-2.671799898E0
1.163187513E0,-2.853579903E1,2.813319969E1,-2.647399902E0
1.173187513E0,-2.865779877E1,2.797459984E1,-2.391200066E0
1.183187513E0,-2.881639862E1,2.785260010E1,-2.171599865E0
1.193187513E0,-2.892619896E1,2.781599998E1,-1.939799905E0
1.203187513E0,-2.906040001E1,2.771839905E1,-1.634799957E0
1.213187513E0,-2.918239975E1,2.773060036E1,-1.402999997E0
1.223187513E0,-2.926779938E1,2.769400024E1,-1.110199928E0
1.233187513E0,-2.934099960E1,2.774279976E1,-1.012599945E0
1.243187513E0,-2.937759972E1,2.776719856E1,-8.539999723E-1
1.253187513E0,-2.945079994E1,2.779159927E1,-7.685999870E-1
1.263187513E0,-2.951179886E1,2.781599998E1,-6.710000038E-1
1.273187513E0,-2.958499908E1,2.780379868E1,-7.197999954E-1
1.283187513E0,-2.962159920E1,2.785260010E1,-7.197999954E-1
1.293187513E0,-2.970699883E1,2.785260010E1,-7.563999891E-1
1.303187513E0,-2.974359894E1,2.776719856E1,-7.807999849E-1
1.313187513E0,-2.978019905E1,2.769400024E1,-6.466000080E-1
1.323187513E0,-2.975580025E1,2.766959953E1,-5.367999673E-1
1.333187513E0,-2.969479942E1,2.763299942E1,-4.391999841E-1
1.343187513E0,-2.965819931E1,2.764519882E1,-1.708000004E-1
1.353187513E0,-4.501799774E1,2.254559898E1,4.562799931E0
1.363187513E0,-4.485939789E1,2.260659981E1,5.038599968E0
1.373187513E0,-4.465200043E1,2.266759872E1,5.636399746E0
1.383187513E0,-4.445679855E1,2.280179977E1,6.331799984E0
1.393187513E0,-4.422499847E1,2.291160011E1,6.892999649E0
1.403187513E0,-4.398099899E1,2.293599892E1,7.551799774E0
1.413187513E0,-4.360279846E1,2.304579926E1,8.186200142E0
1.423187513E0,-4.316360092E1,2.314340019E1,8.796199799E0
1.433187513E0,-4.293180084E1,2.409499931E1,8.918199539E0
1.443187513E0,-4.238280106E1,2.409499931E1,9.308599472E0
1.453187513E0,-4.190699768E1,2.408279991E1,9.650199890E0
1.463187513E0,-4.132139969E1,2.409499931E1,9.930799484E0
1.473187513E0,-4.065039825E1,2.405839920E1,1.022359943E1
1.483187513E0,-3.993059921E1,2.414379883E1,1.045539951E1
1.493187513E0,-3.919860077E1,2.413159943E1,1.057740021E1
1.503187513E0,-3.843000031E1,2.407059860E1,1.065059948E1
1.513187513E0,-3.769799805E1,2.400959969E1,1.078479958E1
1.523187513E0,-3.700259781E1,2.405839920E1,1.080919933E1
1.533187513E0,-3.613639832E1,2.415600014E1,1.072379971E1
1.543187513E0,-3.540439987E1,2.422920036E1,1.065059948E1
1.553187513E0,-3.462360001E1,2.435120010E1,1.051639938E1
1.563187513E0,-3.396479797E1,2.447319984E1,1.038220024E1
1.573187513E0,-3.331819916E1,2.469279861E1,1.016259956E1
1.583187513E0,-3.258620071E1,2.502219963E1,9.845399857E0
1.593187513E0,-3.189079857E1,2.530279922E1,9.552599907E0
1.603187513E0,-3.129299927E1,2.557119942E1,9.259799957E0
1.613187513E0,-3.071959877E1,2.583959961E1,8.930399895E0
