"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.738409510E-1,-7.849435806E-1,-2.079867423E-1,3.274259865E-1
2.763661590E-1,-8.243572116E-1,-1.536598653E-1,3.583177626E-1
2.788913670E-1,-8.797492981E-1,-1.142462417E-1,3.913399875E-1
2.814165760E-1,-9.564461112E-1,-8.761541545E-2,4.263595045E-1
2.839417840E-1,-1.041664720E0,-7.270215452E-2,4.679036140E-1
2.864669920E-1,-1.140598297E0,-5.991935730E-2,5.009258389E-1
2.889922010E-1,-1.250317216E0,-5.778888986E-2,5.371437669E-1
2.915174090E-1,-1.368558168E0,-7.909355313E-2,5.754921436E-1
2.940426170E-1,-1.491059899E0,-1.238333359E-1,6.149057746E-1
2.965678260E-1,-1.626344562E0,-2.047910541E-1,6.564498544E-1
2.990930340E-1,-1.776409268E0,-3.165073693E-1,7.011896372E-1
3.016182420E-1,-1.929802775E0,-4.571181238E-1,7.501903772E-1
3.041829300E-1,-2.088522434E0,-6.179683208E-1,8.013215661E-1
3.066686590E-1,-2.245111704E0,-7.841446400E-1,8.481917977E-1
3.091938670E-1,-2.394111156E0,-9.448617101E-1,8.908011317E-1
3.117190760E-1,-2.523004532E0,-1.081211567E0,9.323452115E-1
3.142442840E-1,-2.623136282E0,-1.189865232E0,9.653674364E-1
3.167694920E-1,-2.701963663E0,-1.258040190E0,9.919982553E-1
3.192947010E-1,-2.753094673E0,-1.286801457E0,1.011039257E0
3.218199090E-1,-2.771203756E0,-1.283605814E0,1.025952578E0
3.243451170E-1,-2.755225182E0,-1.259105444E0,1.029148221E0
3.268703260E-1,-2.723268270E0,-1.216496110E0,1.024887323E0
3.293955340E-1,-2.678528547E0,-1.171756268E0,1.013169765E0
3.319207420E-1,-2.621005774E0,-1.125951290E0,9.951939583E-1
3.344459510E-1,-2.565613747E0,-1.078015804E0,9.696283340E-1
3.369711590E-1,-2.525134802E0,-1.025819421E0,9.419323206E-1
3.394963670E-1,-2.499569178E0,-9.693620801E-1,9.131709933E-1
3.420215760E-1,-2.497438908E0,-9.033176303E-1,8.876054287E-1
3.445467840E-1,-2.520874023E0,-8.244903684E-1,8.652355075E-1
3.470719920E-1,-2.552830935E0,-7.511224151E-1,8.439308405E-1
3.495972010E-1,-2.596505404E0,-6.776213646E-1,8.332785368E-1
3.521224090E-1,-2.645506144E0,-6.105116606E-1,8.258218765E-1
3.546476170E-1,-2.689180851E0,-5.540543199E-1,8.226261735E-1
3.571728260E-1,-2.729659557E0,-5.135754943E-1,8.268871307E-1
3.597375130E-1,-2.763746977E0,-4.933360517E-1,8.332785368E-1
3.622232420E-1,-2.778660297E0,-4.912055731E-1,8.386046886E-1
3.647484510E-1,-2.783986568E0,-5.135754943E-1,8.449960947E-1
3.672736590E-1,-2.778660297E0,-5.572500229E-1,8.577789068E-1
3.697988670E-1,-2.762681961E0,-6.243597269E-1,8.705616593E-1
3.723240760E-1,-2.740311861E0,-7.085131407E-1,8.780183196E-1
3.748492840E-1,-2.713681221E0,-8.054493070E-1,8.865401745E-1
3.773744920E-1,-2.690246105E0,-9.161003828E-1,8.918663263E-1
3.798997010E-1,-2.671071768E0,-1.032210827E0,8.939968348E-1
3.824249090E-1,-2.660419464E0,-1.153647423E0,8.929315805E-1
3.849501170E-1,-2.658288956E0,-1.269757748E0,8.929315805E-1
3.874753260E-1,-2.663615227E0,-1.381607175E0,8.939968348E-1
3.900005340E-1,-2.687050343E0,-1.477345109E0,8.908011317E-1
3.925257420E-1,-2.713681221E0,-1.561498404E0,8.876054287E-1
3.950509510E-1,-2.737116337E0,-1.627542853E0,8.876054287E-1
3.975761590E-1,-2.757355690E0,-1.675478339E0,8.822792768E-1
4.001013670E-1,-2.773334265E0,-1.695717812E0,8.801487684E-1
4.026265760E-1,-2.780790806E0,-1.698913574E0,8.801487684E-1
4.051517840E-1,-2.776529789E0,-1.678674102E0,8.801487684E-1
4.076769400E-1,-2.763746977E0,-1.638195276E0,8.854749799E-1
4.102022010E-1,-2.745638132E0,-1.583868384E0,8.939968348E-1
4.127274090E-1,-2.720072508E0,-1.516758680E0,9.014534354E-1
4.152526170E-1,-2.682789326E0,-1.442192316E0,9.057143927E-1
4.177777740E-1,-2.644440889E0,-1.358172059E0,9.035838842E-1
4.203029820E-1,-2.606092691E0,-1.288931966E0,8.971925378E-1
4.228282420E-1,-2.565613747E0,-1.235670328E0,8.854749799E-1
4.253533990E-1,-2.524069548E0,-1.193060994E0,8.684312105E-1
4.278786070E-1,-2.466547012E0,-1.145125508E0,8.492570519E-1
4.304038670E-1,-2.394111156E0,-1.082276702E0,8.204957247E-1
4.329290760E-1,-2.315417051E0,-1.009840965E0,7.832126021E-1
4.354542840E-1,-2.218480825E0,-9.150351882E-1,7.501903772E-1
4.380189190E-1,-2.104501009E0,-8.118407130E-1,7.054505944E-1
4.405046490E-1,-1.978803515E0,-7.031869292E-1,6.553846002E-1
4.430299090E-1,-1.844584107E0,-5.913375020E-1,5.999925137E-1
4.455550650E-1,-1.705171704E0,-4.922707975E-1,5.456656218E-1
4.480802740E-1,-1.578409076E0,-4.102478623E-1,4.934692085E-1
4.506054820E-1,-1.451646328E0,-3.516600430E-1,4.487294257E-1
4.531306900E-1,-1.338731647E0,-3.154421151E-1,4.125114977E-1
4.556558990E-1,-1.252447724E0,-3.047898114E-1,3.860138059E-1
4.581811070E-1,-1.176816225E0,-3.207682967E-1,3.700353205E-1
4.607063150E-1,-1.105578780E0,-3.559209704E-1,3.636439145E-1
4.632315240E-1,-1.042729974E0,-4.145087898E-1,3.615134656E-1
4.657567320E-1,-9.756202698E-1,-4.869446456E-1,3.636439145E-1
4.682819400E-1,-9.031844735E-1,-5.657718778E-1,3.604482114E-1
4.708071490E-1,-8.286181092E-1,-6.392729878E-1,3.583177626E-1
4.733323570E-1,-7.497909069E-1,-7.031869292E-1,3.540568352E-1
4.758575650E-1,-6.762897968E-1,-7.468615174E-1,3.497959077E-1
4.783827740E-1,-6.070496440E-1,-7.649704814E-1,3.444697261E-1
4.809079820E-1,-5.505923033E-1,-7.596443295E-1,3.434045017E-1
4.834331900E-1,-4.974638224E-1,-7.372744083E-1,3.466002047E-1
4.859583990E-1,-4.537892640E-1,-7.010564804E-1,3.561872840E-1
4.884836070E-1,-4.165061116E-1,-6.541862488E-1,3.721657991E-1
4.910088150E-1,-3.845491111E-1,-6.009245515E-1,3.913399875E-1
4.935340240E-1,-3.525921404E-1,-5.455324650E-1,4.157072008E-1
4.960592320E-1,-3.291569948E-1,-4.869446456E-1,4.359466136E-1
4.985844400E-1,-3.057218790E-1,-4.294220507E-1,4.593817294E-1
5.011096490E-1,-2.865476906E-1,-3.750951886E-1,4.764254689E-1
5.036348570E-1,-2.641777992E-1,-3.260944486E-1,4.892082810E-1
5.061600650E-1,-2.428731322E-1,-2.824199200E-1,4.998605847E-1
5.086852740E-1,-2.183727771E-1,-2.451367527E-1,5.073172450E-1
5.112104820E-1,-1.864157766E-1,-2.153102309E-1,5.126433969E-1
5.137356900E-1,-1.470021605E-1,-1.909430176E-1,5.126433969E-1
5.162608990E-1,-1.043928340E-1,-1.781602204E-1,5.073172450E-1
5.187861070E-1,-5.752258375E-2,-1.696383655E-1,4.998605847E-1
5.213113150E-1,-5.326164886E-3,-1.707035899E-1,4.870778024E-1
5.238365240E-1,4.900071770E-2,-1.781602204E-1,4.647079110E-1
5.263617320E-1,1.031944528E-1,-1.930734813E-1,4.359466136E-1
5.288869400E-1,1.660431921E-1,-2.122476846E-1,4.018591642E-1
5.314121490E-1,2.310224175E-1,-2.334191799E-1,3.657743931E-1
5.339373050E-1,2.960016131E-1,-2.483324558E-1,3.231650591E-1
5.364625130E-1,3.577851355E-1,-2.600499988E-1,2.773600519E-1
5.389877740E-1,4.248948097E-1,-2.749632597E-1,2.272941023E-1
5.415129300E-1,4.962654412E-1,-2.802894413E-1,1.761629134E-1
5.440381900E-1,5.644403696E-1,-2.770937383E-1,1.250317246E-1
5.465633470E-1,6.315500140E-1,-2.621804774E-1,7.816147059E-2
5.490885550E-1,6.995918155E-1,-2.398105860E-1,3.981308267E-2
5.516138150E-1,7.667014599E-1,-2.122476846E-1,3.994623839E-4
5.541389720E-1,8.338111639E-1,-1.738992929E-1,-3.688369319E-2
5.566641800E-1,8.955946565E-1,-1.334204376E-1,-6.884068251E-2
5.591893880E-1,9.605738521E-1,-8.655018359E-2,-9.547150880E-2
5.617145970E-1,1.026618361E0,-3.328853101E-2,-1.189066395E-1
5.642398050E-1,1.092662811E0,2.316881903E-2,-1.412765235E-1
5.667650130E-1,1.155511498E0,7.856093347E-2,-1.551245600E-1
5.692902220E-1,1.218360305E0,1.382139921E-1,-1.700378209E-1
5.718154300E-1,1.281208992E0,1.989322603E-1,-1.838858575E-1
5.743406380E-1,1.348185539E0,2.617810071E-1,-1.902772486E-1
5.768658470E-1,1.412099481E0,3.235645294E-1,-1.966686398E-1
5.793910550E-1,1.469622135E0,3.853480518E-1,-2.019948065E-1
5.819162630E-1,1.530340433E0,4.533897936E-1,-2.041252851E-1
5.844414720E-1,1.595319629E0,5.173037648E-1,-2.041252851E-1
5.869666800E-1,1.654972672E0,5.833482146E-1,-2.041252851E-1
5.894918880E-1,1.715690970E0,6.525883675E-1,-2.030600458E-1
5.920170970E-1,1.773213506E0,7.239589691E-1,-1.966686398E-1
5.945423050E-1,1.828605652E0,7.974600792E-1,-1.913424879E-1
5.970675130E-1,1.881867290E0,8.656349778E-1,-1.817553788E-1
5.995927220E-1,1.933930516E0,9.327446818E-1,-1.700378209E-1
6.021179300E-1,1.980800867E0,9.977238774E-1,-1.625811905E-1
6.046431380E-1,2.025540590E0,1.057243824E0,-1.487331539E-1
6.071683470E-1,2.064954281E0,1.110505462E0,-1.348851323E-1
6.097330340E-1,2.100106955E0,1.158440948E0,-1.242327988E-1
6.122187630E-1,2.132063866E0,1.201050282E0,-1.103847697E-1
6.147439720E-1,2.162955761E0,1.240463853E0,-9.014534205E-2
6.172691800E-1,2.191716909E0,1.277747035E0,-7.203638554E-2
6.197943880E-1,2.216217279E0,1.311834455E0,-4.966649041E-2
6.223195970E-1,2.236456633E0,1.346987128E0,-2.729659714E-2
6.248448050E-1,2.254565716E0,1.381074667E0,3.994623839E-4
6.273700130E-1,2.270544291E0,1.415162086E0,2.916075476E-2
6.298952220E-1,2.287587881E0,1.451380014E0,5.685681105E-2
6.324204300E-1,2.302501202E0,1.490793586E0,8.668334037E-2
6.349456380E-1,2.314218760E0,1.530207276E0,1.111836955E-1
6.375103260E-1,2.322740555E0,1.567490339E0,1.303578913E-1
6.399960550E-1,2.327001572E0,1.604773521E0,1.484668553E-1
6.425212630E-1,2.334458113E0,1.642988801E0,1.623148769E-1
6.450464720E-1,2.334458113E0,1.676010966E0,1.740324497E-1
6.475716280E-1,2.330197334E0,1.700511336E0,1.782933772E-1
6.500970440E-1,2.324871063E0,1.720750809E0,1.772281379E-1
6.526225130E-1,2.316349268E0,1.735664010E0,1.729672104E-1
6.551479300E-1,2.304631710E0,1.745251179E0,1.601844132E-1
6.576733470E-1,2.293979406E0,1.748446822E0,1.463363916E-1
6.601988150E-1,2.280131340E0,1.744185925E0,1.250317246E-1
