"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.023246634E0,-3.175659943E1,-5.404599667E0,-3.084159851E1
1.033246634E0,-3.185419846E1,-5.416800022E0,-3.079279900E1
1.043246634E0,-3.198839951E1,-5.416800022E0,-3.071959877E1
1.053246634E0,-3.211040115E1,-5.319200039E0,-3.059759903E1
1.063246634E0,-3.228120041E1,-5.343599796E0,-3.050000000E1
1.073246634E0,-3.232999802E1,-5.319200039E0,-3.031699944E1
1.083246634E0,-3.241539764E1,-5.343599796E0,-3.032919884E1
1.093246634E0,-3.241539764E1,-5.319200039E0,-3.021939850E1
1.103246634E0,-3.251300049E1,-5.355799675E0,-3.020719910E1
1.113246634E0,-3.251300049E1,-5.294799805E0,-3.012179947E1
1.123246634E0,-3.247639847E1,-5.294799805E0,-3.015839958E1
1.133246634E0,-3.250080109E1,-5.368000031E0,-3.023159981E1
1.143246634E0,-3.243980026E1,-5.416800022E0,-3.028039932E1
1.153246634E0,-3.242760086E1,-5.465600014E0,-3.040239906E1
1.163246634E0,-3.239099884E1,-5.514400005E0,-3.037800026E1
1.173246634E0,-3.240319824E1,-5.538799763E0,-3.052439880E1
1.183246634E0,-3.236660004E1,-5.563199997E0,-3.054879951E1
1.193246634E0,-3.234220123E1,-5.672999859E0,-3.059759903E1
1.203246634E0,-3.235440063E1,-5.672999859E0,-3.052439880E1
1.213246634E0,-3.228120041E1,-5.636399746E0,-3.042679977E1
1.223246634E0,-3.222019958E1,-5.575399876E0,-3.043899918E1
1.233246634E0,-3.213479996E1,-5.538799763E0,-3.042679977E1
1.243246634E0,-3.208599854E1,-5.453399658E0,-3.045119858E1
1.253246634E0,-3.204940033E1,-5.392399788E0,-3.040239906E1
1.263246634E0,-3.202499771E1,-5.258199692E0,-3.036579895E1
1.273246634E0,-3.207379913E1,-5.148399830E0,-3.040239906E1
1.283246634E0,-3.202499771E1,-5.050799847E0,-3.048779869E1
1.293246634E0,-3.211040115E1,-4.843400002E0,-3.056099892E1
1.303246634E0,-3.217139816E1,-4.623799801E0,-3.051219940E1
1.313246634E0,-3.234220123E1,-4.379799843E0,-3.034140015E1
1.323246634E0,-3.246419907E1,-4.160200119E0,-3.028039932E1
1.333246634E0,-3.268379974E1,-3.794199944E0,-3.010960007E1
1.343246634E0,-3.295219803E1,-3.513599873E0,-2.995100021E1
1.353246634E0,-3.318399811E1,-3.110999823E0,-2.965819931E1
1.363246634E0,-3.356219864E1,-2.684000015E0,-2.934099960E1
1.373246634E0,-3.395259857E1,-2.244799852E0,-2.881639862E1
1.383246634E0,-3.440399933E1,-1.756799936E0,-2.834059906E1
1.393246634E0,-3.489199829E1,-1.146799922E0,-2.774279976E1
