"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.539184200E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.043866500E-2,-4.122519493E-2,-7.186198235E-2,-7.699012756E-2
8.541007200E-2,-6.075024605E-2,-1.275923252E-1,-1.178131104E-1
9.049939400E-2,-5.427837372E-3,-1.446638107E-1,-1.275167465E-1
9.550918600E-2,-1.908041239E-1,2.469372749E-2,-8.748722076E-2
1.005587690E-1,-1.807650328E-1,1.958339214E-1,-9.809112549E-2
1.056478320E-1,-8.018541336E-2,2.363677025E-1,-7.575225830E-2
1.107000720E-1,1.423268318E-1,2.479443550E-1,-1.017141342E-1
1.158244990E-1,2.744797468E-1,1.946153641E-1,-2.309989929E-1
1.207965300E-1,3.617539406E-1,2.423591614E-1,-3.055381775E-1
1.259227280E-1,3.529881239E-1,2.923359871E-1,-4.611825943E-1
1.308956440E-1,3.687891960E-1,3.295574188E-1,-5.892839432E-1
1.359451760E-1,2.915443182E-1,3.788657188E-1,-6.934766769E-1
1.409947590E-1,2.010456324E-1,3.963508606E-1,-8.411035538E-1
1.460443420E-1,1.399890184E-1,4.103627205E-1,-8.998184204E-1
1.510938740E-1,2.704358101E-2,4.205312729E-1,-9.259490967E-1
1.561434570E-1,-7.271134853E-2,4.622793198E-1,-9.393310547E-1
1.611930400E-1,-9.436678886E-2,4.257121086E-1,-8.567333221E-1
1.662425720E-1,-7.309305668E-2,3.532056808E-1,-7.004671097E-1
1.712921550E-1,-8.772766590E-2,2.627110481E-1,-4.886856079E-1
1.763416860E-1,-9.326660633E-2,1.390395164E-1,-2.030267715E-1
1.813912690E-1,-9.966707230E-2,2.130842209E-2,1.264295578E-1
1.864408010E-1,-1.446743011E-1,-1.253600121E-1,3.667659760E-1
1.914903840E-1,-2.289017439E-1,-2.460086346E-1,7.194671631E-1
1.965399150E-1,-3.342474699E-1,-4.043354988E-1,1.022111893E0
2.015894990E-1,-5.319461823E-1,-6.069080830E-1,1.235249519E0
2.066390820E-1,-6.531734467E-1,-8.743867874E-1,1.443676949E0
2.116886650E-1,-7.113958597E-1,-1.092473030E0,1.571574211E0
2.167381970E-1,-5.814485550E-1,-1.264240742E0,1.768447876E0
2.217877280E-1,-1.595995426E-1,-1.329946995E0,2.121468544E0
2.268373110E-1,6.287107468E-1,-1.088826180E0,2.679187775E0
2.318868940E-1,9.871172905E-1,-8.152093887E-1,3.002798080E0
2.369364260E-1,4.687176943E-1,-8.462879658E-1,2.771702766E0
2.419860090E-1,-1.968748569E-1,-1.096574545E0,2.312479973E0
2.470355920E-1,-4.474750757E-1,-1.136589527E0,1.857220650E0
2.520851240E-1,-4.975696802E-1,-1.095676899E0,1.558466911E0
2.571347070E-1,-6.260930300E-1,-9.928126335E-1,1.313482285E0
2.621842380E-1,-8.509860635E-1,-8.702783585E-1,1.045809746E0
2.672338220E-1,-9.149292707E-1,-7.053997517E-1,8.174943924E-1
2.722833530E-1,-9.132361412E-1,-6.349287033E-1,6.355886459E-1
2.773329360E-1,-8.642797470E-1,-5.716438293E-1,5.094699860E-1
2.823825190E-1,-8.160424232E-1,-5.190322399E-1,3.699436188E-1
2.874320510E-1,-7.663166523E-1,-4.604454041E-1,1.610603333E-1
2.924816340E-1,-7.800247669E-1,-4.384126663E-1,-8.871650696E-2
2.975311650E-1,-8.154262304E-1,-4.108347893E-1,-3.178215027E-1
3.025807490E-1,-8.819977045E-1,-4.091293812E-1,-6.288805008E-1
3.076303320E-1,-9.412636757E-1,-3.704516888E-1,-9.265947342E-1
3.126798630E-1,-9.978030324E-1,-3.959000111E-1,-1.216246605E0
3.177294470E-1,-1.066531539E0,-3.898532391E-1,-1.452555656E0
3.227789780E-1,-1.111509562E0,-3.831303120E-1,-1.679075241E0
3.278285610E-1,-1.120895743E0,-3.718564510E-1,-1.845744133E0
3.328781440E-1,-1.162083864E0,-3.776781559E-1,-2.083331108E0
3.379276760E-1,-1.168155193E0,-3.572018147E-1,-2.284042358E0
3.429772590E-1,-1.185419798E0,-3.465690613E-1,-2.526567459E0
3.480267900E-1,-1.180763483E0,-3.471629620E-1,-2.667116165E0
3.530763740E-1,-1.148751974E0,-3.650240898E-1,-2.749065399E0
3.581259050E-1,-1.113583922E0,-3.419306278E-1,-2.774766922E0
3.631754880E-1,-1.064810991E0,-3.482103348E-1,-2.732191563E0
3.682250720E-1,-1.034380198E0,-3.386015892E-1,-2.608360291E0
3.732746030E-1,-9.300010204E-1,-3.607480526E-1,-2.468063354E0
3.783241860E-1,-8.736420870E-1,-2.826569080E-1,-2.305463791E0
3.833737170E-1,-8.645290136E-1,-3.183915615E-1,-2.136002541E0
3.884233010E-1,-8.192303181E-1,-3.615593910E-1,-1.925401688E0
3.934728840E-1,-7.731240988E-1,-4.229514599E-1,-1.753110886E0
3.985224150E-1,-7.160297632E-1,-4.658648968E-1,-1.610194206E0
4.035719990E-1,-6.922393441E-1,-5.429363251E-1,-1.466510773E0
4.086215300E-1,-6.482880116E-1,-5.474884510E-1,-1.319706917E0
