"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.970720000E-1,4.814887390E0,-6.007607117E0,-5.126688995E0
9.070160000E-1,3.659889221E0,-6.845265198E0,-5.773344269E0
9.169600000E-1,2.620600433E0,-7.347620544E0,-7.066804504E0
9.269040000E-1,7.717950439E-1,-7.656727753E0,-9.154363403E0
9.368480000E-1,-4.601431274E-1,-8.060138855E0,-1.113998428E1
9.467920000E-1,-1.311273193E0,-8.680897980E0,-1.257445129E1
9.567360000E-1,-2.843636627E0,-8.358468475E0,-1.305869431E1
9.666800000E-1,-1.644330597E0,-7.805668030E0,-1.147408951E1
9.766240000E-1,1.084644470E0,-6.993307343E0,-9.216933289E0
9.865680000E-1,2.086810455E0,-6.232289886E0,-7.907306671E0
9.965120000E-1,2.532882843E0,-5.560486908E0,-6.881938934E0
1.006457000E0,3.170556793E0,-4.890480194E0,-5.888754272E0
1.016401000E0,2.918780365E0,-4.725373535E0,-5.854026489E0
1.026345000E0,2.932102661E0,-4.791685638E0,-6.220763855E0
1.036289000E0,3.347937927E0,-5.209317169E0,-7.284002838E0
1.046233000E0,3.433709564E0,-5.604196014E0,-8.140072632E0
1.056177000E0,3.469335480E0,-5.596561890E0,-8.520281982E0
1.066121000E0,3.288810883E0,-5.351820831E0,-8.803942108E0
1.076065000E0,2.972967682E0,-5.143005066E0,-8.812174988E0
1.086009000E0,2.797382812E0,-4.966971130E0,-8.459957428E0
1.095953000E0,2.805466003E0,-4.856500854E0,-8.033643951E0
1.105898000E0,2.888094177E0,-4.772375793E0,-7.655530243E0
1.115842000E0,3.029999084E0,-4.943020935E0,-7.422913971E0
1.125786000E0,3.263064423E0,-5.047204285E0,-7.605085144E0
1.135730000E0,3.349285126E0,-4.655768280E0,-7.443421326E0
1.145674000E0,3.112926636E0,-4.430486755E0,-7.663463745E0
1.155618000E0,2.763702850E0,-4.605921936E0,-7.775879974E0
1.165562000E0,2.601889343E0,-4.873565369E0,-8.040080566E0
1.175506000E0,2.961890717E0,-4.873265991E0,-8.678502960E0
1.185450000E0,3.245101776E0,-4.849315796E0,-8.889264679E0
1.195394000E0,3.297343140E0,-4.817581787E0,-8.352780304E0
1.205338000E0,3.026855621E0,-4.494852905E0,-7.754324799E0
1.215283000E0,3.312312012E0,-4.328548737E0,-7.265591125E0
1.225227000E0,3.993395691E0,-4.076921997E0,-7.271129608E0
1.235171000E0,4.171225891E0,-4.090543671E0,-7.506290588E0
1.245115000E0,3.954027557E0,-4.385580139E0,-7.808212738E0
1.255059000E0,3.692221985E0,-4.195774841E0,-8.149203644E0
1.265003000E0,3.679648132E0,-3.633843384E0,-8.179291077E0
1.274947000E0,3.999981995E0,-4.080664215E0,-7.930358734E0
1.284891000E0,4.130959625E0,-4.755460968E0,-7.956254883E0
1.294835000E0,3.767665100E0,-5.456602936E0,-8.073012085E0
1.304779000E0,3.427123260E0,-5.674400024E0,-8.212372284E0
1.314723000E0,3.400029602E0,-5.216352539E0,-7.973169708E0
1.324668000E0,3.506458282E0,-4.499792633E0,-7.751331024E0
1.334612000E0,3.647914124E0,-4.024381256E0,-7.612569580E0
1.344556000E0,3.597169647E0,-3.720213776E0,-7.595056000E0
1.354500000E0,3.376977539E0,-3.561244354E0,-7.786807251E0
1.364444000E0,3.093018036E0,-3.593726807E0,-8.112529907E0
1.374388000E0,2.907703400E0,-3.786525879E0,-8.322992249E0
1.384332000E0,2.640808411E0,-3.709136810E0,-8.408314819E0
1.394276000E0,2.561772766E0,-3.111579437E0,-8.306227112E0
1.404220000E0,2.818039856E0,-2.403402100E0,-8.157286835E0
1.414164000E0,3.346890106E0,-1.892963562E0,-8.002209320E0
1.424109000E0,3.472628632E0,-1.566193085E0,-7.692503357E0
1.434053000E0,2.933449860E0,-8.779243469E-1,-7.885901184E0
1.443997000E0,2.524200897E0,-1.146615601E0,-8.658744049E0
1.453941000E0,2.284549255E0,-2.834954681E0,-9.236841888E0
1.463885000E0,2.167342987E0,-4.661007385E0,-9.601483612E0
1.473829000E0,2.724035339E0,-6.232738953E0,-9.259893951E0
1.483773000E0,3.591032410E0,-8.230185242E0,-8.182284851E0
1.493717000E0,4.650828552E0,-8.095016327E0,-7.109615479E0
1.503661000E0,5.514831848E0,-6.964118042E0,-6.627617798E0
1.513605000E0,5.491929474E0,-5.543272705E0,-6.705006866E0
1.523549000E0,5.891897736E0,-4.825964355E0,-6.961273956E0
1.533494000E0,4.975952454E0,-4.306095428E0,-7.322472839E0
1.543438000E0,4.226311340E0,-3.775748291E0,-7.955057373E0
1.553382000E0,3.578907623E0,-3.406166840E0,-8.512947235E0
1.563326000E0,3.200644226E0,-3.616180115E0,-8.438701630E0
1.573270000E0,2.730172577E0,-3.869752808E0,-8.557404785E0
1.583214000E0,2.697390747E0,-4.368515625E0,-8.959319000E0
1.593158000E0,2.682571564E0,-4.922663269E0,-8.721014557E0
1.603102000E0,2.240989838E0,-5.326822815E0,-8.085885315E0
1.613046000E0,1.173260193E0,-4.481380920E0,-8.152197418E0
1.622990000E0,1.133592682E0,-3.330274658E0,-7.688611450E0
1.632935000E0,1.978286133E0,-3.243006134E0,-7.601492615E0
1.642878875E0,2.364632721E0,-3.246299286E0,-8.322243805E0
1.652822875E0,4.284989319E0,-5.480852509E0,-8.856482849E0
1.662766875E0,3.222798157E0,-5.813460846E0,-7.425159302E0
1.672710875E0,1.080303497E0,-2.434387665E0,-7.317383423E0
1.682654875E0,1.081650696E0,-2.107317810E0,-5.712570648E0
1.692598875E0,4.014052734E0,-4.368665314E0,-6.462062073E0
1.702542875E0,3.849395142E0,-4.651277618E0,-7.658224640E0
1.712486875E0,4.893473969E0,-5.281616821E0,-6.113287354E0
