"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.578540000E-1,6.887621880E-1,4.679486752E-1,2.560700178E0
7.677980000E-1,4.178598225E-1,4.342844486E-1,2.589537144E0
7.777420000E-1,-3.323603421E-2,-3.076076210E-1,2.454503775E0
7.876870000E-1,-6.050633192E-1,-9.986361861E-1,2.128779173E0
7.976310000E-1,-1.110772967E0,-1.317907453E0,1.743696928E0
8.075750000E-1,-1.422844768E0,-1.350686073E0,1.493122220E0
8.175190000E-1,-1.573879361E0,-1.097454429E0,1.371810913E0
8.274630000E-1,-1.615190268E0,-5.590938330E-1,1.357113481E0
8.374070000E-1,-1.621056676E0,2.164581865E-1,1.487240195E0
8.473510000E-1,-1.596862435E0,6.283298731E-1,1.646599770E0
8.572950000E-1,-1.481225610E0,5.620521307E-1,1.810553193E0
8.672390000E-1,-1.272019863E0,1.045412868E-1,2.064338923E0
8.771830000E-1,-9.431397319E-1,-1.496149540E0,2.607990742E0
8.871270000E-1,-4.778735042E-1,-3.182829857E0,2.823220968E0
8.970720000E-1,9.918752313E-2,-4.416563511E0,2.390901804E0
9.070160000E-1,6.624082923E-1,-4.884437561E0,1.524681687E0
9.169600000E-1,1.078526855E0,-4.584811687E0,5.463453531E-1
9.269040000E-1,1.189062953E0,-3.487573147E0,-3.661167026E-1
9.368480000E-1,1.091019273E0,-1.995180011E0,-1.010382891E0
9.467920000E-1,8.119304776E-1,-5.968790650E-1,-1.165015578E0
9.567360000E-1,3.502336740E-1,4.035901427E-1,-9.643859267E-1
9.666800000E-1,-1.005167067E-1,1.081431031E0,-9.104779363E-1
9.766240000E-1,-4.495217502E-1,1.370875478E0,-9.093036652E-1
9.865680000E-1,-6.231425405E-1,1.024088979E0,-7.698110342E-1
9.965120000E-1,-6.656097174E-1,5.997370481E-1,-6.575900912E-1
1.006457000E0,-6.389890313E-1,2.344232202E-1,-5.946971774E-1
1.016401000E0,-5.498379469E-1,-6.319216639E-2,-5.321886539E-1
