"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.269040000E-1,-3.451019287E0,3.079450989E1,1.304558563E1
9.368480000E-1,-2.563392639E0,3.090806961E1,1.279284668E1
9.467920000E-1,-1.995735168E0,3.091459465E1,1.253622818E1
9.567360000E-1,-1.629829407E0,3.102620125E1,1.238399506E1
9.666800000E-1,-1.728446960E0,3.114352417E1,1.226438904E1
9.766240000E-1,-1.757621765E0,3.113710594E1,1.221658325E1
9.865680000E-1,-2.033714294E0,3.112711334E1,1.210895538E1
9.965120000E-1,-2.425048828E0,3.119625092E1,1.213186646E1
1.006457000E0,-2.982505798E0,3.108758736E1,1.215249252E1
1.016401000E0,-3.418899536E0,3.095955276E1,1.234964371E1
1.026345000E0,-3.578109741E0,3.080585289E1,1.257376099E1
1.036289000E0,-3.578109741E0,3.080585289E1,1.257376099E1
1.046233000E0,-3.679870605E0,3.059044266E1,1.275835419E1
1.056177000E0,-3.787307739E0,3.045560455E1,1.293745422E1
1.066121000E0,-3.966682434E0,3.042045021E1,1.300509644E1
1.076065000E0,-4.094619751E0,3.037700844E1,1.307846832E1
1.086009000E0,-4.125152588E0,3.024168777E1,1.328337097E1
1.095953000E0,-4.243537903E0,3.014485931E1,1.331407166E1
1.105898000E0,-4.503112793E0,3.011293602E1,1.314610291E1
1.115842000E0,-4.558464050E0,3.016841888E1,1.306550598E1
1.125786000E0,-4.631805420E0,3.036026192E1,1.319415665E1
1.135730000E0,-4.708129883E0,3.021453094E1,1.333270645E1
1.145674000E0,-4.841598511E0,3.015805817E1,1.347485733E1
1.155618000E0,-4.851608276E0,3.001563263E1,1.355060577E1
1.165562000E0,-4.991714478E0,2.995676804E1,1.369834137E1
1.175506000E0,-5.291336060E0,2.985667038E1,1.376231003E1
1.185450000E0,-5.468894958E0,2.974280930E1,1.383453751E1
1.195394000E0,-5.710456848E0,2.953256989E1,1.387687302E1
1.205338000E0,-5.723968506E0,2.952738953E1,1.388325500E1
1.215283000E0,-5.893035889E0,2.952067566E1,1.404205704E1
1.225227000E0,-5.973716736E0,2.955716705E1,1.417574692E1
1.235171000E0,-6.004905701E0,2.971547699E1,1.417693329E1
1.245115000E0,-6.148162842E0,2.972944260E1,1.407731247E1
1.255059000E0,-6.283607483E0,2.948966599E1,1.416833878E1
1.265003000E0,-6.446006775E0,2.937657928E1,1.427867889E1
1.274947000E0,-6.641311646E0,2.927660370E1,1.433703613E1
1.284891000E0,-6.539955139E0,2.915321541E1,1.431456375E1
1.294835000E0,-6.462181091E0,2.921493340E1,1.452272415E1
1.304779000E0,-6.419593811E0,2.924938583E1,1.453511810E1
1.314723000E0,-6.427124023E0,2.930513763E1,1.462962723E1
1.324668000E0,-6.491035461E0,2.922217178E1,1.456297684E1
1.334612000E0,-6.572952271E0,2.913405609E1,1.448021317E1
1.344556000E0,-6.694862366E0,2.920360565E1,1.457164764E1
1.354500000E0,-6.474548340E0,2.926112747E1,1.471504974E1
1.364444000E0,-6.282928467E0,2.931921959E1,1.476231766E1
1.374388000E0,-6.201660156E0,2.934577370E1,1.475691605E1
1.384332000E0,-6.048324585E0,2.934132385E1,1.468397903E1
1.394276000E0,-6.001625061E0,2.937645149E1,1.449705505E1
1.404220000E0,-6.115364075E0,2.928739738E1,1.446773911E1
1.414164000E0,-6.248336792E0,2.920095444E1,1.453303528E1
1.424109000E0,-6.116653442E0,2.914063644E1,1.467567062E1
1.434053000E0,-6.136901855E0,2.903474426E1,1.485508347E1
1.443997000E0,-6.065185547E0,2.906459808E1,1.486369324E1
1.453941000E0,-5.984100342E0,2.897139168E1,1.500999451E1
1.463885000E0,-5.625717163E0,2.898875809E1,1.511949921E1
1.473829000E0,-5.282951355E0,2.889812088E1,1.519468689E1
1.483773000E0,-4.987960815E0,2.872430229E1,1.530836105E1
1.493717000E0,-4.682769775E0,2.847541809E1,1.539063263E1
1.503661000E0,-4.341468811E0,2.827472687E1,1.558610535E1
1.513605000E0,-4.149383545E0,2.809436798E1,1.562934875E1
1.523549000E0,-4.032440186E0,2.784039116E1,1.574493408E1
1.533494000E0,-3.995262146E0,2.739431000E1,1.601310349E1
1.543438000E0,-3.944335938E0,2.722247505E1,1.620128250E1
1.553382000E0,-3.979110718E0,2.705205345E1,1.642524719E1
1.563326000E0,-3.943435669E0,2.688743591E1,1.670054245E1
1.573270000E0,-4.084548950E0,2.678422546E1,1.692385864E1
1.583214000E0,-4.156791687E0,2.669497681E1,1.709159851E1
1.593158000E0,-4.529701233E0,2.666982651E1,1.716189194E1
1.603102000E0,-4.905334473E0,2.655087852E1,1.729859924E1
1.613046000E0,-5.018722534E0,2.641457748E1,1.744736862E1
1.622990000E0,-5.405616760E0,2.627245331E1,1.751052475E1
1.632935000E0,-6.031784058E0,2.614813614E1,1.746386719E1
1.642878875E0,-6.820877075E0,2.601832008E1,1.739409637E1
1.652822875E0,-8.120239258E0,2.621628571E1,1.735703659E1
1.662766875E0,-9.768386841E0,2.661259651E1,1.727982330E1
1.672710875E0,-1.109878540E1,2.705202866E1,1.718903351E1
1.682654875E0,-1.221840668E1,2.774644089E1,1.688468552E1
1.692598875E0,-1.321247864E1,2.891115761E1,1.629619217E1
1.702542875E0,-1.364564514E1,3.035023880E1,1.557946014E1
1.712486875E0,-1.363994598E1,3.178129005E1,1.482440186E1
1.722430875E0,-1.337318420E1,3.310528564E1,1.403167725E1
1.732374875E0,-1.272308350E1,3.402304840E1,1.325225830E1
1.742319875E0,-1.195941925E1,3.474026489E1,1.291994858E1
1.752263875E0,-1.098145294E1,3.503824997E1,1.288164139E1
1.762207875E0,-1.020434570E1,3.512945557E1,1.291619492E1
1.772151875E0,-9.483528137E0,3.527346802E1,1.282447433E1
1.782095875E0,-8.676589966E0,3.549712753E1,1.290413666E1
1.792039875E0,-8.157821655E0,3.559288406E1,1.328636932E1
1.801983875E0,-7.882331848E0,3.564308548E1,1.360262680E1
1.811927875E0,-7.763191223E0,3.560733032E1,1.381874847E1
1.821871875E0,-7.571685791E0,3.549766922E1,1.403836823E1
1.831815875E0,-7.354148865E0,3.549851990E1,1.421934509E1
1.841760875E0,-7.197303772E0,3.537947083E1,1.443394852E1
1.851704875E0,-6.949180603E0,3.542613602E1,1.477145004E1
1.861648875E0,-6.781776428E0,3.525596619E1,1.516289520E1
1.871592875E0,-6.708358765E0,3.500275803E1,1.533746338E1
1.881536875E0,-6.797927856E0,3.482756042E1,1.548292542E1
1.891480875E0,-6.806282043E0,3.478602600E1,1.545540237E1
1.901424875E0,-6.811950684E0,3.485647583E1,1.543137741E1
1.911368875E0,-6.869422913E0,3.484599686E1,1.566163635E1
1.921312875E0,-6.830429077E0,3.481687927E1,1.595500946E1
1.931256875E0,-6.909690857E0,3.480129242E1,1.607619858E1
1.941201875E0,-7.059761047E0,3.484442902E1,1.598828888E1
1.951145875E0,-7.194145203E0,3.490369797E1,1.595561600E1
1.961089875E0,-7.194145203E0,3.490369797E1,1.595561600E1
1.971033875E0,-7.385948181E0,3.489037323E1,1.588426208E1
1.980977875E0,-7.499214172E0,3.507450867E1,1.563748932E1
1.990921875E0,-7.598991394E0,3.521054459E1,1.546179581E1
2.000865875E0,-7.655670166E0,3.542989731E1,1.542871094E1
2.010809875E0,-7.936759949E0,3.557058716E1,1.533343124E1
2.020753875E0,-8.340438843E0,3.566514206E1,1.527169800E1
2.030698875E0,-8.861106873E0,3.591432190E1,1.502684784E1
2.040642875E0,-9.387252808E0,3.611823273E1,1.484114456E1
2.050586875E0,-9.710998535E0,3.645449448E1,1.461862564E1
2.060530875E0,-1.010250854E1,3.673203659E1,1.468204117E1
2.070474875E0,-1.050784302E1,3.691527557E1,1.479954529E1
2.080418875E0,-1.059793091E1,3.693475342E1,1.481908035E1
2.090362875E0,-1.044926453E1,3.695531845E1,1.498863983E1
2.100306875E0,-1.031969452E1,3.670753860E1,1.535617065E1
2.110250875E0,-1.011645508E1,3.660511017E1,1.583813858E1
2.120194875E0,-9.923439026E0,3.661482239E1,1.614425659E1
2.130139875E0,-9.787986755E0,3.631724167E1,1.632548904E1
2.140083875E0,-9.886413574E0,3.636486053E1,1.619602966E1
2.150027875E0,-9.895050049E0,3.643358231E1,1.623614120E1
2.159971875E0,-9.763084412E0,3.637962341E1,1.623104095E1
2.169915875E0,-9.712059021E0,3.635794449E1,1.622692490E1
2.179859875E0,-9.520599365E0,3.641621017E1,1.630638123E1
2.189803875E0,-9.647468567E0,3.640609360E1,1.657683182E1
2.199747875E0,-9.671241760E0,3.633728027E1,1.674026871E1
2.209692875E0,-9.639350891E0,3.620099640E1,1.664782333E1
2.219636875E0,-9.675277710E0,3.619045639E1,1.673593521E1
2.229580875E0,-9.669364929E0,3.621767426E1,1.678348923E1
2.239524875E0,-9.681159973E0,3.621339035E1,1.667132568E1
2.249468875E0,-9.698661804E0,3.626808167E1,1.670007324E1
2.259412875E0,-9.755279541E0,3.627850723E1,1.673892975E1
2.269356875E0,-9.771881104E0,3.617348099E1,1.680145645E1
2.279300875E0,-9.746940613E0,3.612059021E1,1.669846725E1
2.289244875E0,-9.735671997E0,3.606931686E1,1.676983261E1
2.299189875E0,-9.781158447E0,3.587813568E1,1.681602478E1
2.309133875E0,-9.675765991E0,3.574953079E1,1.684900665E1
2.319077875E0,-9.699127197E0,3.578530121E1,1.679008102E1
2.329021875E0,-9.611503601E0,3.589222717E1,1.682948685E1
