time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686428439377923000,-20.113076904296875,43.67230677604675,-1,-1,52.35768733631201,1.0823066234588623,-1,35,18.302640914916992,4.8355202798859835,-1
1686428448377923000,-11.113076904296875,43.67230677604675,-1,-1,52.35768733631201,1.0823066234588623,-1,35,18.302640914916992,4.8355202798859835,-1
1686428459653453800,0.162453857421875,43.671284437179565,-1,-1,52.35775137223203,1.0812842845916748,-1,112.61384822943491,21.21365737915039,4.835438148590059,-1
1686428460118127900,0.6271279296875,43.68373370170593,-1,-1,52.35767036593484,1.093733549118042,-1,35,17.69013023376465,4.835524229099033,-1
1686428466610479900,7.11947998046875,43.76660442352295,-1,-1,52.35769086073098,1.1766042709350586,-1,35,20.06476593017578,4.835521107843588,-1
1686428473027595000,13.536594970703124,43.722312450408936,-1,-1,52.35769173876669,1.132312297821045,-1,35,20.66943359375,4.835525960926189,-1
1686428479498297000,20.007297119140624,43.69134068489075,-1,-1,52.35767442881651,1.1013405323028564,-1,35,20.852907180786133,4.835579799436318,-1
1686428485915938800,26.424938720703125,43.83499455451965,-1,-1,52.35762533819973,1.2449944019317627,-1,35,20.87986946105957,4.835805182072161,-1
1686428492396553000,32.90555297851562,43.835002183914185,-1,-1,52.35762286634945,1.245002031326294,-1,35,20.87986946105957,4.8356787112219175,-1
1686428498806386000,39.315385986328124,44.03878664970398,-1,-1,52.357622994690054,1.4487864971160889,-1,40,20.883848190307617,4.835612591378398,-1
1686428500310061000,40.81906103515625,44.03877902030945,-1,-1,52.357648860751695,1.4487788677215576,-1,35,20.883848190307617,4.835555944117344,-1
1686428506798194000,47.30719384765625,44.038782835006714,-1,-1,52.357638030955,1.4487826824188232,-1,35,20.883848190307617,4.835553234260061,-1
1686428513212929000,53.72192895507813,43.8498969078064,-1,-1,52.35756597107316,1.2598967552185059,-1,35,20.886899948120117,4.835517445435235,-1
1686428519693847000,60.202846923828126,43.814780950546265,-1,-1,52.35754323987398,1.224780797958374,-1,35,20.91454315185547,4.835499205048896,-1
1686428526107637000,66.61663696289062,43.736366748809814,-1,-1,52.35752745716299,1.1463665962219238,-1,35,20.894662857055664,4.835519115201592,-1
1686428532590690000,73.09968994140625,43.76898741722107,-1,-1,52.35753873171327,1.1789872646331787,-1,35,20.91745376586914,4.835489580473951,-1
1686428539011090000,79.52008984375,43.71725034713745,-1,-1,52.35758470086434,1.1272501945495605,-1,35,20.89811897277832,4.835606849382754,-1
1686428545483561000,85.99256103515626,43.73155856132507,-1,-1,52.35754988705424,1.1415584087371826,-1,35,20.91408920288086,4.835632584667493,-1
1686428551898645000,92.40764501953124,43.867825508117676,-1,-1,52.35754135214644,1.2778253555297852,-1,35,20.895069122314453,4.835603961592032,-1
1686428558385558000,98.89455810546875,43.812031507492065,-1,-1,52.35768190409204,1.2220313549041748,-1,35,20.919118881225586,4.835544111103087,-1
1686428564953590000,105.46259008789062,43.82277989387512,-1,-1,52.35763173036436,1.2327797412872314,-1,35,20.958044052124023,4.835553690516593,-1
1686428571376201200,111.885201171875,43.98182964324951,-1,-1,52.35759477705566,1.391829490661621,-1,35,20.909774780273438,4.835432664544035,-1
1686428577883919000,118.39291918945312,43.903082609176636,-1,-1,52.357575636456524,1.3130824565887451,-1,35,20.931381225585938,4.835438906875197,-1
1686428584483526000,124.99252587890625,43.993658781051636,-1,-1,52.357578438642946,1.4036586284637451,-1,35,20.973859786987305,4.835460837500769,-1
1686428590903244000,131.412244140625,44.12812948226929,-1,-1,52.35751909523441,1.5381293296813965,-1,35,20.912796020507812,4.8354190351064394,-1
