time,seconds_elapsed,dBFS
1686343465011000000,0.077,-46.688575744628906
1686343465111000000,0.177,-47.41804122924805
1686343465212000000,0.278,-42.367069244384766
1686343465311000000,0.377,-45.10724639892578
1686343465411000000,0.477,-44.82636260986328
1686343465511000000,0.577,-44.70189666748047
1686343465611000000,0.677,-44.88890075683594
1686343465713000000,0.779,-47.17630386352539
1686343465812000000,0.878,-42.84105682373047
1686343465911000000,0.977,-44.40420150756836
1686343466011000000,1.077,-46.943599700927734
1686343466111000000,1.177,-43.770023345947266
1686343466211000000,1.277,-45.70388412475586
1686343466311000000,1.377,-47.59820556640625
1686343466411000000,1.477,-47.4067497253418
1686343466511000000,1.577,-48.97770690917969
1686343466611000000,1.677,-43.596473693847656
1686343466711000000,1.777,-44.20407485961914
1686343466811000000,1.877,-43.62248992919922
1686343466911000000,1.977,-45.40952682495117
1686343467011000000,2.077,-47.020294189453125
1686343467127000000,2.193,-44.11930847167969
1686343467227000000,2.293,-45.97229766845703
1686343467327000000,2.393,-42.35486602783203
1686343467427000000,2.493,-44.173439025878906
1686343467527000000,2.593,-43.157562255859375
1686343467627000000,2.693,-45.17232894897461
1686343467727000000,2.793,-46.658538818359375
1686343467827000000,2.893,-42.19733428955078
1686343467927000000,2.993,-44.66221237182617
1686343468027000000,3.093,-45.406097412109375
1686343468127000000,3.193,-47.19941711425781
1686343468227000000,3.293,-45.98661804199219
1686343468327000000,3.393,-47.16714859008789
1686343468427000000,3.493,-14.571761131286621
1686343468527000000,3.593,-14.99190902709961
1686343468627000000,3.693,-9.161270141601562
1686343468727000000,3.793,-12.918695449829102
1686343468827000000,3.893,-17.621435165405273
1686343468930000000,3.995999755859375,-21.96483039855957
1686343469043000000,4.109,-26.331575393676758
1686343469143000000,4.209,-24.6761417388916
1686343469244000000,4.31,-20.895849227905273
1686343469344000000,4.41,-19.859018325805664
1686343469443000000,4.509,-24.77558708190918
1686343469543000000,4.609,-29.411865234375
1686343469643000000,4.709,-32.52256774902344
1686343469743000000,4.809,-36.34230041503906
1686343469843000000,4.909,-40.31349563598633
1686343469943000000,5.009,-42.13477325439453
1686343470046000000,5.112000244140625,-43.27815628051758
1686343470143000000,5.209,-42.63809585571289
1686343470243000000,5.309,-43.062522888183594
1686343470343000000,5.409,-44.44587326049805
1686343470445000000,5.511,-44.609519958496094
1686343470543000000,5.609,-42.80022430419922
1686343470643000000,5.709,-45.124977111816406
1686343470743000000,5.809,-45.47074890136719
1686343470843000000,5.909,-45.4942512512207
