"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.468565620E-1,6.202570200E-1,9.893578291E-1,-3.674812317E-1
4.519067190E-1,7.261319160E-1,1.163675189E0,-5.786781311E-1
4.569569790E-1,8.806045055E-1,1.316021204E0,-8.333129883E-1
4.620071870E-1,1.259712577E0,1.419391394E0,-1.436229706E0
4.670573960E-1,1.560785294E0,1.319401741E0,-1.972519875E0
4.721467710E-1,1.482534647E0,1.157167554E0,-2.269653320E0
4.771578120E-1,1.117285728E0,9.253469110E-1,-2.334005356E0
4.822080730E-1,6.234014034E-1,6.500077248E-1,-2.635180950E0
4.872582810E-1,1.937460899E-2,3.774973154E-1,-3.068343639E0
4.923084890E-1,-6.643973589E-1,1.814986467E-1,-3.649528980E0
4.973586980E-1,-1.452318072E0,7.505917549E-2,-4.293515682E0
5.024089060E-1,-2.073369503E0,-7.997250557E-2,-4.810571671E0
5.074591140E-1,-2.481368065E0,-3.366558552E-1,-5.017362595E0
5.124914580E-1,-3.194926739E0,-7.128044367E-1,-5.575570107E0
5.176323440E-1,-3.720682621E0,-1.114358068E0,-6.407535076E0
5.226097920E-1,-2.925678253E0,-1.351532817E0,-7.423108101E0
5.276599480E-1,-2.096986294E0,-1.349317312E0,-8.269268990E0
5.327102080E-1,-1.775102258E0,-1.031536818E0,-8.739449501E0
5.377604170E-1,-1.755086660E0,-6.470391750E-1,-8.736997604E0
5.428106250E-1,-1.848102331E0,-3.026626110E-1,-8.499050140E0
5.478608330E-1,-1.868277311E0,-1.856414080E-1,-7.938710690E0
5.529110420E-1,-1.800609589E0,-2.415965796E-1,-7.042733669E0
5.579612500E-1,-1.229036808E0,-4.496879578E-1,-5.272224903E0
5.630114580E-1,-9.208209515E-1,-4.785856009E-1,-2.573412895E0
5.680617190E-1,-1.218548059E0,-3.588503599E-1,-2.527361870E0
5.731119270E-1,-1.387087107E0,-4.516990185E-1,-2.292028427E0
5.781621350E-1,-1.072029591E0,-8.135039806E-1,-8.985233307E-1
5.832123440E-1,-6.743347645E-1,-1.236384034E0,-2.518458366E-1
5.882625520E-1,-4.782793522E-1,-1.569914103E0,-1.002917290E-1
5.933127600E-1,-2.502994537E-1,-1.970285892E0,-3.377723694E-2
5.983629690E-1,-1.132907867E-1,-2.344991684E0,-1.934046745E-1
6.034131770E-1,-2.170343399E-1,-2.633891106E0,-4.514493942E-1
6.084617710E-1,-4.981045723E-1,-2.919075966E0,-5.906114578E-1
6.135057810E-1,-7.540342808E-1,-3.263685703E0,-5.123362541E-1
6.185498440E-1,-1.003619194E0,-3.513808250E0,-5.402803421E-1
6.235938540E-1,-1.404611111E0,-3.816001892E0,-6.953248978E-1
6.286378640E-1,-1.883555651E0,-4.176228523E0,-8.608074188E-1
6.336818750E-1,-2.278570890E0,-4.587915897E0,-1.147346497E0
6.387630730E-1,-2.335654497E0,-5.069765568E0,-1.497134209E0
6.438070830E-1,-2.230185032E0,-5.518845558E0,-1.816269875E0
6.488511460E-1,-2.134278774E0,-5.919810772E0,-1.922389984E0
6.538951560E-1,-2.245221376E0,-6.217356205E0,-1.832395077E0
6.589391670E-1,-2.445126057E0,-6.422380447E0,-1.713592052E0
6.639831770E-1,-2.692762613E0,-6.575375557E0,-1.558500290E0
6.690643750E-1,-2.872873306E0,-6.718670845E0,-1.443506241E0
6.741083850E-1,-2.911127090E0,-6.819774628E0,-1.252328873E0
6.791524480E-1,-2.855595350E0,-6.917910099E0,-8.884549141E-1
6.841964580E-1,-2.724006653E0,-7.045718193E0,-4.754762650E-1
6.892404690E-1,-2.545394897E0,-7.129840374E0,-2.301502228E-2
6.942844790E-1,-2.352637768E0,-7.167316437E0,3.925466537E-1
6.993656250E-1,-2.034087181E0,-7.259737968E0,7.564554214E-1
7.044096350E-1,-1.497943401E0,-7.473789692E0,1.207332611E0
7.094536980E-1,-8.594202995E-1,-7.732054710E0,1.699776649E0
7.144977080E-1,-2.504281998E-1,-7.812308788E0,2.278664112E0
7.195417190E-1,1.865124702E-1,-7.776148319E0,2.921379566E0
7.245857290E-1,6.436767578E-1,-7.664614677E0,3.607698917E0
7.296669270E-1,1.259669304E0,-7.545101166E0,4.035624504E0
7.347109370E-1,1.959130764E0,-7.414314270E0,4.379695415E0
7.397550000E-1,2.597930908E0,-7.334244728E0,4.640711784E0
7.447990100E-1,3.059421062E0,-7.249979019E0,4.902065754E0
7.498430210E-1,3.502367973E0,-7.088623047E0,5.155355930E0
7.548870310E-1,4.047422886E0,-6.846633911E0,5.325904369E0
7.599681770E-1,4.493573666E0,-6.504742146E0,5.399617672E0
7.650121870E-1,4.719363213E0,-6.284875870E0,5.344594955E0
7.700562500E-1,4.960526466E0,-6.189597130E0,5.324272633E0
7.751002600E-1,5.174401760E0,-5.984735489E0,5.256430149E0
7.801442710E-1,5.290505409E0,-5.616720200E0,5.202169895E0
7.851882810E-1,5.455742836E0,-5.180910110E0,5.121845722E0
7.902694790E-1,5.983715534E0,-4.932769775E0,5.030385017E0
7.953134890E-1,6.853402615E0,-4.901773930E0,4.947121620E0
8.003575520E-1,7.766454697E0,-4.862942219E0,4.920199871E0
8.054015620E-1,8.720836639E0,-4.764564514E0,4.954108715E0
8.104455730E-1,9.975599289E0,-4.563394547E0,5.130156040E0
8.154895830E-1,1.142183590E1,-4.179854870E0,5.615387440E0
8.205707810E-1,1.279831123E1,-3.670422077E0,6.495299339E0
8.256147920E-1,1.399366093E1,-3.075788975E0,7.758681774E0
8.306588540E-1,1.515292454E1,-2.435582638E0,8.921227455E0
8.357028640E-1,1.610547066E1,-1.763978958E0,9.752487183E0
8.407468750E-1,1.671036911E1,-1.061533928E0,1.013833427E1
8.457908850E-1,1.684500694E1,-3.536643982E-1,9.724493027E0
8.508720310E-1,1.668372154E1,1.915345192E-1,8.923263550E0
8.559160420E-1,1.617193222E1,6.302719116E-1,7.577321053E0
8.609601040E-1,1.535349655E1,8.732223511E-1,5.777508736E0
8.660041140E-1,1.440612698E1,1.146780491E0,3.840788841E0
8.710481250E-1,1.357214737E1,1.397897720E0,1.894491673E0
8.760921350E-1,1.276520538E1,1.457232952E0,3.383541107E-2
8.812127600E-1,1.178003311E1,1.583271503E0,-1.602986813E0
8.862567710E-1,1.242563629E1,1.694635868E0,-3.851568699E0
8.913007810E-1,2.494302368E1,3.479617596E0,-1.913556862E1
8.963447920E-1,2.969222450E1,8.016592026E0,-3.223671341E1
9.013888540E-1,2.196919441E1,1.030180359E1,-2.778022194E1
9.064328640E-1,1.440674210E1,9.572772026E0,-1.783703423E1
9.114745830E-1,1.071487999E1,6.581203938E0,-1.148235703E1
9.165185940E-1,8.067140579E0,3.321743488E0,-7.004565239E0
9.215626560E-1,5.306894302E0,8.415455818E-1,-2.934527874E0
9.266066670E-1,3.761487961E0,-9.212055206E-1,5.098741055E-1
9.316506770E-1,3.330176353E0,-1.755845070E0,2.953923464E0
9.366946870E-1,3.210666656E0,-1.842260361E0,4.345195293E0
9.417759370E-1,2.884737015E0,-1.596161842E0,4.652997971E0
9.468199480E-1,2.483501434E0,-1.237318516E0,4.461894989E0
9.518640100E-1,2.131879807E0,-9.294776917E-1,3.073627234E0
9.569080210E-1,2.254225731E0,-6.838321686E-1,1.239318609E0
9.619520310E-1,2.566535950E0,-2.343487740E-1,-3.758177757E-1
9.669960420E-1,1.679562569E0,1.165196896E0,-6.538205147E-1
9.720771870E-1,1.510553360E-1,2.587093830E0,-8.844133615E-1
9.771211980E-1,-3.969211578E-1,2.952943802E0,-9.349212646E-1
9.821652600E-1,-1.310310364E0,3.325830460E0,-1.201094866E0
9.872092710E-1,-1.781632423E0,3.553164482E0,-1.570629835E0
9.922532810E-1,-1.744989395E0,3.325740814E0,-9.005391598E-1
9.972972920E-1,-1.799062729E0,3.179337978E0,-3.922188282E-2
1.002378489E0,-2.076458931E0,3.123129606E0,6.962813139E-1
1.007422500E0,-2.412076473E0,3.020714283E0,1.431463838E0
1.012466562E0,-2.805093765E0,2.933696270E0,2.354295254E0
1.017510573E0,-3.174765587E0,2.869252205E0,2.692773342E0
1.022554583E0,-3.407651901E0,2.947024345E0,3.046120644E0
1.027598594E0,-3.603501320E0,3.121767998E0,2.983521938E0
1.032679739E0,-3.522402763E0,3.171463728E0,2.805121899E0
1.037723750E0,-3.115140915E0,3.104354858E0,3.656125546E0
1.042767812E0,-3.763062477E0,3.474089146E0,6.300256729E0
1.047811823E0,-4.376363277E0,3.621961832E0,4.127913475E0
1.052855833E0,-5.886644840E0,4.112112522E0,2.396275997E0
1.057899844E0,-7.735719681E0,4.672973156E0,-9.350824356E-1
1.062981042E0,-8.046614647E0,4.731051445E0,-4.510952950E0
1.068025052E0,-7.962461472E0,4.928581715E0,-7.176847935E0
1.073069114E0,-7.774615765E0,5.051500320E0,-8.228316307E0
1.078113125E0,-7.714103222E0,5.158408642E0,-5.368072510E0
1.083157135E0,-8.166166306E0,5.100870132E0,-3.474497080E0
1.088201146E0,-8.307860374E0,4.979503155E0,-3.477606058E0
1.093282292E0,-8.921833038E0,5.325766087E0,-4.246872425E0
1.098326302E0,-1.014260292E1,5.927834988E0,-7.269119263E0
1.103370364E0,-1.122475052E1,5.949229717E0,-9.576394081E0
1.108414375E0,-1.127205467E1,5.256847382E0,-9.302530289E0
1.113458385E0,-1.029505157E1,4.043574333E0,-7.560761929E0
1.118502396E0,-9.095545769E0,3.346328259E0,-5.902084351E0
1.123583333E0,-8.530693054E0,3.482222080E0,-4.566158295E0
1.128632292E0,-8.155008316E0,4.136055946E0,-3.792731762E0
1.133681302E0,-7.799326420E0,4.802749634E0,-3.625756025E0
1.138730260E0,-7.286779404E0,5.189125538E0,-3.939551353E0
1.143779219E0,-6.627877235E0,5.186423302E0,-4.302526474E0
1.148828229E0,-5.847730637E0,5.036610603E0,-4.583211899E0
1.153884583E0,-4.916246414E0,4.615733147E0,-4.695910454E0
1.158933542E0,-3.972734690E0,4.081518173E0,-4.506381035E0
1.163982552E0,-2.933866978E0,3.223862171E0,-3.946380138E0
1.169031510E0,-2.289916039E0,2.674803495E0,-3.369767427E0
1.174080469E0,-1.828462601E0,2.373373747E0,-3.189899206E0
1.179129479E0,-1.073085308E0,1.837110996E0,-2.790393353E0
1.184185885E0,-7.677612305E-1,1.397832394E0,-2.297812223E0
1.189234844E0,-1.079251766E0,1.285082340E0,-1.485865831E0
1.194283854E0,-9.899902344E-1,7.876195908E-1,-1.162569761E0
1.199332812E0,-3.571472168E-1,-1.819753647E-1,-1.521426082E0
1.204381771E0,4.983959198E-1,-1.006801605E0,-1.841522455E0
1.209430781E0,1.045291424E0,-1.438559532E0,-2.188820839E0
1.214487135E0,1.632518291E0,-1.525428295E0,-2.539308548E0
1.219536094E0,2.176878452E0,-1.417903900E0,-2.709725857E0
1.224585104E0,2.748177052E0,-1.019802570E0,-2.761110067E0
1.229634062E0,2.976605415E0,-8.498711586E-1,-3.207337141E0
1.234683021E0,2.826687813E0,-6.542582512E-1,-4.021470547E0
1.239732031E0,3.342339039E0,-9.937090874E-1,-4.168893337E0
1.244788385E0,3.440311909E0,-1.251526356E0,-4.159636497E0
1.249837344E0,2.926612854E0,-1.080915451E0,-3.703990459E0
1.254886354E0,2.680391312E0,-1.238591194E0,-2.612616777E0
1.259935312E0,2.640407562E0,-1.246541023E0,-2.691929817E0
1.264984271E0,2.902399540E0,-1.405934334E0,-2.435250044E0
1.270033281E0,3.123451233E0,-2.137997150E0,-1.859008074E0
1.275089635E0,2.488304615E0,-1.971907139E0,-1.289592505E0
1.280138594E0,1.180448055E0,-5.501174927E-1,-7.478159666E-1
1.285187604E0,-4.015002251E-1,-8.622121811E-1,-1.117883205E0
1.290236562E0,6.140604019E-1,-3.738572121E0,1.194998622E-2
1.295285521E0,6.275205612E-1,-5.314863682E0,2.173195601E0
1.300334531E0,-6.912269592E-1,-5.246653080E0,3.295445681E0
1.305390885E0,-8.181858063E-1,-4.625159264E0,3.351626873E0
1.310439844E0,-5.267896652E-1,-4.212606430E0,2.327097654E0
1.315488854E0,9.644126892E-2,-3.967752457E0,6.917006969E-1
1.320537812E0,8.750805855E-1,-3.690660477E0,-1.168711185E0
1.325586771E0,1.363157272E0,-3.448765278E0,-2.607582092E0
1.330635781E0,1.759630680E0,-3.067994595E0,-3.620666981E0
1.335692187E0,2.081264019E0,-2.685007095E0,-3.961075306E0
1.340741146E0,1.946868896E0,-2.168154716E0,-3.932791948E0
1.345790156E0,2.511041164E0,-2.344228745E0,-3.572452784E0
1.350839114E0,2.219087124E0,-2.290586948E0,-3.437059641E0
1.355888073E0,1.366308212E0,-1.564635277E0,-2.996471882E0
1.360937083E0,8.643593788E-1,-8.737559319E-1,-2.504745722E0
1.365993437E0,5.238199234E-1,-5.565295219E-1,-2.547806740E0
1.371042396E0,-6.751251221E-2,-2.909321785E-1,-2.562253952E0
1.376091406E0,-3.681802750E-2,-8.591318130E-1,-2.017076254E0
1.381140364E0,4.396476746E-1,-2.075486660E0,-1.104709744E0
1.386189323E0,4.360947609E-1,-2.957566738E0,4.448328912E-1
1.391238333E0,1.166117668E0,-4.014936447E0,2.670882225E0
1.396294687E0,1.406165600E0,-4.965025425E0,4.616065025E0
1.401343646E0,1.620222569E0,-5.448045731E0,5.796556473E0
1.406392656E0,1.537456036E0,-6.043154716E0,6.170045376E0
1.411441614E0,1.610985756E0,-6.688749313E0,6.458107471E0
1.416490573E0,1.122519970E0,-7.208268642E0,6.404539585E0
1.421539583E0,6.176757812E-1,-7.078939438E0,5.999807358E0
1.426635364E0,3.821744919E-1,-6.094015121E0,4.732755661E0
1.431684375E0,-7.935142517E-2,-5.671262741E0,4.031452656E0
1.436733333E0,-5.886693001E-1,-4.395235062E0,3.211989164E0
1.441782292E0,-8.746032715E-1,-2.851040840E0,2.407125711E0
1.446831302E0,-1.132446289E0,-1.603734970E0,2.138838530E0
1.451880260E0,-1.235503674E0,-4.953031540E-1,2.230702162E0
1.456897239E0,-1.100507736E0,3.214778900E-1,2.647858381E0
1.461946198E0,-1.031133175E0,4.422197342E-1,3.287026644E0
1.466995208E0,-1.358234406E0,7.807350159E-2,3.938004494E0
1.472044167E0,-1.516453743E0,-1.488666534E-1,4.446288586E0
1.477093125E0,-1.339357376E0,-4.995632172E-2,5.170701981E0
1.482142135E0,-7.499179840E-1,1.025266647E-1,5.616302013E0
1.487198489E0,-6.393389702E-1,3.283967972E-1,6.109114170E0
1.492247448E0,-8.811478615E-1,4.929981232E-1,5.812570095E0
1.497296458E0,-1.037901402E0,7.576246262E-1,4.439266682E0
1.502345417E0,-9.410834312E-1,1.003643036E0,2.589886427E0
1.507394375E0,-1.007708549E0,1.272743225E0,5.130279064E-1
1.512443385E0,-1.289565563E0,1.475688934E0,-1.673866749E0
1.517499739E0,-1.411330938E0,1.399253845E0,-3.233549595E0
1.522548698E0,-1.201159000E0,1.212704182E0,-3.720009804E0
1.527597708E0,-8.976411819E-1,1.206119537E0,-3.410410404E0
1.532646667E0,-9.688086510E-1,1.405337334E0,-2.851023912E0
1.537695625E0,-9.965238571E-1,1.690456390E0,-2.636229038E0
1.542744635E0,-1.111124992E0,1.955957413E0,-2.660006523E0
1.547800937E0,-9.698390961E-1,2.586101532E0,-2.684777021E0
1.552849896E0,-9.558730125E-1,3.092036247E0,-2.352744102E0
1.557898906E0,-7.701320648E-1,3.332317352E0,-1.880528688E0
1.562947864E0,-9.668774605E-1,3.356073380E0,-1.150460601E0
1.567996823E0,-1.029524803E0,3.533175468E0,-3.100343943E-1
1.573045833E0,-1.297366858E0,3.674098015E0,1.972638369E-1
1.578102239E0,-1.376102924E0,3.998515606E0,6.226900816E-1
