"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.966375834E-1,9.650794864E-1,4.979859889E-1,-2.919051647E0
9.065815833E-1,8.164889812E-1,3.731546402E-1,-3.465668201E0
9.165255833E-1,3.079325259E-1,1.703661084E-1,-3.796108961E0
9.264695834E-1,-4.278245866E-1,-1.114488915E-1,-3.929439306E0
9.364145834E-1,-1.047689676E0,-4.924825132E-1,-3.929308891E0
9.463585833E-1,-1.300921202E0,-6.757995486E-1,-3.736725569E0
9.563025833E-1,-1.032718539E0,-4.337081313E-1,-3.235681295E0
9.662465834E-1,-2.195263952E-1,-1.556981914E-2,-2.317731142E0
9.761915834E-1,7.600066066E-1,2.914828062E-1,-1.052593946E0
9.861355833E-1,1.561120749E0,4.513005614E-1,1.768483222E-1
9.960795833E-1,1.664197326E0,7.956227660E-1,6.758570671E-1
1.006023583E0,1.047414780E0,1.090228558E0,4.414014220E-1
1.015968583E0,6.001039408E-3,6.017791629E-1,-3.938810900E-2
1.025912583E0,-3.150122240E-2,1.344408542E-1,-6.608110666E-2
1.035856583E0,6.468839049E-1,-7.048287988E-1,2.122511864E-1
1.045800583E0,1.594430923E0,-1.640621066E0,5.722383261E-1
1.055744583E0,1.929937840E0,-3.135672569E0,5.609388351E-1
1.065689833E0,1.632861376E0,-3.674164772E0,1.161212195E-2
1.075633833E0,1.031926036E0,-2.463587999E0,-7.299778461E-1
1.085577833E0,3.546102047E-1,-1.118153453E0,-1.551260233E0
1.095521833E0,-2.065210342E-1,-1.349604577E-1,-2.747262478E0
1.105466833E0,-3.756678700E-1,7.904406786E-1,-4.321371078E0
1.115410833E0,2.160875797E-1,1.072199106E0,-6.166195393E0
1.125354833E0,1.041119456E0,4.284159541E-1,-7.408747196E0
1.135298833E0,1.885361195E0,1.595479995E-1,-7.243131638E0
1.145243833E0,2.802932262E0,5.862942934E-1,-5.958511353E0
1.155187833E0,3.731911659E0,1.212244391E0,-4.323661804E0
1.165131833E0,4.184096813E0,5.275599360E-1,-3.013117075E0
1.175075833E0,2.496485472E0,-1.890929580E0,-2.154867649E0
1.185020833E0,2.514305115E-1,-3.437014103E0,-1.752524853E0
1.194964833E0,-1.464553624E-1,-2.474558353E0,-2.270722389E0
1.204908833E0,2.607182860E-1,-1.628248572E0,-2.858012915E0
1.214852833E0,3.864109814E-1,-4.303376973E-1,-2.633066177E0
1.224797833E0,9.375903755E-2,-2.010582983E-1,-1.894621491E0
1.234741833E0,-2.981160581E-1,-5.093482137E-1,-9.720686078E-1
1.244685833E0,-4.909529090E-1,-7.370171547E-1,1.251704097E-1
