"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.165255833E-1,8.736740059E0,1.196385814E1,-1.814502699E0
9.264695834E-1,8.948929667E0,1.282121315E1,-3.050321667E0
9.364145834E-1,8.751981996E0,1.354448332E1,-4.476783255E0
9.463585833E-1,8.532347127E0,1.418496978E1,-4.071584659E0
9.563025833E-1,7.343211744E0,1.489831957E1,-1.559385756E0
9.662465834E-1,5.096901525E0,1.505329183E1,2.651873097E0
9.761915834E-1,2.166317970E0,1.414577473E1,7.640877705E0
9.861355833E-1,-4.423789939E-1,1.285769510E1,1.016175563E1
9.960795833E-1,-1.329217713E0,1.148918234E1,9.461127632E0
1.006023583E0,1.880406959E0,9.844947639E0,4.017655204E0
1.015968583E0,5.271532713E0,8.904178587E0,-4.159401652E0
1.025912583E0,5.994301193E0,7.124811807E0,-1.717862374E1
1.035856583E0,1.515538071E0,-3.015124937E0,-8.432837457E0
1.045800583E0,-4.494123173E-1,-1.135879879E1,1.403638502E1
1.055744583E0,-2.311126312E0,-2.018774827E1,1.449173460E1
1.065689833E0,-9.624087194E-1,-2.865070649E1,9.400308403E0
1.075633833E0,2.204310839E0,-2.968449188E1,1.652254159E0
1.085577833E0,4.795831607E0,-1.886422867E1,-3.677265684E0
1.095521833E0,8.158439906E0,-7.704278480E0,-2.771848022E0
1.105466833E0,1.152123327E1,-3.111517457E0,-1.232017109E-1
1.115410833E0,1.336436569E1,-4.470447797E-1,2.831566805E0
1.125354833E0,1.350325811E1,1.414467779E0,9.582364971E0
1.135298833E0,7.412358577E0,-2.393861783E-1,1.319880763E1
1.145243833E0,-2.624298797E0,-3.420289620E0,1.283465122E1
1.155187833E0,-1.019142908E1,-5.401131570E0,1.133692903E1
1.165131833E0,-1.395494149E1,-7.538182472E0,6.804935197E0
1.175075833E0,-1.391798708E1,-1.125319573E1,1.063150690E0
1.185020833E0,-1.272496096E1,-1.531422500E1,-1.419109766E1
1.194964833E0,-1.060383671E1,-1.838794722E1,-2.019637408E1
1.204908833E0,-4.850205157E0,-1.649078536E1,-8.540411607E0
1.214852833E0,-3.495776004E0,-1.046231655E1,-2.741518807E0
1.224797833E0,-7.808999773E0,-5.981001701E0,-4.286033632E0
1.234741833E0,-1.171067955E1,-3.157733265E0,-5.885574557E0
1.244685833E0,-1.463324072E1,-6.111392856E-1,-5.345829774E0
1.254629833E0,-1.650263767E1,2.285414643E0,-2.897474573E0
1.264574833E0,-1.712091523E1,6.019341894E0,-2.767106515E0
1.274518833E0,-1.685146618E1,1.001664996E1,-5.738157479E0
1.284462833E0,-1.603700166E1,1.328143814E1,-8.960097849E0
1.294406833E0,-1.364177046E1,1.504447540E1,-8.137499857E0
1.304350833E0,-9.233231817E0,1.589218017E1,-6.107759396E0
1.314295833E0,-3.791206283E0,1.615515635E1,-4.298599298E0
1.324239833E0,1.149330682E0,1.554897550E1,-2.018440132E0
1.334183833E0,4.341224623E0,1.416749830E1,2.821502285E-1
1.344127833E0,4.725864994E0,1.207054410E1,8.998465817E-1
1.354072833E0,2.079251760E0,9.485595891E0,4.042256194E-1
1.364016833E0,-7.307863279E-1,7.025383998E0,-3.157595270E0
1.373960833E0,-6.175704042E0,2.799388407E0,-7.114628296E0
1.383904833E0,-1.047176799E1,-7.366800581E0,6.712710573E0
1.393849833E0,-1.145532579E1,-1.656896029E1,6.738590350E0
1.403793833E0,-1.286539471E1,-3.307559395E1,1.871603683E0
1.413737833E0,-1.006220561E1,-4.428568401E1,7.899967831E0
1.423681833E0,-3.652755618E0,-4.579321315E1,1.180188676E1
1.433626833E0,2.426429897E0,-4.009904953E1,8.747502444E0
1.443570833E0,5.348987271E0,-2.771808027E1,8.218743410E0
1.453514833E0,6.642867336E0,-1.754611774E1,6.034083309E0
1.463458833E0,7.393066859E0,-1.049676016E1,2.848364686E0
1.473403833E0,8.354675971E0,-5.851427402E0,7.142940369E-3
1.483347833E0,8.860079471E0,-1.580001869E0,-1.919371342E0
1.493291833E0,9.254523869E0,3.184604144E0,-2.427970930E0
1.503235833E0,9.099243456E0,6.354451085E0,-1.560437086E0
1.513179833E0,9.185530817E0,8.543004847E0,-2.164241624E-1
1.523124833E0,9.760774630E0,1.010149072E1,7.298307467E-1
1.533068833E0,9.560335586E0,1.103907537E1,5.224440042E-1
1.543012833E0,8.869669490E0,1.159732776E1,-1.067085793E0
1.552956833E0,8.392545463E0,1.211649035E1,-3.836600849E0
1.562901833E0,8.276133247E0,1.278019259E1,-5.781971251E0
1.572845833E0,7.797058589E0,1.298142101E1,-5.131669069E0
1.582789833E0,6.738973342E0,1.316801853E1,-1.712629584E0
1.592733833E0,5.222247702E0,1.408339780E1,2.171180515E0
1.602678833E0,3.435865725E0,1.443040432E1,5.169742044E0
1.612622833E0,8.431731749E-1,1.370507359E1,8.681058193E0
1.622566833E0,-1.493648434E0,1.261851825E1,1.003244913E1
1.632510833E0,-1.217524785E0,1.142565936E1,7.766064253E0
1.642455833E0,2.940382026E0,1.037264014E1,2.041872849E0
1.652399833E0,6.744342840E0,1.000514965E1,-4.690077987E0
1.662343833E0,7.989182893E0,8.785618104E0,-1.542963734E1
1.672287833E0,6.830573484E0,8.648359394E-1,-1.989630901E1
1.682231833E0,3.400907854E0,-9.236317978E0,1.057264532E1
1.692176833E0,1.308118621E-1,-1.682895557E1,1.951477935E1
1.702120833E0,-1.482303666E0,-2.802487666E1,1.746507884E1
1.712064833E0,2.797667572E-1,-3.198022568E1,1.127625481E1
1.722008833E0,3.284276952E0,-2.455878521E1,1.800382258E0
1.731953833E0,4.880162197E0,-1.080602875E1,-6.611323362E0
1.741897833E0,9.693323489E0,-4.124452259E0,-4.333916773E-1
1.751841833E0,1.142169144E1,-7.224942452E-1,1.876605245E0
1.761785833E0,1.297425233E1,2.964645925E0,4.996619437E0
1.771730833E0,1.111483190E1,3.172195768E0,1.100299922E1
1.781674833E0,3.709684694E0,-2.410616394E0,1.309998500E1
1.791618833E0,-5.903798574E0,-6.839445464E0,1.241677294E1
1.801562833E0,-1.365789825E1,-1.049739282E1,9.205187986E0
1.811506833E0,-1.845200347E1,-1.419687588E1,3.924368141E0
1.821451833E0,-1.987317742E1,-1.839649117E1,-1.303019732E1
1.831395833E0,-1.661492409E1,-1.904112565E1,-1.955320959E1
1.841339833E0,-9.913548342E0,-1.292542691E1,-6.647512364E0
1.851283833E0,-8.237778436E0,-6.700626132E0,-4.560519768E0
1.861228833E0,-9.896541131E0,-2.662871125E0,-4.866273014E0
1.871172833E0,-1.257821807E1,-7.117727906E-1,-5.087307998E0
1.881116833E0,-1.374955336E1,9.027487010E-1,-3.574843516E0
1.891060833E0,-1.410858059E1,3.182451784E0,-1.679945403E0
1.901005833E0,-1.400047726E1,6.362886863E0,-2.318829727E0
1.910949833E0,-1.379187200E1,9.843054310E0,-6.115245586E0
1.920893833E0,-1.370848369E1,1.300774635E1,-1.007360184E1
1.930837833E0,-1.247997549E1,1.490547422E1,-9.137053306E0
1.940782833E0,-9.305609822E0,1.548055022E1,-5.817570269E0
1.950726833E0,-4.874255925E0,1.571538726E1,-4.082938197E0
1.960670833E0,-3.323702095E-1,1.534427033E1,-3.373351096E0
1.970614833E0,3.220111361E0,1.382643723E1,-1.989115761E0
1.980559833E0,4.321681767E0,1.108828086E1,1.754242171E-1
1.990503833E0,2.133109294E0,8.062249700E0,1.431035864E0
2.000447833E0,1.344175476E-1,5.795749630E0,1.586143638E0
2.010391833E0,-1.919453495E0,4.404063773E0,-2.171254774E0
2.020335833E0,-9.535998305E0,-1.147097411E0,2.982856932E-1
2.030280833E0,-1.256396841E1,-1.065096994E1,1.288675108E1
2.040224833E0,-1.439797917E1,-2.408548351E1,6.025241150E0
2.050168833E0,-1.476345938E1,-4.236569228E1,4.623075913E0
2.060112833E0,-1.212070736E1,-4.969694062E1,1.123269423E1
2.070057833E0,-4.802422588E0,-4.481456700E1,8.320042913E0
2.080001833E0,2.430620304E0,-3.217031867E1,5.937683188E0
2.089945833E0,6.114460890E0,-2.233518967E1,5.054005181E0
2.099889833E0,8.947159131E0,-1.539285017E1,3.986446860E0
2.109834833E0,1.059951211E1,-1.048957042E1,1.385729299E0
2.119778833E0,1.124048038E1,-6.440898076E0,-7.569249898E-1
2.129722833E0,1.027180491E1,-2.557331806E0,-1.458800198E0
2.139666833E0,1.099599543E1,2.316774430E0,-1.055244085E0
2.149610833E0,1.146365924E1,5.890844652E0,-7.611384934E-1
2.159555833E0,1.090609098E1,8.614292346E0,1.065093720E-1
2.169499833E0,1.126535093E1,1.037366457E1,4.965309352E-1
2.179443833E0,1.093438215E1,1.223368258E1,-3.877581791E-1
2.189387833E0,1.005466388E1,1.367057736E1,-2.071296038E0
2.199332833E0,9.008201723E0,1.462348640E1,-4.804752996E0
2.209276833E0,8.265710585E0,1.571055161E1,-7.305162742E0
2.219220833E0,7.689376851E0,1.623120875E1,-6.931814514E0
2.229164833E0,6.808979132E0,1.655999651E1,-4.419769979E0
2.239108833E0,5.207595749E0,1.640106802E1,-1.185249909E0
2.249053833E0,2.738057547E0,1.502561696E1,4.397900807E0
2.258997833E0,-5.990829116E-1,1.267533214E1,1.119275073E1
2.268941833E0,-2.644915495E0,1.045167111E1,1.252932014E1
2.278885833E0,-6.952047050E-1,8.327594007E0,9.058635128E0
2.288830833E0,3.879445737E0,7.294358842E0,2.379934884E0
2.298774833E0,6.941568840E0,7.402926434E0,-4.624289795E0
2.308718833E0,8.110254171E0,5.430694508E0,-1.818410276E1
2.318662833E0,6.139684609E0,-5.179267743E0,-7.732090176E0
2.328607833E0,2.237572140E0,-1.012036319E1,8.988536367E0
2.338551833E0,-3.244151019E0,-1.776393237E1,1.231429113E1
2.348495833E0,-2.862699427E0,-2.542351590E1,1.227929788E1
2.358439833E0,1.015547923E0,-2.614701996E1,8.652834853E0
2.368384833E0,4.142860756E0,-1.777951403E1,3.612726749E0
2.378328833E0,5.821553392E0,-7.522440013E0,-1.067912370E0
2.388272833E0,7.900719198E0,-2.063533859E0,1.224209029E0
2.398216833E0,1.005441128E1,2.622405469E0,2.444657568E0
2.408160833E0,9.520921260E0,7.016899688E0,3.653607557E0
2.418105833E0,5.972874656E0,2.505658792E0,1.152676473E1
2.428049833E0,-8.638598198E-1,-3.557663519E0,1.357425734E1
2.437993833E0,-6.863203871E0,-7.998201638E0,1.160431753E1
2.447937833E0,-1.005032641E1,-1.304916919E1,4.954886105E0
2.457882833E0,-1.350065493E1,-1.875286026E1,-8.531792811E0
2.467826833E0,-1.397870808E1,-2.254446386E1,-1.758444741E1
2.477770833E0,-8.920723284E0,-2.022484300E1,-8.094221690E0
2.487714833E0,-7.362456100E0,-1.365203467E1,-2.836991267E0
2.497658833E0,-1.040972903E1,-7.145903299E0,-3.708165003E0
2.507603833E0,-1.315816597E1,-3.478943040E0,-5.399838751E0
2.517547833E0,-1.581289777E1,-9.112113762E-1,-6.192515956E0
2.527491833E0,-1.744583799E1,1.625098520E0,-3.689487827E0
2.537435833E0,-1.793330165E1,5.004109136E0,-2.642627187E0
2.547380833E0,-1.783931467E1,8.669314646E0,-5.487531198E0
2.557324833E0,-1.710790284E1,1.200583296E1,-9.650499067E0
2.567268833E0,-1.502968779E1,1.430408575E1,-1.013008945E1
2.577212833E0,-1.074884181E1,1.511914785E1,-6.908765375E0
2.587157833E0,-5.199974488E0,1.545990955E1,-4.594904905E0
2.597101833E0,1.710225246E-1,1.541137532E1,-3.678180481E0
2.607045833E0,4.249640269E0,1.435124705E1,-2.732848848E0
2.616989833E0,6.105051550E0,1.223233538E1,-1.280478978E0
2.626934833E0,4.634840510E0,9.312954510E0,-4.633300062E-1
2.636878833E0,2.268855036E0,6.467698789E0,-8.585057437E-1
2.646822833E0,5.355717708E-1,4.474307544E0,-5.117607685E0
2.656766833E0,-5.293560929E0,-1.410563593E0,-3.603814423E0
2.666710833E0,-9.143219780E0,-1.069081287E1,1.211522735E1
2.676655833E0,-1.206318479E1,-2.334026055E1,6.130988045E0
2.686599833E0,-1.378269304E1,-4.198223187E1,2.008740186E0
2.696543833E0,-1.188268358E1,-4.940697018E1,1.211341354E1
2.706487833E0,-5.870021548E0,-4.610637599E1,1.024536614E1
2.716432833E0,6.389954209E-1,-3.400412712E1,5.453077649E0
2.726376833E0,4.672978975E0,-2.333213994E1,3.026636935E0
2.736320833E0,8.298055043E0,-1.587517646E1,1.641592346E0
2.746264833E0,1.084412920E1,-1.084271769E1,-3.085330848E-1
2.756209833E0,1.175522948E1,-6.831787366E0,-2.978981543E0
2.766153833E0,1.073802797E1,-2.658710831E0,-3.953328815E0
2.776097833E0,8.756982535E0,1.224029227E0,-3.502423704E0
2.786041833E0,6.882444718E0,4.275759489E0,-2.220705847E0
2.795985833E0,6.505785797E0,7.038889312E0,-1.092315432E0
2.805930833E0,7.913954371E0,9.661765482E0,-4.722780003E-1
2.815874833E0,8.892054386E0,1.181175101E1,-3.867319927E-1
2.825818833E0,1.018162330E1,1.341517332E1,-8.243498913E-1
2.835762833E0,1.148016944E1,1.438786466E1,-1.949138932E0
2.845707833E0,1.163335831E1,1.526571533E1,-3.632279838E0
