"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.929085833E-1,2.505340118E0,3.407514038E0,-4.400848389E-1
9.028525834E-1,2.592009888E0,3.325933685E0,-6.674620056E-1
9.127965833E-1,3.563489685E0,3.683390350E0,-8.619076538E-1
9.227405833E-1,4.097728729E0,4.347259827E0,-2.104773102E0
9.326855833E-1,4.239034882E0,4.880301361E0,-3.581602020E0
9.426295834E-1,4.359234924E0,5.344486084E0,-3.254831543E0
9.525735833E-1,3.485052795E0,5.908662872E0,-8.267308044E-1
9.625175833E-1,1.492396545E0,5.955066376E0,3.334465942E0
9.724625833E-1,-1.285227356E0,4.989873505E0,8.342601471E0
9.824065834E-1,-3.859124908E0,3.696562958E0,1.095901062E1
9.923505833E-1,-4.795128479E0,2.358944550E0,1.038974442E1
1.002294583E0,-1.648521881E0,7.485932922E-1,5.037025452E0
1.012239583E0,1.714833984E0,-1.790277100E-1,-3.119512939E0
1.022183583E0,2.441273346E0,-1.962568817E0,-1.616293900E1
1.032127583E0,-2.039658508E0,-1.209754303E1,-7.381001129E0
1.042071583E0,-4.028422852E0,-2.041424835E1,1.523037827E1
1.052015583E0,-5.912405090E0,-2.919813217E1,1.593391525E1
1.061960833E0,-4.536915436E0,-3.762126617E1,1.112890732E1
1.071904833E0,-1.280437317E0,-3.864304138E1,3.611090698E0
1.081848833E0,1.446442108E0,-2.784704178E1,-1.597178650E0
1.091792833E0,5.012326813E0,-1.675435913E1,-6.661148071E-1
1.101737833E0,8.685538330E0,-1.227282852E1,1.942061462E0
1.111681833E0,1.098954712E1,-9.746681671E0,4.859644318E0
1.121625833E0,1.175221115E1,-8.013286285E0,1.165296753E1
1.131569833E0,6.354585571E0,-9.739646301E0,1.540386749E1
1.141514833E0,-3.061284027E0,-1.291604095E1,1.525866943E1
1.151458833E0,-1.016865417E1,-1.482352432E1,1.406714722E1
1.161402833E0,-1.362152390E1,-1.683743637E1,9.911189575E0
1.171346833E0,-1.333037933E1,-2.042457687E1,4.494852905E0
1.181291833E0,-1.186567520E1,-2.442785202E1,-1.066412384E1
1.191235833E0,-9.460626526E0,-2.748359756E1,-1.670376434E1
1.201179833E0,-3.397484894E0,-2.555021805E1,-5.068759460E0
1.211123833E0,-1.759141846E0,-1.946537155E1,7.463479614E-1
1.221068833E0,-5.859564972E0,-1.493324615E1,-7.798782349E-1
1.231012833E0,-9.620793457E0,-1.208481949E1,-2.396217041E0
1.240956833E0,-1.248299149E1,-9.543105011E0,-1.905986481E0
1.250900833E0,-1.439002579E1,-6.680607605E0,4.764591980E-1
1.260845833E0,-1.515448608E1,-3.011886749E0,5.201683044E-1
1.270789833E0,-1.514325943E1,8.851094055E-1,-2.586471405E0
1.280733833E0,-1.468850510E1,4.025129700E0,-6.004014587E0
1.290677833E0,-1.272099655E1,5.664520569E0,-5.416336670E0
1.300621833E0,-8.760831757E0,6.411317596E0,-3.632645874E0
1.310566833E0,-3.733835449E0,6.603667603E0,-2.062111816E0
1.320510833E0,8.643026733E-1,5.952222290E0,-4.191284180E-3
1.330454833E0,3.791615295E0,4.542453918E0,2.096689911E0
1.340398833E0,3.954476624E0,2.429447937E0,2.540067902E0
1.350343833E0,1.063538361E0,-1.576222229E-1,1.891766052E0
1.360287833E0,-2.076631622E0,-2.600093079E0,-1.825304260E0
1.370231833E0,-7.965385895E0,-6.772965546E0,-5.930068359E0
1.380175833E0,-1.277413605E1,-1.685120773E1,7.703280945E0
1.390120833E0,-1.427596298E1,-2.593461868E1,7.489974518E0
1.400064833E0,-1.615605331E1,-4.229873932E1,2.455793152E0
1.410008833E0,-1.377405670E1,-5.335055695E1,8.435109100E0
1.419952833E0,-7.749085693E0,-5.469221695E1,1.231563950E1
1.429897833E0,-2.029180298E0,-4.882726318E1,9.196875000E0
1.439841833E0,5.578898621E-1,-3.627152298E1,8.565338287E0
1.449785833E0,1.548978882E0,-2.592653549E1,6.272855530E0
1.459729833E0,2.039209442E0,-1.871528137E1,3.016377411E0
1.469674833E0,2.793790283E0,-1.393137955E1,1.715432739E-1
1.479618833E0,3.149750061E0,-9.553732910E0,-1.700613556E0
1.489562833E0,3.459755402E0,-4.725373535E0,-2.129621429E0
1.499506833E0,3.285817108E0,-1.539099426E0,-1.197060699E0
1.509450833E0,3.425027618E0,6.129753113E-1,1.926493835E-1
1.519395833E0,4.129163361E0,2.081421661E0,1.176553345E0
1.529339833E0,4.125720520E0,2.886148224E0,1.002914429E0
1.539283833E0,3.681145020E0,3.286715240E0,-5.680686951E-1
1.549227833E0,3.483555908E0,3.636388092E0,-3.361409912E0
1.559172833E0,3.666625214E0,4.129612427E0,-5.386997681E0
1.569116833E0,3.487447815E0,4.173022156E0,-4.856949921E0
1.579060833E0,2.710862732E0,4.224365387E0,-1.566043396E0
