"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.779403200E-2,-2.311156273E0,-8.500559330E-1,8.173000216E-1
6.031934500E-2,-2.154567003E0,-5.146406889E-1,8.577789068E-1
6.287319900E-2,-2.143914700E0,-5.093145370E-1,8.758878708E-1
6.542705300E-2,-2.111957550E0,-4.517919421E-1,9.014534354E-1
6.798090700E-2,-2.075739622E0,-3.932041526E-1,9.334104657E-1
7.050648000E-2,-2.035260916E0,-3.537905216E-1,9.643021822E-1
7.305554300E-2,-1.996912479E0,-3.228987455E-1,9.909330010E-1
7.558085500E-2,-1.956433654E0,-3.005288541E-1,1.020626426E0
7.808148000E-2,-1.909563303E0,-2.824199200E-1,1.042996287E0
8.051778200E-2,-1.860562682E0,-2.696371078E-1,1.066431403E0
8.304309500E-2,-1.814757586E0,-2.632457018E-1,1.087736130E0
8.562200100E-2,-1.774278760E0,-2.621804774E-1,1.102649331E0
8.820090700E-2,-1.734998345E0,-2.738980353E-1,1.111171246E0
9.061845900E-2,-1.700910807E0,-2.994636297E-1,1.114366889E0
9.314361500E-2,-1.668953896E0,-3.303554058E-1,1.115432143E0
9.566877200E-2,-1.632735968E0,-3.591166735E-1,1.112236381E0
9.819398000E-2,-1.600778937E0,-3.921388984E-1,1.096257925E0
1.007191360E-1,-1.569887161E0,-4.230306745E-1,1.083475113E0
1.032442930E-1,-1.536864996E0,-4.507267177E-1,1.061105251E0
1.057694490E-1,-1.502777457E0,-4.688356817E-1,1.037670135E0
1.082946050E-1,-1.463363886E0,-4.869446456E-1,1.014235020E0
1.108198130E-1,-1.418624043E0,-5.135754943E-1,9.898678064E-1
1.133449700E-1,-1.366427660E0,-5.391410589E-1,9.674978852E-1
1.158701260E-1,-1.305709362E0,-5.583152771E-1,9.483237267E-1
1.183952820E-1,-1.240730166E0,-5.668371320E-1,9.259538054E-1
1.209204900E-1,-1.171490073E0,-5.561847687E-1,9.003882408E-1
1.234851260E-1,-1.093861103E0,-5.274235010E-1,8.631050587E-1
1.260102820E-1,-1.006512046E0,-4.858794212E-1,8.173000216E-1
1.285355950E-1,-9.138367772E-1,-4.443353117E-1,7.640383840E-1
1.310959590E-1,-8.222267628E-1,-4.070521593E-1,7.043853402E-1
1.336563240E-1,-7.242252827E-1,-3.718994856E-1,6.394061446E-1
1.361109590E-1,-6.262238622E-1,-3.388772607E-1,5.691007376E-1
1.386362720E-1,-5.294207931E-1,-3.037245572E-1,4.881430268E-1
1.412520010E-1,-4.282236695E-1,-2.728328109E-1,3.997286856E-1
1.436864280E-1,-3.302222490E-1,-2.408758104E-1,3.082517982E-1
1.462116360E-1,-2.375469655E-1,-2.142449915E-1,2.155765295E-1
1.487367930E-1,-1.406107545E-1,-1.920082569E-1,1.292926520E-1
1.512619490E-1,-4.687025398E-2,-1.738992929E-1,5.046541616E-2
1.537871050E-1,4.260931909E-2,-1.611164957E-1,-1.983996481E-2
1.563123130E-1,1.223686412E-1,-1.621817350E-1,-8.588441461E-2
1.588374700E-1,2.001306564E-1,-1.632469594E-1,-1.466026902E-1
1.613626260E-1,2.683055699E-1,-1.728340536E-1,-2.083862126E-1
1.638878340E-1,3.332847953E-1,-1.909430176E-1,-2.679060996E-1
1.664129900E-1,4.003944695E-1,-2.047910541E-1,-3.211677670E-1
1.689381470E-1,4.579170346E-1,-2.174406946E-1,-3.712337017E-1
1.714633030E-1,5.122439265E-1,-2.302234918E-1,-4.212996662E-1
1.739884590E-1,5.633751154E-1,-2.387453467E-1,-4.660394490E-1
1.765136150E-1,6.102453470E-1,-2.493976802E-1,-5.086487532E-1
1.790388240E-1,6.507242322E-1,-2.579195499E-1,-5.469971299E-1
1.815639800E-1,6.878741980E-1,-2.632457018E-1,-5.800193548E-1
1.840891360E-1,7.208964229E-1,-2.738980353E-1,-6.151720881E-1
1.866142930E-1,7.464620471E-1,-2.834851444E-1,-6.418029070E-1
1.891394490E-1,7.677667141E-1,-2.930722237E-1,-6.620423198E-1
1.916646570E-1,7.858756781E-1,-3.090507388E-1,-6.801512837E-1
1.941898130E-1,7.997236848E-1,-3.271597028E-1,-6.918688416E-1
1.967149700E-1,8.103760481E-1,-3.516600430E-1,-7.025212049E-1
1.992401780E-1,8.178326488E-1,-3.804213405E-1,-7.089125514E-1
2.017653340E-1,8.178326488E-1,-4.177044928E-1,-7.099778056E-1
2.042904900E-1,8.125064969E-1,-4.581833482E-1,-7.121082544E-1
