"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.655351100E-2,-3.662214994E0,-2.031057739E1,-5.581857204E0
2.907601100E-2,-4.059722900E0,-2.031297112E1,-5.737390518E0
3.160116800E-2,-4.450351238E0,-2.006381798E1,-5.871687889E0
3.412637600E-2,-4.833501816E0,-1.973091698E1,-5.993721485E0
3.661481300E-2,-5.190630436E0,-1.925175285E1,-6.142375946E0
3.913720900E-2,-5.487639427E0,-1.880399704E1,-6.271588326E0
4.166226100E-2,-5.715256691E0,-1.830329895E1,-6.293422699E0
4.418731300E-2,-5.988337994E0,-1.775713730E1,-6.235695839E0
4.671241800E-2,-6.186942101E0,-1.721815300E1,-6.159125328E0
4.671247000E-2,-6.479165554E0,-1.665284920E1,-6.041877270E0
5.176304300E-2,-6.680461884E0,-1.607797432E1,-5.902794361E0
5.428819900E-2,-6.862615108E0,-1.556052589E1,-5.759224892E0
5.681877200E-2,-6.936792850E0,-1.504307747E1,-5.560321808E0
5.934403200E-2,-6.958328247E0,-1.446102333E1,-5.308775902E0
6.186934500E-2,-6.903293133E0,-1.397946835E1,-5.028516769E0
6.442319900E-2,-6.774080753E0,-1.360319710E1,-4.736293316E0
6.697705300E-2,-6.577570438E0,-1.325354576E1,-4.503890514E0
6.953090700E-2,-6.361917019E0,-1.286082363E1,-4.331307888E0
7.205648000E-2,-6.131906986E0,-1.249412346E1,-4.067798615E0
7.460554300E-2,-5.818148136E0,-1.218515015E1,-3.823431492E0
7.713085500E-2,-5.492425442E0,-1.192403316E1,-3.564707518E0
7.963148000E-2,-5.142475128E0,-1.170838070E1,-3.327518940E0
8.206778200E-2,-4.730610371E0,-1.151456165E1,-3.241377354E0
8.459309500E-2,-4.316053867E0,-1.135155106E1,-3.157628536E0
8.717200100E-2,-3.880260944E0,-1.118136120E1,-3.088236809E0
8.975090700E-2,-3.484847069E0,-1.100429249E1,-3.008974552E0
9.216845900E-2,-3.159124136E0,-1.095852947E1,-2.884547710E0
9.469361500E-2,-2.976970434E0,-1.086760235E1,-2.934797049E0
9.721877200E-2,-2.713460922E0,-1.087717342E1,-2.944368362E0
9.974398000E-2,-2.538784742E0,-1.084128094E1,-3.049652576E0
1.022691360E-1,-2.447558403E0,-1.076949692E1,-3.183949709E0
1.047942930E-1,-2.368595362E0,-1.072642612E1,-3.224627733E0
1.073194490E-1,-2.222633123E0,-1.058495045E1,-3.195913792E0
1.098446050E-1,-2.109871387E0,-1.041715336E1,-3.164807081E0
1.123698130E-1,-2.035693884E0,-1.013689423E1,-3.160021305E0
1.148949700E-1,-1.899003863E0,-9.916754723E0,-3.265305519E0
1.174201260E-1,-1.729113460E0,-9.674779892E0,-3.418745279E0
1.199452820E-1,-1.563709617E0,-9.518947601E0,-3.691826344E0
1.224704900E-1,-1.374377489E0,-9.363115311E0,-4.000799656E0
1.250351260E-1,-1.178166032E0,-9.300901413E0,-4.209274292E0
1.275602820E-1,-1.098903775E0,-9.212367058E0,-4.364807606E0
1.300855950E-1,-1.055832982E0,-9.131011009E0,-4.467998028E0
1.326459590E-1,-1.015154958E0,-9.094820023E0,-4.563711166E0
1.352063240E-1,-1.091725349E0,-9.068498611E0,-4.601995945E0
1.376609590E-1,-1.166201949E0,-9.121439934E0,-4.566103935E0
1.401862720E-1,-1.261914849E0,-9.298508644E0,-4.613960266E0
1.428020010E-1,-1.456032634E0,-9.435198784E0,-4.635495663E0
1.452364280E-1,-1.625923038E0,-9.573982239E0,-4.544568539E0
1.477616360E-1,-1.786541224E0,-9.667601585E0,-4.487140656E0
1.502867930E-1,-1.877468467E0,-9.736993790E0,-4.422534466E0
1.528119490E-1,-1.913360834E0,-9.801599503E0,-4.326522350E0
1.553371050E-1,-1.980658889E0,-9.813564301E0,-4.209274292E0
1.578623130E-1,-1.942373753E0,-9.820742607E0,-4.120440483E0
1.603874700E-1,-1.829612017E0,-9.760921478E0,-3.991228104E0
1.629126260E-1,-1.832004786E0,-9.722636223E0,-3.866502285E0
1.654378340E-1,-1.808076620E0,-9.597910881E0,-3.727718592E0
1.679629900E-1,-1.846361756E0,-9.478269577E0,-3.641577005E0
1.704881470E-1,-1.899003863E0,-9.291330338E0,-3.559921980E0
1.730133030E-1,-1.980658889E0,-9.104690552E0,-3.509672642E0
