"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.162319900E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.673090700E-2,1.664209366E-1,3.515233994E-1,3.425707817E-1
7.180554300E-2,4.479923248E-1,6.779661179E-1,5.944781303E-1
7.683148000E-2,8.368797302E-1,9.140405655E-1,9.145669937E-1
8.179309500E-2,1.304636955E0,1.023833275E0,1.146770477E0
8.695090700E-2,1.850987434E0,1.076954842E0,1.178158522E0
9.189361500E-2,2.315769911E0,1.108132362E0,1.240641832E0
9.694398000E-2,2.509276628E0,1.007060051E0,1.168564320E0
1.019942930E-1,2.608658552E0,8.999013901E-1,9.532017708E-1
1.070446050E-1,2.589037418E0,8.930110931E-1,8.413507938E-1
1.120949700E-1,2.617845535E0,1.107687950E0,8.701982498E-1
1.171452820E-1,2.696712494E0,1.412313461E0,6.876544952E-1
1.222351260E-1,2.864354134E0,1.590539932E0,2.172622681E-1
1.272855950E-1,3.016469717E0,1.613646507E0,-1.674652100E-1
1.324063240E-1,2.954070091E0,1.611513138E0,-3.374810219E-1
1.373862720E-1,2.714584351E0,1.506441116E0,-3.575048447E-1
1.424364280E-1,2.361458778E0,1.147812843E0,-3.604183197E-1
1.474867930E-1,1.914995909E0,8.373155594E-1,-2.315874100E-1
1.525371050E-1,1.639121294E0,6.522331238E-1,-8.829736710E-2
1.575874700E-1,1.492112160E0,5.793895721E-1,1.044182777E-1
1.626378340E-1,1.537208319E0,6.337795258E-1,3.060994148E-1
1.676881470E-1,1.457731843E0,8.136787415E-1,5.005190372E-1
1.727384590E-1,1.269175291E0,1.121524811E0,5.913379192E-1
1.777888240E-1,9.148736000E-1,1.447885513E0,6.265220642E-1
1.828391360E-1,4.961292744E-1,1.784252167E0,6.036286354E-1
1.878894490E-1,-6.230401993E-2,2.090122223E0,4.958257675E-1
1.929398130E-1,-5.758011341E-1,2.397853374E0,4.242370129E-1
1.979901780E-1,-1.092490673E0,2.645185471E0,2.965414524E-1
2.030404900E-1,-1.531415462E0,2.819045067E0,1.346008778E-1
2.080908030E-1,-1.907623291E0,2.897511005E0,-3.812479973E-2
2.131411680E-1,-2.173041105E0,2.922812462E0,-2.173621655E-1
2.181914800E-1,-2.336868286E0,3.022473335E0,-3.257865906E-1
2.232418450E-1,-2.448866844E0,3.041870117E0,-5.321717262E-1
2.282921570E-1,-2.465265036E0,2.926772118E0,-8.926279545E-1
2.333425220E-1,-2.442551851E0,2.595117092E0,-1.525880337E0
2.383928340E-1,-2.374061108E0,2.089842796E0,-2.364396811E0
2.434431470E-1,-2.212934256E0,1.403458595E0,-3.405472517E0
