"event","experiment time","system time","system time text"
"START",0.000000000E0,1686247627.972,"2023-06-08 20:07:07.972 UTC+02:00"
"PAUSE",2.094483366E2,1686247837.420,"2023-06-08 20:10:37.420 UTC+02:00"
