time,seconds_elapsed,z,y,x
1686426574597560000,0.10556005859375,-47.86070251464844,-42.764163970947266,-8.182746887207031
1686426574607505200,0.115505126953125,-48.268592834472656,-42.49165725708008,-8.065887451171875
1686426574617450200,0.1254501953125,-48.36504364013672,-41.854183197021484,-7.828742980957031
1686426574627395000,0.13539501953125,-48.80738830566406,-41.60293197631836,-7.548027038574219
1686426574637340400,0.14534033203125,-49.21662139892578,-41.2528190612793,-6.84075927734375
1686426574647284200,0.1552841796875,-49.40113830566406,-40.9830436706543,-6.469566345214844
1686426574657229300,0.165229248046875,-50.10065460205078,-40.2887077331543,-5.9598541259765625
1686426574667174100,0.175174072265625,-50.532135009765625,-39.8775520324707,-5.7254486083984375
1686426574677119200,0.185119140625,-50.645042419433594,-39.8072395324707,-5.183769226074219
1686426574687064000,0.19506396484375,-51.079010009765625,-39.760013580322266,-4.616912841796875
1686426574697009200,0.205009033203125,-51.49848937988281,-39.56044387817383,-4.186492919921875
1686426574706953200,0.214953125,-51.68238830566406,-39.2503547668457,-3.5681381225585938
1686426574716898300,0.224898193359375,-51.93794250488281,-39.16786575317383,-2.72479248046875
1686426574726843100,0.234843017578125,-52.174110412597656,-39.10121536254883,-2.0902481079101562
1686426574736788200,0.244788330078125,-52.49336242675781,-38.79104995727539,-1.1185073852539062
1686426574746733300,0.2547333984375,-52.46421813964844,-38.73124313354492,-0.02956390380859375
1686426574756677000,0.264677001953125,-52.6666259765625,-38.231937408447266,0.9456024169921875
1686426574766622200,0.274622314453125,-52.6572265625,-38.33600997924805,1.7447967529296875
1686426574776567300,0.2845673828125,-52.212501525878906,-38.137813568115234,2.8558425903320312
1686426574786512100,0.29451220703125,-52.95960998535156,-37.70351791381836,4.104118347167969
1686426574796457200,0.304457275390625,-53.2388916015625,-37.37663650512695,5.2585296630859375
1686426574806402300,0.31440234375,-53.1904296875,-36.99557113647461,6.434173583984375
1686426574816346000,0.32434619140625,-53.69737243652344,-36.20841598510742,7.968177795410156
1686426574826291200,0.334291259765625,-53.93229675292969,-35.81839370727539,9.770484924316406
1686426574836236300,0.344236328125,-53.766876220703125,-35.25851058959961,11.71368408203125
1686426574846181000,0.35418115234375,-53.455963134765625,-34.74039077758789,13.817100524902344
1686426574856126200,0.364126220703125,-53.244720458984375,-34.26082229614258,16.469406127929688
1686426574866071300,0.3740712890625,-52.93092346191406,-34.296932220458984,18.974655151367188
1686426574876015000,0.38401513671875,-51.750694274902344,-34.10432815551758,21.706398010253906
1686426574885960200,0.393960205078125,-50.45722198486328,-34.15938949584961,24.123321533203125
1686426574895905300,0.4039052734375,-48.63346862792969,-34.56779861450195,26.68566131591797
1686426574905850000,0.41385009765625,-46.70734405517578,-35.1071662902832,29.7152099609375
1686426574915795200,0.423795166015625,-44.18562316894531,-35.43111801147461,32.63465118408203
1686426574925740300,0.433740234375,-41.292457580566406,-36.03384017944336,35.72126770019531
1686426574935684000,0.44368408203125,-38.219215393066406,-36.7591667175293,38.491302490234375
1686426574945629200,0.453629150390625,-35.192596435546875,-37.37735366821289,40.85295867919922
1686426574955574300,0.46357421875,-31.92571258544922,-37.5780143737793,43.07781982421875
1686426574965519000,0.47351904296875,-28.63086700439453,-38.03939437866211,44.958656311035156
1686426574975464200,0.483464111328125,-26.189804077148438,-38.27824020385742,46.503761291503906
1686426574985409300,0.4934091796875,-23.824188232421875,-38.29025650024414,47.887290954589844
1686426574995353300,0.503353271484375,-23.824188232421875,-38.29025650024414,47.887290954589844
1686426575005298200,0.513298095703125,-20.773826599121094,-37.7341423034668,49.595664978027344
1686426575015243300,0.5232431640625,-17.417831420898438,-37.206302642822266,51.13227081298828
1686426575025188000,0.53318798828125,-14.631362915039062,-36.14316940307617,52.31433868408203
1686426575035133200,0.54313330078125,-12.022254943847656,-35.12973403930664,53.925819396972656
1686426575045078300,0.553078369140625,-8.914619445800781,-33.56760025024414,55.586463928222656
1686426575055022300,0.563022216796875,-5.9385986328125,-31.841007232666016,57.13518524169922
1686426575064967200,0.57296728515625,-2.9192123413085938,-29.75369644165039,58.43299102783203
1686426575074912300,0.582912353515625,-0.0438690185546875,-27.43112564086914,59.57288360595703
1686426575084857300,0.592857421875,3.5655593872070312,-25.02901840209961,60.383522033691406
1686426575094802200,0.60280224609375,7.080024719238281,-22.588336944580078,61.472450256347656
1686426575104747300,0.612747314453125,10.70294189453125,-19.70071792602539,61.78612518310547
1686426575114691300,0.62269140625,13.738601684570312,-16.560123443603516,62.014244079589844
1686426575124636200,0.63263623046875,16.908702850341797,-13.896060943603516,61.915992736816406
1686426575134581000,0.6425810546875,18.972492218017578,-10.47842025756836,62.12425994873047
1686426575144526300,0.6525263671875,20.725902557373047,-7.273784637451172,62.05677032470703
1686426575154471200,0.66247119140625,21.76620101928711,-4.157764434814453,61.888267517089844
1686426575164416000,0.672416015625,22.44922637939453,-0.8678359985351562,61.727500915527344
1686426575174360300,0.6823603515625,21.620098114013672,2.850109100341797,61.554847717285156
1686426575184305200,0.69230517578125,20.96514129638672,5.968208312988281,61.127098083496094
1686426575194250000,0.70225,20.180133819580078,9.213306427001953,61.05554962158203
1686426575204195300,0.7121953125,19.4632568359375,12.395946502685547,60.76032257080078
1686426575214140200,0.72214013671875,18.62029266357422,15.827049255371094,60.565452575683594
1686426575224085000,0.7320849609375,17.504661560058594,18.568931579589844,60.211647033691406
1686426575234029300,0.742029296875,15.328704833984375,21.52834701538086,59.34046173095703
1686426575243974100,0.75197412109375,13.590858459472656,24.6417293548584,58.988182067871094
1686426575253919200,0.761919189453125,11.532379150390625,27.33394432067871,58.079368591308594
1686426575263864300,0.7718642578125,9.393943786621094,29.697948455810547,57.284141540527344
1686426575273809200,0.78180908203125,6.94775390625,31.925519943237305,56.231834411621094
1686426575283754000,0.79175390625,4.4614715576171875,33.713077545166016,55.911354064941406
1686426575293698300,0.8016982421875,2.2313690185546875,34.83726501464844,55.19652557373047
1686426575303643100,0.81164306640625,0.7128143310546875,35.83528137207031,54.69731903076172
1686426575313588200,0.821588134765625,-1.2235107421875,36.247947692871094,54.07482147216797
1686426575323533000,0.831532958984375,-2.6200714111328125,36.78240966796875,53.77288055419922
1686426575333478100,0.84147802734375,-4.083351135253906,36.550506591796875,53.83740997314453
1686426575343423200,0.85142333984375,-5.690704345703125,35.847984313964844,54.220619201660156
1686426575353367000,0.861366943359375,-6.952476501464844,35.14165496826172,54.60889434814453
1686426575363312000,0.87131201171875,-8.315330505371094,34.341514587402344,54.92090606689453
1686426575373257200,0.88125732421875,-9.626632690429688,33.55063247680664,55.095176696777344
1686426575383202000,0.8912021484375,-10.693962097167969,32.41804885864258,55.795204162597656
1686426575393147100,0.901147216796875,-11.565765380859375,31.222862243652344,56.564903259277344
1686426575403092200,0.91109228515625,-12.030776977539062,30.044898986816406,56.91443634033203
1686426575413037000,0.921037109375,-13.177391052246094,28.768156051635742,57.28887176513672
1686426575422981400,0.9309814453125,-13.776878356933594,27.54823875427246,57.75298309326172
1686426575432926200,0.94092626953125,-14.181602478027344,26.126937866210938,58.08917999267578
1686426575442871000,0.95087109375,-14.521102905273438,24.832046508789062,58.612693786621094
