time,seconds_elapsed,z,y,x
1686426756926908700,0.09890869140625,-120.2877197265625,-75.57833862304688,96.51544189453125
1686426756936982800,0.108982666015625,-120.01374816894531,-75.55044555664062,96.95033264160156
1686426756947057000,0.119056884765625,-119.28727722167969,-75.85275268554688,97.47190856933594
1686426756957130800,0.129130859375,-118.92886352539062,-76.66783142089844,97.55743408203125
1686426756967206000,0.139205810546875,-118.96678161621094,-76.48103332519531,97.87916564941406
1686426756977280800,0.14928076171875,-118.61541748046875,-76.85316467285156,98.18952941894531
1686426756987353900,0.159353759765625,-118.319580078125,-77.02471923828125,98.83100891113281
1686426756997427700,0.169427734375,-118.181884765625,-77.47390747070312,99.05804443359375
1686426757007502800,0.1795029296875,-117.8148193359375,-77.43533325195312,99.64155578613281
1686426757017578000,0.189577880859375,-117.31951904296875,-77.74362182617188,100.01142883300781
1686426757027650800,0.19965087890625,-117.3763427734375,-77.86282348632812,100.17437744140625
1686426757037724000,0.209723876953125,-117.44976806640625,-77.98008728027344,100.19154357910156
1686426757047797800,0.2197978515625,-117.52049255371094,-78.13435363769531,100.64566040039062
1686426757057872000,0.229871826171875,-117.23274230957031,-78.03425598144531,100.98782348632812
1686426757067945700,0.23994580078125,-117.08248901367188,-77.75779724121094,101.44766235351562
1686426757078019800,0.250019775390625,-116.93280029296875,-77.83868408203125,101.83259582519531
1686426757088093700,0.26009375,-116.94105529785156,-77.56669616699219,102.74691772460938
1686426757098168800,0.2701689453125,-116.44850158691406,-78.26995849609375,102.695068359375
1686426757108242000,0.280241943359375,-115.84442138671875,-77.69705200195312,103.45877075195312
1686426757118315800,0.290315673828125,-115.28974914550781,-77.98162841796875,104.33259582519531
1686426757128390000,0.300389892578125,-114.6033935546875,-78.35292053222656,105.44451904296875
1686426757138462700,0.310462646484375,-114.10232543945312,-78.21730041503906,106.92634582519531
1686426757148536600,0.32053662109375,-112.81375122070312,-78.62448120117188,108.22589111328125
1686426757158611000,0.33061083984375,-111.81924438476562,-78.46018981933594,110.29707336425781
1686426757168684800,0.340684814453125,-110.41389465332031,-78.06282043457031,111.59976196289062
1686426757178757600,0.350757568359375,-109.48234558105469,-77.53607177734375,113.2171630859375
