time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1686426756925999900,0.097999755859375,0.023581061968607226,-0.21342269697262212,-0.009719722871893176,-0.01686274534728746,-0.9768948207031827,0.005721242603912939,0.43000113796586115
1686426756935944700,0.10794482421875,0.0248726939907966,-0.21617336268153525,-0.010912820951245829,-0.011374883758154966,-0.9762897807342303,0.0028648777612036262,0.43568682386490537
1686426756945889800,0.117889892578125,0.02589562976382138,-0.21901729661666006,-0.01202618750610287,-0.005543012595525486,-0.9756467886479829,-0.00013150418363828563,0.4415819542040217
1686426756955835000,0.1278349609375,0.026612284706518143,-0.22184144474884004,-0.013052225772083308,0.0007040296878140475,-0.974989837926372,-0.0032953000068226927,0.44745482302989054
1686426756965779700,0.13777978515625,0.027199746756406896,-0.2245775052745251,-0.014125065997585395,0.007775682294415048,-0.9743298836066757,-0.006843218795646336,0.453170789487606
1686426756975724800,0.147724853515625,0.028090585339690673,-0.22714989477358405,-0.015503633745884817,0.016076742995579377,-0.973674103447056,-0.011019268341370589,0.45858708438155327
1686426756985668600,0.157668701171875,0.029584681960440097,-0.2295372482704326,-0.01728657409513334,0.02517419870758439,-0.9730206444385348,-0.01564701122872901,0.4636658703888872
1686426756995613700,0.16761376953125,0.03175275671652732,-0.23171889934180723,-0.01945643158465085,0.034622582987510406,-0.9723717823641892,-0.02051920471958862,0.46836985571120243
1686426757005558800,0.177558837890625,0.03437105666650038,-0.23365806540010908,-0.021845755207731216,0.0439428250125129,-0.9717420115089542,-0.02537816678311703,0.47261875352672134
1686426757015504000,0.18750390625,0.03696597655702295,-0.23528733019285655,-0.024169654931881945,0.05271489588972864,-0.9711631035363397,-0.029964399199074527,0.47625393882189004
1686426757025448700,0.19744873046875,0.03898458068245933,-0.23658757326148566,-0.02607664512033583,0.060287280270822516,-0.9706685457851004,-0.033895893787343624,0.47919389412137076
1686426757035393800,0.207393798828125,0.03995823362613337,-0.23761593549266996,-0.027308899345793967,0.06644087890263431,-0.9702695441758797,-0.03701077034113108,0.4815172737953928
1686426757045339000,0.2173388671875,0.03888377948079696,-0.2383457456911185,-0.027563045870528314,0.07275635469149003,-0.9699665619107131,-0.0399551718157417,0.48315730127353684
1686426757055283700,0.22728369140625,0.034723025663339416,-0.23860846298165872,-0.026583027439845693,0.08137550008014172,-0.9697704225718761,-0.04364138070337184,0.48376010801376446
1686426757065228800,0.237228759765625,0.028340582261728933,-0.23841482483484325,-0.024684201189141098,0.09147190777704602,-0.9696734496277526,-0.04777453530601552,0.4833269517253938
1686426757075172600,0.247172607421875,0.022245846851724566,-0.23794935927773153,-0.022907582160474334,0.10155442244832978,-0.9696174795693057,-0.05193657373604079,0.48230130711900365
1686426757085117700,0.25711767578125,0.01829392927327265,-0.2376699481615434,-0.021972458054934852,0.10992584166403094,-0.9695086771249594,-0.055525830332612554,0.48169981168278136
1686426757095062800,0.267062744140625,0.01703836511261493,-0.23787935346243938,-0.022461337832187754,0.11902944564652457,-0.9691927180248194,-0.059787412980017815,0.4822657359833049
1686426757105007900,0.2770078125,0.017031451338758257,-0.23860082542357652,-0.024118802693233483,0.13252290207587458,-0.9685504150224333,-0.06631718867666439,0.48407839345879944
